# BEGIN PLOT
XTwosidedTicks=1
YTwosidedTicks=1
Title=\large{TransMAX charged-particle density $\sqrt{s}=1.96\,\text{TeV}$}
RatioPlotReference=/CDF_2015_I1388868/d01-x01-y01
XLabelSep=4.4
RatioPlot=1
LogY=0
LegendXPos=0.40
XLabel=\large{$p_\text{T}^{\text{max}}$ [GeV]}
YLabelSep=5.4
YLabel=\large{$(1/N_\text{events})\; dN_\text{ch}\,/d\eta\, d\phi$}
DrawOnly=/CDF_2015_I1388868/d01-x01-y01 //afs/cern.ch/user/m/mdessena/MCNNTUNES_result1/CMSSW_11_2_4/src/Plots_Totali_2params/CP5.yoda/CDF_2015_I1388868/d01-x01-y01 //afs/cern.ch/user/m/mdessena/MCNNTUNES_result1/CMSSW_11_2_4/src/Plots_Totali_2params/Inverse.yoda/CDF_2015_I1388868/d01-x01-y01 //afs/cern.ch/user/m/mdessena/MCNNTUNES_result1/CMSSW_11_2_4/src/Plots_Totali_2params/PerBin.yoda/CDF_2015_I1388868/d01-x01-y01
RatioPlotErrorBandColor=grey!40!yellow!60
LegendYPos=0.50
Legend=1
LegendOnly=/CDF_2015_I1388868/d01-x01-y01 //afs/cern.ch/user/m/mdessena/MCNNTUNES_result1/CMSSW_11_2_4/src/Plots_Totali_2params/CP5.yoda/CDF_2015_I1388868/d01-x01-y01 //afs/cern.ch/user/m/mdessena/MCNNTUNES_result1/CMSSW_11_2_4/src/Plots_Totali_2params/Inverse.yoda/CDF_2015_I1388868/d01-x01-y01 //afs/cern.ch/user/m/mdessena/MCNNTUNES_result1/CMSSW_11_2_4/src/Plots_Totali_2params/PerBin.yoda/CDF_2015_I1388868/d01-x01-y01
# END PLOT

# BEGIN HISTO1D /CDF_2015_I1388868/d01-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/CDF_2015_I1388868/d01-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
5.000000e-01	1.000000e+00	1.669000e-01	2.250022e-02	2.250022e-02
1.000000e+00	1.500000e+00	4.327000e-01	2.110095e-02	2.110095e-02
1.500000e+00	2.000000e+00	6.262000e-01	2.160208e-02	2.160208e-02
2.000000e+00	2.500000e+00	7.527000e-01	2.360530e-02	2.360530e-02
2.500000e+00	3.000000e+00	8.261000e-01	2.431317e-02	2.431317e-02
3.000000e+00	3.500000e+00	8.631000e-01	2.243769e-02	2.243769e-02
3.500000e+00	4.000000e+00	8.814000e-01	2.366854e-02	2.366854e-02
4.000000e+00	4.500000e+00	8.964000e-01	2.880868e-02	2.880868e-02
4.500000e+00	5.000000e+00	9.061000e-01	3.119695e-02	3.119695e-02
5.000000e+00	6.000000e+00	9.139000e-01	3.031452e-02	3.031452e-02
6.000000e+00	7.000000e+00	9.228000e-01	3.242299e-02	3.242299e-02
7.000000e+00	8.000000e+00	9.370000e-01	3.749613e-02	3.749613e-02
8.000000e+00	1.000000e+01	9.337000e-01	4.331801e-02	4.331801e-02
1.000000e+01	1.500000e+01	9.355000e-01	4.934775e-02	4.934775e-02
1.500000e+01	2.000000e+01	1.021800e+00	7.461856e-02	7.461856e-02
# END HISTO1D


# BEGIN HISTO1D //afs/cern.ch/user/m/mdessena/MCNNTUNES_result1/CMSSW_11_2_4/src/Plots_Totali_2params/CP5.yoda/CDF_2015_I1388868/d01-x01-y01
LineColor=red
LineStyle=solid
Path=//afs/cern.ch/user/m/mdessena/MCNNTUNES_result1/CMSSW_11_2_4/src/Plots_Totali_2params/CP5.yoda/CDF_2015_I1388868/d01-x01-y01
Title=CP5
# xlow	 xhigh	 val	 errminus	 errplus
5.000000e-01	1.000000e+00	1.641716e-01	2.510136e-04	2.510136e-04
1.000000e+00	1.500000e+00	4.634683e-01	6.674383e-04	6.674383e-04
1.500000e+00	2.000000e+00	6.839027e-01	1.239115e-03	1.239115e-03
2.000000e+00	2.500000e+00	8.044542e-01	2.015646e-03	2.015646e-03
2.500000e+00	3.000000e+00	8.665667e-01	3.151468e-03	3.151468e-03
3.000000e+00	3.500000e+00	8.998157e-01	4.737093e-03	4.737093e-03
3.500000e+00	4.000000e+00	9.186641e-01	6.775309e-03	6.775309e-03
4.000000e+00	4.500000e+00	9.144499e-01	9.429664e-03	9.429664e-03
4.500000e+00	5.000000e+00	9.292084e-01	1.267608e-02	1.267608e-02
5.000000e+00	6.000000e+00	9.153698e-01	1.318123e-02	1.318123e-02
6.000000e+00	7.000000e+00	9.580811e-01	2.226734e-02	2.226734e-02
7.000000e+00	8.000000e+00	8.300465e-01	3.123098e-02	3.123098e-02
8.000000e+00	1.000000e+01	9.458611e-01	3.652111e-02	3.652111e-02
1.000000e+01	1.500000e+01	9.856754e-01	5.693894e-02	5.693894e-02
1.500000e+01	2.000000e+01	1.268266e+00	1.528925e-01	1.528925e-01
# END HISTO1D


# BEGIN HISTO1D //afs/cern.ch/user/m/mdessena/MCNNTUNES_result1/CMSSW_11_2_4/src/Plots_Totali_2params/Inverse.yoda/CDF_2015_I1388868/d01-x01-y01
LineColor=blue
LineStyle=solid
Path=//afs/cern.ch/user/m/mdessena/MCNNTUNES_result1/CMSSW_11_2_4/src/Plots_Totali_2params/Inverse.yoda/CDF_2015_I1388868/d01-x01-y01
Title=Inverse
# xlow	 xhigh	 val	 errminus	 errplus
5.000000e-01	1.000000e+00	1.635119e-01	2.493216e-04	2.493216e-04
1.000000e+00	1.500000e+00	4.504658e-01	6.529049e-04	6.529049e-04
1.500000e+00	2.000000e+00	6.592019e-01	1.225837e-03	1.225837e-03
2.000000e+00	2.500000e+00	7.723899e-01	2.006498e-03	2.006498e-03
2.500000e+00	3.000000e+00	8.284716e-01	3.115006e-03	3.115006e-03
3.000000e+00	3.500000e+00	8.650535e-01	4.693151e-03	4.693151e-03
3.500000e+00	4.000000e+00	8.567221e-01	6.629378e-03	6.629378e-03
4.000000e+00	4.500000e+00	8.643473e-01	9.366184e-03	9.366184e-03
4.500000e+00	5.000000e+00	8.747144e-01	1.274889e-02	1.274889e-02
5.000000e+00	6.000000e+00	8.769284e-01	1.316765e-02	1.316765e-02
6.000000e+00	7.000000e+00	8.777162e-01	2.112435e-02	2.112435e-02
7.000000e+00	8.000000e+00	8.780047e-01	3.280142e-02	3.280142e-02
8.000000e+00	1.000000e+01	9.405201e-01	3.430897e-02	3.430897e-02
1.000000e+01	1.500000e+01	9.687369e-01	5.478531e-02	5.478531e-02
1.500000e+01	2.000000e+01	1.139405e+00	1.477621e-01	1.477621e-01
# END HISTO1D


# BEGIN HISTO1D //afs/cern.ch/user/m/mdessena/MCNNTUNES_result1/CMSSW_11_2_4/src/Plots_Totali_2params/PerBin.yoda/CDF_2015_I1388868/d01-x01-y01
LineColor=green
LineStyle=solid
Path=//afs/cern.ch/user/m/mdessena/MCNNTUNES_result1/CMSSW_11_2_4/src/Plots_Totali_2params/PerBin.yoda/CDF_2015_I1388868/d01-x01-y01
Title=PerBin
Tune_Parameter_emcPowisr=0.04771366068091282
Tune_Parameter_pT0isr=1.4606407384207003
# xlow	 xhigh	 val	 errminus	 errplus
5.000000e-01	1.000000e+00	1.635237e-01	0.000000e+00	0.000000e+00
1.000000e+00	1.500000e+00	4.547055e-01	0.000000e+00	0.000000e+00
1.500000e+00	2.000000e+00	6.593037e-01	0.000000e+00	0.000000e+00
2.000000e+00	2.500000e+00	7.816299e-01	0.000000e+00	0.000000e+00
2.500000e+00	3.000000e+00	8.354535e-01	0.000000e+00	0.000000e+00
3.000000e+00	3.500000e+00	8.592221e-01	0.000000e+00	0.000000e+00
3.500000e+00	4.000000e+00	8.720221e-01	0.000000e+00	0.000000e+00
4.000000e+00	4.500000e+00	8.828703e-01	0.000000e+00	0.000000e+00
4.500000e+00	5.000000e+00	8.811427e-01	0.000000e+00	0.000000e+00
5.000000e+00	6.000000e+00	8.802166e-01	0.000000e+00	0.000000e+00
6.000000e+00	7.000000e+00	8.918921e-01	0.000000e+00	0.000000e+00
7.000000e+00	8.000000e+00	8.786449e-01	0.000000e+00	0.000000e+00
8.000000e+00	1.000000e+01	9.183856e-01	0.000000e+00	0.000000e+00
1.000000e+01	1.500000e+01	8.998271e-01	0.000000e+00	0.000000e+00
1.500000e+01	2.000000e+01	1.051062e+00	0.000000e+00	0.000000e+00
# END HISTO1D

