# BEGIN PLOT
XTwosidedTicks=1
YTwosidedTicks=1
XLabelSep=4.4
RatioPlotReference=/CMS_2012_PAS_FSQ_12_020/d09-x01-y01
ConnectBins=0
RatioPlot=1
LogY=0
LegendXPos=0.40
XLabel=\large{$p_\text{T}^{\text{max}}$[GeV]}
YLabelSep=5.4
YLabel=\large{$(1/N_\text{events})\; dp_\text{T}^{\text{sum}}\,/d\eta\, d\phi$ [GeV]}
Title=\large{TransMIN charged $p^{\text{sum}}_{\text{T}}$ density $\sqrt{s}=7\,\text{TeV}$}
DrawOnly=/CMS_2012_PAS_FSQ_12_020/d09-x01-y01 //afs/cern.ch/user/m/mdessena/MCNNTUNES_result1/CMSSW_11_2_4/src/Plots_Totali_2params/CP5.yoda/CMS_2012_PAS_FSQ_12_020/d09-x01-y01 //afs/cern.ch/user/m/mdessena/MCNNTUNES_result1/CMSSW_11_2_4/src/Plots_Totali_2params/Inverse.yoda/CMS_2012_PAS_FSQ_12_020/d09-x01-y01 //afs/cern.ch/user/m/mdessena/MCNNTUNES_result1/CMSSW_11_2_4/src/Plots_Totali_2params/PerBin.yoda/CMS_2012_PAS_FSQ_12_020/d09-x01-y01
RatioPlotErrorBandColor=grey!40!yellow!60
LegendYPos=0.50
Legend=1
LegendOnly=/CMS_2012_PAS_FSQ_12_020/d09-x01-y01 //afs/cern.ch/user/m/mdessena/MCNNTUNES_result1/CMSSW_11_2_4/src/Plots_Totali_2params/CP5.yoda/CMS_2012_PAS_FSQ_12_020/d09-x01-y01 //afs/cern.ch/user/m/mdessena/MCNNTUNES_result1/CMSSW_11_2_4/src/Plots_Totali_2params/Inverse.yoda/CMS_2012_PAS_FSQ_12_020/d09-x01-y01 //afs/cern.ch/user/m/mdessena/MCNNTUNES_result1/CMSSW_11_2_4/src/Plots_Totali_2params/PerBin.yoda/CMS_2012_PAS_FSQ_12_020/d09-x01-y01
# END PLOT

# BEGIN HISTO1D /CMS_2012_PAS_FSQ_12_020/d09-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/CMS_2012_PAS_FSQ_12_020/d09-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
5.000000e-01	1.000000e+00	9.630000e-03	3.607170e-04	3.607170e-04
1.000000e+00	1.500000e+00	7.227000e-02	2.704400e-03	2.704400e-03
1.500000e+00	2.000000e+00	1.725000e-01	6.455250e-03	6.455250e-03
2.000000e+00	2.500000e+00	2.676600e-01	1.001850e-02	1.001850e-02
2.500000e+00	3.000000e+00	3.406900e-01	1.275890e-02	1.275890e-02
3.000000e+00	3.500000e+00	3.929300e-01	1.473030e-02	1.473030e-02
3.500000e+00	4.000000e+00	4.247600e-01	1.595290e-02	1.595290e-02
4.000000e+00	5.000000e+00	4.500100e-01	1.690910e-02	1.690910e-02
5.000000e+00	6.000000e+00	4.720000e-01	1.786880e-02	1.786880e-02
6.000000e+00	8.000000e+00	4.806900e-01	1.831920e-02	1.831920e-02
8.000000e+00	1.000000e+01	5.047900e-01	2.029220e-02	2.029220e-02
1.000000e+01	1.200000e+01	4.984100e-01	2.245480e-02	2.245480e-02
1.200000e+01	1.400000e+01	5.214100e-01	2.710800e-02	2.710800e-02
1.400000e+01	1.600000e+01	5.667800e-01	3.739780e-02	3.739780e-02
1.600000e+01	2.000000e+01	5.575700e-01	3.680710e-02	3.680710e-02
2.000000e+01	2.400000e+01	4.738600e-01	5.507910e-02	5.507910e-02
2.400000e+01	2.800000e+01	4.802100e-01	7.082500e-02	7.082500e-02
# END HISTO1D


# BEGIN HISTO1D //afs/cern.ch/user/m/mdessena/MCNNTUNES_result1/CMSSW_11_2_4/src/Plots_Totali_2params/CP5.yoda/CMS_2012_PAS_FSQ_12_020/d09-x01-y01
LineColor=red
LineStyle=solid
Path=//afs/cern.ch/user/m/mdessena/MCNNTUNES_result1/CMSSW_11_2_4/src/Plots_Totali_2params/CP5.yoda/CMS_2012_PAS_FSQ_12_020/d09-x01-y01
Title=CP5
# xlow	 xhigh	 val	 errminus	 errplus
5.000000e-01	1.000000e+00	1.380218e-02	6.017909e-05	6.017909e-05
1.000000e+00	1.500000e+00	9.224140e-02	2.705232e-04	2.705232e-04
1.500000e+00	2.000000e+00	2.141437e-01	6.189353e-04	6.189353e-04
2.000000e+00	2.500000e+00	3.255237e-01	1.078878e-03	1.078878e-03
2.500000e+00	3.000000e+00	4.051229e-01	1.698499e-03	1.698499e-03
3.000000e+00	3.500000e+00	4.578431e-01	2.560479e-03	2.560479e-03
3.500000e+00	4.000000e+00	4.816087e-01	3.613224e-03	3.613224e-03
4.000000e+00	5.000000e+00	4.969596e-01	3.943793e-03	3.943793e-03
5.000000e+00	6.000000e+00	5.017910e-01	6.612860e-03	6.612860e-03
6.000000e+00	8.000000e+00	5.034162e-01	8.158752e-03	8.158752e-03
8.000000e+00	1.000000e+01	5.098006e-01	1.601705e-02	1.601705e-02
1.000000e+01	1.200000e+01	4.891336e-01	2.641211e-02	2.641211e-02
1.200000e+01	1.400000e+01	4.668525e-01	4.030638e-02	4.030638e-02
1.400000e+01	1.600000e+01	5.509801e-01	6.566631e-02	6.566631e-02
1.600000e+01	2.000000e+01	6.379101e-01	8.212199e-02	8.212199e-02
2.000000e+01	2.400000e+01	5.075536e-01	1.070382e-01	1.070382e-01
2.400000e+01	2.800000e+01	5.489910e-01	2.094685e-01	2.094685e-01
# END HISTO1D


# BEGIN HISTO1D //afs/cern.ch/user/m/mdessena/MCNNTUNES_result1/CMSSW_11_2_4/src/Plots_Totali_2params/Inverse.yoda/CMS_2012_PAS_FSQ_12_020/d09-x01-y01
LineColor=blue
LineStyle=solid
Path=//afs/cern.ch/user/m/mdessena/MCNNTUNES_result1/CMSSW_11_2_4/src/Plots_Totali_2params/Inverse.yoda/CMS_2012_PAS_FSQ_12_020/d09-x01-y01
Title=Inverse
# xlow	 xhigh	 val	 errminus	 errplus
5.000000e-01	1.000000e+00	1.359165e-02	5.961623e-05	5.961623e-05
1.000000e+00	1.500000e+00	9.022967e-02	2.664851e-04	2.664851e-04
1.500000e+00	2.000000e+00	2.078008e-01	6.096143e-04	6.096143e-04
2.000000e+00	2.500000e+00	3.112108e-01	1.059913e-03	1.059913e-03
2.500000e+00	3.000000e+00	3.938491e-01	1.696509e-03	1.696509e-03
3.000000e+00	3.500000e+00	4.415776e-01	2.530082e-03	2.530082e-03
3.500000e+00	4.000000e+00	4.698311e-01	3.607184e-03	3.607184e-03
4.000000e+00	5.000000e+00	4.738226e-01	3.878707e-03	3.878707e-03
5.000000e+00	6.000000e+00	4.710491e-01	6.386956e-03	6.386956e-03
6.000000e+00	8.000000e+00	4.805063e-01	8.099912e-03	8.099912e-03
8.000000e+00	1.000000e+01	4.945036e-01	1.581940e-02	1.581940e-02
1.000000e+01	1.200000e+01	5.181884e-01	2.769431e-02	2.769431e-02
1.200000e+01	1.400000e+01	5.239624e-01	4.117615e-02	4.117615e-02
1.400000e+01	1.600000e+01	4.991865e-01	5.279885e-02	5.279885e-02
1.600000e+01	2.000000e+01	5.437070e-01	6.183669e-02	6.183669e-02
2.000000e+01	2.400000e+01	3.385072e-01	6.920735e-02	6.920735e-02
2.400000e+01	2.800000e+01	3.538915e-01	1.075394e-01	1.075394e-01
# END HISTO1D


# BEGIN HISTO1D //afs/cern.ch/user/m/mdessena/MCNNTUNES_result1/CMSSW_11_2_4/src/Plots_Totali_2params/PerBin.yoda/CMS_2012_PAS_FSQ_12_020/d09-x01-y01
LineColor=green
LineStyle=solid
Path=//afs/cern.ch/user/m/mdessena/MCNNTUNES_result1/CMSSW_11_2_4/src/Plots_Totali_2params/PerBin.yoda/CMS_2012_PAS_FSQ_12_020/d09-x01-y01
Title=PerBin
Tune_Parameter_emcPowisr=0.04771366068091282
Tune_Parameter_pT0isr=1.4606407384207003
# xlow	 xhigh	 val	 errminus	 errplus
5.000000e-01	1.000000e+00	1.365185e-02	0.000000e+00	0.000000e+00
1.000000e+00	1.500000e+00	8.760908e-02	0.000000e+00	0.000000e+00
1.500000e+00	2.000000e+00	1.966849e-01	0.000000e+00	0.000000e+00
2.000000e+00	2.500000e+00	2.941194e-01	0.000000e+00	0.000000e+00
2.500000e+00	3.000000e+00	3.657528e-01	0.000000e+00	0.000000e+00
3.000000e+00	3.500000e+00	4.090202e-01	0.000000e+00	0.000000e+00
3.500000e+00	4.000000e+00	4.318721e-01	0.000000e+00	0.000000e+00
4.000000e+00	5.000000e+00	4.447524e-01	0.000000e+00	0.000000e+00
5.000000e+00	6.000000e+00	4.514702e-01	0.000000e+00	0.000000e+00
6.000000e+00	8.000000e+00	4.517692e-01	0.000000e+00	0.000000e+00
