# BEGIN PLOT
XTwosidedTicks=1
YTwosidedTicks=1
XMax=52
XLabelSep=4.4
RatioPlotReference=/CMS_2015_PAS_FSQ_15_007/d15-x01-y01
ConnectBins=0
RatioPlot=1
LogY=0
LegendXPos=0.40
XLabel=\large{$p_\text{T}^{\text{jet}}$[GeV]}
YLabelSep=5.4
YLabel=\large{$(1/N_\text{events})\; dN_\text{ch}\,/d\eta\, d\phi$}
Title=\large{CMS, 13 TeV, MB, TransDIF charged-particle density}
DrawOnly=/CMS_2015_PAS_FSQ_15_007/d15-x01-y01 //afs/cern.ch/user/m/mdessena/MCNNTUNES_result1/CMSSW_11_2_4/src/Plots_Totali_2params/CP5.yoda/CMS_2015_PAS_FSQ_15_007/d15-x01-y01 //afs/cern.ch/user/m/mdessena/MCNNTUNES_result1/CMSSW_11_2_4/src/Plots_Totali_2params/Inverse.yoda/CMS_2015_PAS_FSQ_15_007/d15-x01-y01
RatioPlotErrorBandColor=grey!40!yellow!60
LegendYPos=0.50
Legend=1
LegendOnly=/CMS_2015_PAS_FSQ_15_007/d15-x01-y01 //afs/cern.ch/user/m/mdessena/MCNNTUNES_result1/CMSSW_11_2_4/src/Plots_Totali_2params/CP5.yoda/CMS_2015_PAS_FSQ_15_007/d15-x01-y01 //afs/cern.ch/user/m/mdessena/MCNNTUNES_result1/CMSSW_11_2_4/src/Plots_Totali_2params/Inverse.yoda/CMS_2015_PAS_FSQ_15_007/d15-x01-y01
# END PLOT

# BEGIN HISTO1D /CMS_2015_PAS_FSQ_15_007/d15-x01-y01
ConnectBins=0
ErrorBars=1
Path=/CMS_2015_PAS_FSQ_15_007/d15-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
5.000000e-01	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+00	1.500000e+00	1.382273e-01	4.334092e-03	4.334092e-03
1.500000e+00	2.000000e+00	2.063684e-01	3.666420e-03	3.666420e-03
2.000000e+00	2.500000e+00	2.672586e-01	3.396924e-03	3.396924e-03
2.500000e+00	3.000000e+00	3.208189e-01	3.990618e-03	3.990618e-03
3.000000e+00	3.500000e+00	3.646019e-01	4.048452e-03	4.048452e-03
3.500000e+00	4.000000e+00	4.095014e-01	4.973023e-03	4.973023e-03
4.000000e+00	4.500000e+00	4.436314e-01	4.965250e-03	4.965250e-03
4.500000e+00	5.000000e+00	4.739494e-01	4.243986e-03	4.243986e-03
5.000000e+00	6.000000e+00	5.087321e-01	9.090897e-03	9.090897e-03
6.000000e+00	7.000000e+00	5.496968e-01	9.966757e-03	9.966757e-03
7.000000e+00	8.000000e+00	5.790068e-01	7.055950e-03	7.055950e-03
8.000000e+00	9.000000e+00	5.989965e-01	3.150470e-03	3.150470e-03
9.000000e+00	1.000000e+01	6.201826e-01	5.093508e-03	5.093508e-03
1.000000e+01	1.200000e+01	6.336242e-01	7.499973e-03	7.499973e-03
1.200000e+01	1.400000e+01	6.496956e-01	8.245761e-03	8.245761e-03
1.400000e+01	1.600000e+01	6.879321e-01	9.517187e-03	9.517187e-03
1.600000e+01	1.800000e+01	6.974485e-01	1.105099e-02	1.105099e-02
1.800000e+01	2.000000e+01	6.671220e-01	1.251501e-02	1.251501e-02
2.000000e+01	2.400000e+01	6.814464e-01	1.347159e-02	1.347159e-02
2.400000e+01	2.800000e+01	7.398219e-01	1.751127e-02	1.751127e-02
2.800000e+01	3.200000e+01	8.730523e-01	2.494668e-02	2.494668e-02
3.200000e+01	3.600000e+01	8.135475e-01	3.930981e-02	3.930981e-02
3.600000e+01	4.000000e+01	6.777098e-01	3.714719e-02	3.714719e-02
4.000000e+01	4.400000e+01	9.188631e-01	7.247151e-02	7.247151e-02
4.400000e+01	4.800000e+01	8.234799e-01	8.554850e-02	8.554850e-02
4.800000e+01	5.200000e+01	8.092674e-01	1.097447e-01	1.097447e-01
5.200000e+01	5.600000e+01	6.364399e-01	9.309055e-02	9.309055e-02
5.600000e+01	6.000000e+01	1.065983e+00	2.347411e-01	2.347411e-01
6.000000e+01	6.400000e+01	4.252454e-01	9.558094e-02	9.558094e-02
6.400000e+01	6.800000e+01	5.019427e-01	2.665699e-01	2.665699e-01
6.800000e+01	7.200000e+01	7.594338e-01	3.366555e-01	3.366555e-01
7.200000e+01	8.000000e+01	6.304793e-01	1.630184e-01	1.630184e-01
# END HISTO1D


# BEGIN HISTO1D //afs/cern.ch/user/m/mdessena/MCNNTUNES_result1/CMSSW_11_2_4/src/Plots_Totali_2params/CP5.yoda/CMS_2015_PAS_FSQ_15_007/d15-x01-y01
LineColor=red
LineStyle=solid
Path=//afs/cern.ch/user/m/mdessena/MCNNTUNES_result1/CMSSW_11_2_4/src/Plots_Totali_2params/CP5.yoda/CMS_2015_PAS_FSQ_15_007/d15-x01-y01
Title=CP5
# xlow	 xhigh	 val	 errminus	 errplus
5.000000e-01	1.000000e+00	nan	nan	nan
1.000000e+00	1.500000e+00	1.452167e-01	2.190241e-04	2.190241e-04
1.500000e+00	2.000000e+00	2.158901e-01	3.541285e-04	3.541285e-04
2.000000e+00	2.500000e+00	2.766675e-01	5.087342e-04	5.087342e-04
2.500000e+00	3.000000e+00	3.274228e-01	6.642920e-04	6.642920e-04
3.000000e+00	3.500000e+00	3.717976e-01	8.199491e-04	8.199491e-04
3.500000e+00	4.000000e+00	4.126628e-01	9.706680e-04	9.706680e-04
4.000000e+00	4.500000e+00	4.473839e-01	1.123058e-03	1.123058e-03
4.500000e+00	5.000000e+00	4.800772e-01	1.291902e-03	1.291902e-03
5.000000e+00	6.000000e+00	5.178589e-01	1.098307e-03	1.098307e-03
6.000000e+00	7.000000e+00	5.550656e-01	1.374333e-03	1.374333e-03
7.000000e+00	8.000000e+00	5.863353e-01	1.726437e-03	1.726437e-03
8.000000e+00	9.000000e+00	6.121559e-01	2.135081e-03	2.135081e-03
9.000000e+00	1.000000e+01	6.259841e-01	2.616683e-03	2.616683e-03
1.000000e+01	1.200000e+01	6.398395e-01	2.421553e-03	2.421553e-03
1.200000e+01	1.400000e+01	6.536484e-01	3.469516e-03	3.469516e-03
1.400000e+01	1.600000e+01	6.603169e-01	4.810334e-03	4.810334e-03
1.600000e+01	1.800000e+01	6.683097e-01	6.317529e-03	6.317529e-03
1.800000e+01	2.000000e+01	6.704068e-01	8.430900e-03	8.430900e-03
2.000000e+01	2.400000e+01	6.859930e-01	8.614581e-03	8.614581e-03
2.400000e+01	2.800000e+01	6.848307e-01	1.264131e-02	1.264131e-02
2.800000e+01	3.200000e+01	7.319005e-01	1.799573e-02	1.799573e-02
3.200000e+01	3.600000e+01	7.063695e-01	2.530753e-02	2.530753e-02
3.600000e+01	4.000000e+01	7.235202e-01	3.245140e-02	3.245140e-02
4.000000e+01	4.400000e+01	6.964000e-01	4.729898e-02	4.729898e-02
4.400000e+01	4.800000e+01	7.291020e-01	4.789239e-02	4.789239e-02
4.800000e+01	5.200000e+01	7.728962e-01	8.004441e-02	8.004441e-02
5.200000e+01	5.600000e+01	7.791961e-01	7.003827e-02	7.003827e-02
5.600000e+01	6.000000e+01	7.712892e-01	1.244797e-01	1.244797e-01
6.000000e+01	6.400000e+01	8.728653e-01	1.328555e-01	1.328555e-01
6.400000e+01	6.800000e+01	7.413268e-01	2.227681e-01	2.227681e-01
6.800000e+01	7.200000e+01	1.083478e+00	2.381432e-01	2.381432e-01
7.200000e+01	8.000000e+01	8.303735e-01	1.544318e-01	1.544318e-01
# END HISTO1D


# BEGIN HISTO1D //afs/cern.ch/user/m/mdessena/MCNNTUNES_result1/CMSSW_11_2_4/src/Plots_Totali_2params/Inverse.yoda/CMS_2015_PAS_FSQ_15_007/d15-x01-y01
LineColor=blue
LineStyle=solid
Path=//afs/cern.ch/user/m/mdessena/MCNNTUNES_result1/CMSSW_11_2_4/src/Plots_Totali_2params/Inverse.yoda/CMS_2015_PAS_FSQ_15_007/d15-x01-y01
Title=Inverse
# xlow	 xhigh	 val	 errminus	 errplus
5.000000e-01	1.000000e+00	nan	nan	nan
1.000000e+00	1.500000e+00	1.456379e-01	2.195539e-04	2.195539e-04
1.500000e+00	2.000000e+00	2.158603e-01	3.528428e-04	3.528428e-04
2.000000e+00	2.500000e+00	2.757823e-01	5.059747e-04	5.059747e-04
2.500000e+00	3.000000e+00	3.255117e-01	6.611757e-04	6.611757e-04
3.000000e+00	3.500000e+00	3.683515e-01	8.102791e-04	8.102791e-04
3.500000e+00	4.000000e+00	4.107564e-01	9.728263e-04	9.728263e-04
4.000000e+00	4.500000e+00	4.445865e-01	1.118210e-03	1.118210e-03
4.500000e+00	5.000000e+00	4.784153e-01	1.287679e-03	1.287679e-03
5.000000e+00	6.000000e+00	5.134437e-01	1.089080e-03	1.089080e-03
6.000000e+00	7.000000e+00	5.543255e-01	1.380093e-03	1.380093e-03
7.000000e+00	8.000000e+00	5.818448e-01	1.716501e-03	1.716501e-03
8.000000e+00	9.000000e+00	6.044443e-01	2.119547e-03	2.119547e-03
9.000000e+00	1.000000e+01	6.179802e-01	2.587025e-03	2.587025e-03
1.000000e+01	1.200000e+01	6.358865e-01	2.438721e-03	2.438721e-03
1.200000e+01	1.400000e+01	6.499786e-01	3.456243e-03	3.456243e-03
1.400000e+01	1.600000e+01	6.598818e-01	4.828153e-03	4.828153e-03
1.600000e+01	1.800000e+01	6.777173e-01	6.437112e-03	6.437112e-03
1.800000e+01	2.000000e+01	6.676802e-01	8.320840e-03	8.320840e-03
2.000000e+01	2.400000e+01	6.773065e-01	8.348979e-03	8.348979e-03
2.400000e+01	2.800000e+01	6.836976e-01	1.242296e-02	1.242296e-02
2.800000e+01	3.200000e+01	6.944372e-01	1.781890e-02	1.781890e-02
3.200000e+01	3.600000e+01	6.655211e-01	2.413737e-02	2.413737e-02
3.600000e+01	4.000000e+01	6.782530e-01	3.413429e-02	3.413429e-02
4.000000e+01	4.400000e+01	7.149853e-01	4.501784e-02	4.501784e-02
4.400000e+01	4.800000e+01	7.841577e-01	5.474847e-02	5.474847e-02
4.800000e+01	5.200000e+01	7.330489e-01	7.089025e-02	7.089025e-02
5.200000e+01	5.600000e+01	6.848880e-01	8.618024e-02	8.618024e-02
5.600000e+01	6.000000e+01	7.664566e-01	1.027233e-01	1.027233e-01
