# BEGIN PLOT
XTwosidedTicks=1
YTwosidedTicks=1
RatioPlotReference=/CDF_2015_I1388868/d04-x01-y01
Title=\large{TransDIF charged-particle density $\sqrt{s}=1.96\,\text{TeV}$}
LegendYPos=0.50
XLabelSep=4.4
RatioPlot=1
LogY=0
LegendXPos=0.40
XLabel=\large{$p_\text{T}^{\text{max}}$ [GeV]}
YLabelSep=5.4
RatioPlotSameStyle=0
DrawOnly=/CDF_2015_I1388868/d04-x01-y01 //eos/home-m/mdessena/CMSSW_eos/CMSSW_11_2_4/src/UE_with_without_MPI/with_MPI.yoda/CDF_2015_I1388868/d04-x01-y01 //eos/home-m/mdessena/CMSSW_eos/CMSSW_11_2_4/src/UE_with_without_MPI/without_MPI.yoda/CDF_2015_I1388868/d04-x01-y01
RatioPlotErrorBandColor=grey!40!yellow!60
YLabel=\large{$(1/N_\text{events})\; dN_\text{ch}\,/d\eta\, d\phi$}
Legend=1
LegendOnly=/CDF_2015_I1388868/d04-x01-y01 //eos/home-m/mdessena/CMSSW_eos/CMSSW_11_2_4/src/UE_with_without_MPI/with_MPI.yoda/CDF_2015_I1388868/d04-x01-y01 //eos/home-m/mdessena/CMSSW_eos/CMSSW_11_2_4/src/UE_with_without_MPI/without_MPI.yoda/CDF_2015_I1388868/d04-x01-y01
# END PLOT

# BEGIN HISTO1D /CDF_2015_I1388868/d04-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/CDF_2015_I1388868/d04-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
5.000000e-01	1.000000e+00	1.484000e-01	1.950103e-02	1.950103e-02
1.000000e+00	1.500000e+00	3.442000e-01	1.580285e-02	1.580285e-02
1.500000e+00	2.000000e+00	4.648000e-01	1.430559e-02	1.430559e-02
2.000000e+00	2.500000e+00	5.335000e-01	1.471224e-02	1.471224e-02
2.500000e+00	3.000000e+00	5.729000e-01	1.482734e-02	1.482734e-02
3.000000e+00	3.500000e+00	5.933000e-01	1.396066e-02	1.396066e-02
3.500000e+00	4.000000e+00	6.050000e-01	1.402926e-02	1.402926e-02
4.000000e+00	4.500000e+00	6.150000e-01	1.650606e-02	1.650606e-02
4.500000e+00	5.000000e+00	6.199000e-01	1.892644e-02	1.892644e-02
5.000000e+00	6.000000e+00	6.252000e-01	1.857229e-02	1.857229e-02
6.000000e+00	7.000000e+00	6.392000e-01	2.068913e-02	2.068913e-02
7.000000e+00	8.000000e+00	6.425000e-01	2.675892e-02	2.675892e-02
8.000000e+00	1.000000e+01	6.383000e-01	3.074150e-02	3.074150e-02
1.000000e+01	1.500000e+01	6.401000e-01	3.570224e-02	3.570224e-02
1.500000e+01	2.000000e+01	7.017000e-01	6.181812e-02	6.181812e-02
# END HISTO1D


# BEGIN HISTO1D //eos/home-m/mdessena/CMSSW_eos/CMSSW_11_2_4/src/UE_with_without_MPI/with_MPI.yoda/CDF_2015_I1388868/d04-x01-y01
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-m/mdessena/CMSSW_eos/CMSSW_11_2_4/src/UE_with_without_MPI/with_MPI.yoda/CDF_2015_I1388868/d04-x01-y01
Title=with_MPI
# xlow	 xhigh	 val	 errminus	 errplus
5.000000e-01	1.000000e+00	1.445089e-01	2.634922e-04	2.634922e-04
1.000000e+00	1.500000e+00	3.632374e-01	6.624295e-04	6.624295e-04
1.500000e+00	2.000000e+00	4.989812e-01	1.195917e-03	1.195917e-03
2.000000e+00	2.500000e+00	5.662650e-01	1.909001e-03	1.909001e-03
2.500000e+00	3.000000e+00	5.946916e-01	2.958549e-03	2.958549e-03
3.000000e+00	3.500000e+00	6.200541e-01	4.426246e-03	4.426246e-03
3.500000e+00	4.000000e+00	6.341966e-01	6.354583e-03	6.354583e-03
4.000000e+00	4.500000e+00	6.185043e-01	8.665962e-03	8.665962e-03
4.500000e+00	5.000000e+00	6.375875e-01	1.166266e-02	1.166266e-02
5.000000e+00	6.000000e+00	6.255447e-01	1.240202e-02	1.240202e-02
6.000000e+00	7.000000e+00	6.464017e-01	2.015441e-02	2.015441e-02
7.000000e+00	8.000000e+00	5.638510e-01	2.704908e-02	2.704908e-02
