# BEGIN PLOT
LegendOnly=/CMS_2015_PAS_FSQ_15_007/d06-x01-y01 //eos/home-m/mdessena/CMSSW_eos/CMSSW_11_2_4/src/UE_with_without_MPI/with_MPI.yoda/CMS_2015_PAS_FSQ_15_007/d06-x01-y01 //eos/home-m/mdessena/CMSSW_eos/CMSSW_11_2_4/src/UE_with_without_MPI/without_MPI.yoda/CMS_2015_PAS_FSQ_15_007/d06-x01-y01
DrawOnly=/CMS_2015_PAS_FSQ_15_007/d06-x01-y01 //eos/home-m/mdessena/CMSSW_eos/CMSSW_11_2_4/src/UE_with_without_MPI/with_MPI.yoda/CMS_2015_PAS_FSQ_15_007/d06-x01-y01 //eos/home-m/mdessena/CMSSW_eos/CMSSW_11_2_4/src/UE_with_without_MPI/without_MPI.yoda/CMS_2015_PAS_FSQ_15_007/d06-x01-y01
XLabelSep=4.4
ConnectBins=0
RatioPlot=1
LogY=0
YLabelSep=5.4
RatioPlotSameStyle=0
RatioPlotErrorBandColor=grey!40!yellow!60
XTwosidedTicks=1
YTwosidedTicks=1
RatioPlotReference=/CMS_2015_PAS_FSQ_15_007/d06-x01-y01
Title=\large{CMS, 13 TeV, MB, TransMAX charged-particle density}
LegendXPos=0.40
XLabel=\large{$p_\text{T}^{\text{max}}$[GeV]}
XMax=24
YLabel=\large{$(1/N_\text{events})\; dN_\text{ch}\,/d\eta\, d\phi$}
LegendYPos=0.50
Legend=1
# END PLOT

# BEGIN HISTO1D /CMS_2015_PAS_FSQ_15_007/d06-x01-y01
ConnectBins=0
ErrorBars=1
Path=/CMS_2015_PAS_FSQ_15_007/d06-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
5.000000e-01	1.000000e+00	1.124427e-01	4.053605e-04	4.053605e-04
1.000000e+00	1.500000e+00	3.261630e-01	8.536273e-03	8.536273e-03
1.500000e+00	2.000000e+00	5.894059e-01	1.306567e-02	1.306567e-02
2.000000e+00	2.500000e+00	8.302473e-01	1.954760e-02	1.954760e-02
2.500000e+00	3.000000e+00	1.027029e+00	1.246442e-02	1.246442e-02
3.000000e+00	3.500000e+00	1.173819e+00	7.515369e-03	7.515369e-03
3.500000e+00	4.000000e+00	1.269622e+00	9.121487e-03	9.121487e-03
4.000000e+00	4.500000e+00	1.361374e+00	1.807697e-02	1.807697e-02
4.500000e+00	5.000000e+00	1.408454e+00	2.739203e-02	2.739203e-02
5.000000e+00	6.000000e+00	1.456821e+00	3.555993e-02	3.555993e-02
6.000000e+00	7.000000e+00	1.507127e+00	8.690036e-03	8.690036e-03
7.000000e+00	8.000000e+00	1.522944e+00	1.147968e-02	1.147968e-02
8.000000e+00	1.000000e+01	1.522999e+00	1.506620e-02	1.506620e-02
1.000000e+01	1.200000e+01	1.564495e+00	1.612100e-02	1.612100e-02
1.200000e+01	1.600000e+01	1.573181e+00	2.585909e-02	2.585909e-02
1.600000e+01	2.000000e+01	1.598651e+00	3.111044e-02	3.111044e-02
2.000000e+01	2.400000e+01	1.487593e+00	5.338095e-02	5.338095e-02
2.400000e+01	2.800000e+01	1.906104e+00	1.008451e-01	1.008451e-01
2.800000e+01	3.200000e+01	1.573891e+00	1.416261e-01	1.416261e-01
3.200000e+01	3.600000e+01	1.516146e+00	1.680630e-01	1.680630e-01
3.600000e+01	4.000000e+01	1.579903e+00	3.488480e-01	3.488480e-01
4.000000e+01	5.000000e+01	1.836007e+00	2.979452e-01	2.979452e-01
# END HISTO1D


# BEGIN HISTO1D //eos/home-m/mdessena/CMSSW_eos/CMSSW_11_2_4/src/UE_with_without_MPI/with_MPI.yoda/CMS_2015_PAS_FSQ_15_007/d06-x01-y01
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-m/mdessena/CMSSW_eos/CMSSW_11_2_4/src/UE_with_without_MPI/with_MPI.yoda/CMS_2015_PAS_FSQ_15_007/d06-x01-y01
Title=with_MPI
# xlow	 xhigh	 val	 errminus	 errplus
5.000000e-01	1.000000e+00	1.255178e-01	1.699785e-04	1.699785e-04
1.000000e+00	1.500000e+00	3.407588e-01	4.194861e-04	4.194861e-04
1.500000e+00	2.000000e+00	6.117363e-01	8.068754e-04	8.068754e-04
2.000000e+00	2.500000e+00	8.932553e-01	1.231188e-03	1.231188e-03
2.500000e+00	3.000000e+00	1.133230e+00	1.699421e-03	1.699421e-03
3.000000e+00	3.500000e+00	1.308053e+00	2.281349e-03	2.281349e-03
3.500000e+00	4.000000e+00	1.412441e+00	3.014533e-03	3.014533e-03
4.000000e+00	4.500000e+00	1.463112e+00	3.942195e-03	3.942195e-03
4.500000e+00	5.000000e+00	1.500571e+00	5.081906e-03	5.081906e-03
5.000000e+00	6.000000e+00	1.507369e+00	4.922838e-03	4.922838e-03
6.000000e+00	7.000000e+00	1.521501e+00	7.444956e-03	7.444956e-03
7.000000e+00	8.000000e+00	1.524381e+00	1.031342e-02	1.031342e-02
8.000000e+00	1.000000e+01	1.549964e+00	1.119599e-02	1.119599e-02
1.000000e+01	1.200000e+01	1.567289e+00	1.845344e-02	1.845344e-02
1.200000e+01	1.600000e+01	1.566058e+00	2.215060e-02	2.215060e-02
1.600000e+01	2.000000e+01	1.624140e+00	4.438851e-02	4.438851e-02
2.000000e+01	2.400000e+01	1.708263e+00	7.375925e-02	7.375925e-02
2.400000e+01	2.800000e+01	1.671127e+00	1.109545e-01	1.109545e-01
2.800000e+01	3.200000e+01	1.828341e+00	1.709795e-01	1.709795e-01
3.200000e+01	3.600000e+01	1.606853e+00	2.023797e-01	2.023797e-01
3.600000e+01	4.000000e+01	1.505851e+00	1.918726e-01	1.918726e-01
4.000000e+01	5.000000e+01	1.347133e+00	2.301942e-01	2.301942e-01
# END HISTO1D


# BEGIN HISTO1D //eos/home-m/mdessena/CMSSW_eos/CMSSW_11_2_4/src/UE_with_without_MPI/without_MPI.yoda/CMS_2015_PAS_FSQ_15_007/d06-x01-y01
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//eos/home-m/mdessena/CMSSW_eos/CMSSW_11_2_4/src/UE_with_without_MPI/without_MPI.yoda/CMS_2015_PAS_FSQ_15_007/d06-x01-y01
Title=without_MPI
# xlow	 xhigh	 val	 errminus	 errplus
5.000000e-01	1.000000e+00	1.009510e-01	1.254094e-04	1.254094e-04
1.000000e+00	1.500000e+00	1.999711e-01	2.616595e-04	2.616595e-04
1.500000e+00	2.000000e+00	2.452264e-01	4.383745e-04	4.383745e-04
2.000000e+00	2.500000e+00	2.650674e-01	6.322546e-04	6.322546e-04
2.500000e+00	3.000000e+00	2.784267e-01	8.747958e-04	8.747958e-04
3.000000e+00	3.500000e+00	2.875310e-01	1.156197e-03	1.156197e-03
3.500000e+00	4.000000e+00	2.975827e-01	1.504359e-03	1.504359e-03
4.000000e+00	4.500000e+00	3.055756e-01	1.919189e-03	1.919189e-03
4.500000e+00	5.000000e+00	3.186742e-01	2.414582e-03	2.414582e-03
5.000000e+00	6.000000e+00	3.331486e-01	2.327871e-03	2.327871e-03
6.000000e+00	7.000000e+00	3.459494e-01	3.386009e-03	3.386009e-03
7.000000e+00	8.000000e+00	3.573511e-01	4.703452e-03	4.703452e-03
8.000000e+00	1.000000e+01	3.829684e-01	5.376067e-03	5.376067e-03
1.000000e+01	1.200000e+01	4.350656e-01	9.461849e-03	9.461849e-03
1.200000e+01	1.600000e+01	4.516139e-01	1.208223e-02	1.208223e-02
1.600000e+01	2.000000e+01	4.679845e-01	2.038218e-02	2.038218e-02
2.000000e+01	2.400000e+01	4.945171e-01	4.326777e-02	4.326777e-02
2.400000e+01	2.800000e+01	7.446177e-01	1.044582e-01	1.044582e-01
2.800000e+01	3.200000e+01	4.128081e-01	5.162086e-02	5.162086e-02
3.200000e+01	3.600000e+01	6.619400e-01	1.195539e-01	1.195539e-01
3.600000e+01	4.000000e+01	5.371479e-01	1.517719e-01	1.517719e-01
4.000000e+01	5.000000e+01	9.101675e-01	2.369539e-01	2.369539e-01
# END HISTO1D

