# BEGIN PLOT
LegendOnly=/CMS_2015_PAS_FSQ_15_007/d11-x01-y01 //eos/home-m/mdessena/CMSSW_eos/CMSSW_11_2_4/src/UE_with_without_MPI/with_MPI.yoda/CMS_2015_PAS_FSQ_15_007/d11-x01-y01 //eos/home-m/mdessena/CMSSW_eos/CMSSW_11_2_4/src/UE_with_without_MPI/without_MPI.yoda/CMS_2015_PAS_FSQ_15_007/d11-x01-y01
DrawOnly=/CMS_2015_PAS_FSQ_15_007/d11-x01-y01 //eos/home-m/mdessena/CMSSW_eos/CMSSW_11_2_4/src/UE_with_without_MPI/with_MPI.yoda/CMS_2015_PAS_FSQ_15_007/d11-x01-y01 //eos/home-m/mdessena/CMSSW_eos/CMSSW_11_2_4/src/UE_with_without_MPI/without_MPI.yoda/CMS_2015_PAS_FSQ_15_007/d11-x01-y01
XLabelSep=4.4
ConnectBins=0
RatioPlot=1
LogY=0
YLabelSep=5.4
RatioPlotSameStyle=0
RatioPlotErrorBandColor=grey!40!yellow!60
XTwosidedTicks=1
YTwosidedTicks=1
RatioPlotReference=/CMS_2015_PAS_FSQ_15_007/d11-x01-y01
Title=\large{CMS, 13 TeV, MB, TransDIF charged $p_\text{T}^{\text{sum}}$ density}
LegendXPos=0.40
XLabel=\large{$p_\text{T}^{\text{jet}}$[GeV]}
XMax=52
YLabel=\large{$(1/N_\text{events})\; dp_\text{T}^{\text{sum}}\,/d\eta\, d\phi$}
LegendYPos=0.50
Legend=1
# END PLOT

# BEGIN HISTO1D /CMS_2015_PAS_FSQ_15_007/d11-x01-y01
ConnectBins=0
ErrorBars=1
Path=/CMS_2015_PAS_FSQ_15_007/d11-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
5.000000e-01	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+00	1.500000e+00	1.034020e-01	2.848534e-03	2.848534e-03
1.500000e+00	2.000000e+00	1.699114e-01	2.580222e-03	2.580222e-03
2.000000e+00	2.500000e+00	2.367880e-01	2.601060e-03	2.601060e-03
2.500000e+00	3.000000e+00	2.996650e-01	2.966946e-03	2.966946e-03
3.000000e+00	3.500000e+00	3.549262e-01	3.485099e-03	3.485099e-03
3.500000e+00	4.000000e+00	4.116682e-01	3.160186e-03	3.160186e-03
4.000000e+00	4.500000e+00	4.579654e-01	4.325701e-03	4.325701e-03
4.500000e+00	5.000000e+00	5.063285e-01	4.683509e-03	4.683509e-03
5.000000e+00	6.000000e+00	5.591466e-01	1.377490e-02	1.377490e-02
6.000000e+00	7.000000e+00	6.236964e-01	1.604711e-02	1.604711e-02
7.000000e+00	8.000000e+00	6.783355e-01	1.525648e-02	1.525648e-02
8.000000e+00	9.000000e+00	7.192363e-01	1.197579e-02	1.197579e-02
9.000000e+00	1.000000e+01	7.664912e-01	1.092101e-02	1.092101e-02
1.000000e+01	1.200000e+01	8.004270e-01	1.207525e-02	1.207525e-02
1.200000e+01	1.400000e+01	8.546232e-01	1.319294e-02	1.319294e-02
1.400000e+01	1.600000e+01	9.097411e-01	1.454839e-02	1.454839e-02
1.600000e+01	1.800000e+01	9.035859e-01	1.575826e-02	1.575826e-02
1.800000e+01	2.000000e+01	9.590634e-01	1.919228e-02	1.919228e-02
2.000000e+01	2.400000e+01	9.638136e-01	1.971855e-02	1.971855e-02
2.400000e+01	2.800000e+01	1.105411e+00	2.874927e-02	2.874927e-02
2.800000e+01	3.200000e+01	1.119284e+00	4.365010e-02	4.365010e-02
