# BEGIN PLOT
LegendXPos=0.45
XLabel=Total energy [GeV]
RatioPlotReference=/CMS_2017_I1511284/d01-x01-y01
YLabel=d$\sigma$/dE[$\mu$b/GeV]
DrawOnly=/CMS_2017_I1511284/d01-x01-y01 //eos/home-m/mdessena/CMSSW_eos/CMSSW_11_2_4/src/UE_with_without_MPI/with_MPI.yoda/CMS_2017_I1511284/d01-x01-y01
RatioPlot=1
Title=CMS, 13 TeV, Total energy spectrum ($-6.6 < \eta < -5.2$)
Legend=1
LegendOnly=/CMS_2017_I1511284/d01-x01-y01 //eos/home-m/mdessena/CMSSW_eos/CMSSW_11_2_4/src/UE_with_without_MPI/with_MPI.yoda/CMS_2017_I1511284/d01-x01-y01
LogY=1
# END PLOT

# BEGIN HISTO1D /CMS_2017_I1511284/d01-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/CMS_2017_I1511284/d01-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.500000e+01	3.356560e+02	2.719570e+01	1.971750e+01
2.500000e+01	5.000000e+01	5.201920e+01	1.100110e+01	1.112130e+01
5.000000e+01	7.500000e+01	5.024980e+01	7.580820e+00	9.182380e+00
7.500000e+01	1.000000e+02	5.034210e+01	8.790520e+00	1.194190e+01
1.000000e+02	1.250000e+02	5.175210e+01	9.402690e+00	1.353990e+01
1.250000e+02	1.500000e+02	5.361380e+01	9.538420e+00	1.456990e+01
1.500000e+02	1.750000e+02	5.543410e+01	1.027920e+01	1.484800e+01
1.750000e+02	2.000000e+02	5.699610e+01	1.065260e+01	1.444700e+01
2.000000e+02	2.250000e+02	5.804350e+01	1.047990e+01	1.363230e+01
2.250000e+02	2.500000e+02	5.851530e+01	1.015770e+01	1.288320e+01
2.500000e+02	2.750000e+02	5.807740e+01	9.690560e+00	1.205580e+01
2.750000e+02	3.000000e+02	5.767590e+01	9.152370e+00	1.111380e+01
3.000000e+02	3.250000e+02	5.692610e+01	8.773150e+00	1.005470e+01
3.250000e+02	3.500000e+02	5.599950e+01	8.143740e+00	8.979030e+00
3.500000e+02	3.750000e+02	5.489210e+01	7.571330e+00	7.991900e+00
3.750000e+02	4.000000e+02	5.363360e+01	6.710440e+00	6.865800e+00
4.000000e+02	4.250000e+02	5.210260e+01	6.233320e+00	6.114350e+00
4.250000e+02	4.500000e+02	5.060150e+01	5.457010e+00	5.151650e+00
4.500000e+02	4.750000e+02	4.909400e+01	4.823100e+00	4.390360e+00
4.750000e+02	5.000000e+02	4.724650e+01	4.177040e+00	3.598280e+00
5.000000e+02	5.250000e+02	4.584880e+01	3.741490e+00	3.102030e+00
5.250000e+02	5.500000e+02	4.434710e+01	3.253490e+00	2.629380e+00
