# BEGIN PLOT
LegendXPos=0.45
XLabel=Electromagnetic energy [GeV]
RatioPlotReference=/CMS_2017_I1511284/d02-x01-y01
YLabel=d$\sigma$/dE[$\mu$b/GeV]
DrawOnly=/CMS_2017_I1511284/d02-x01-y01 //eos/home-m/mdessena/CMSSW_eos/CMSSW_11_2_4/src/UE_with_without_MPI/with_MPI.yoda/CMS_2017_I1511284/d02-x01-y01
RatioPlot=1
Title=CMS, 13 TeV, Electromagnetic energy spectrum ($-6.6 < \eta < -5.2$)
Legend=1
LegendOnly=/CMS_2017_I1511284/d02-x01-y01 //eos/home-m/mdessena/CMSSW_eos/CMSSW_11_2_4/src/UE_with_without_MPI/with_MPI.yoda/CMS_2017_I1511284/d02-x01-y01
LogY=1
# END PLOT

# BEGIN HISTO1D /CMS_2017_I1511284/d02-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/CMS_2017_I1511284/d02-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.500000e+01	6.984380e+02	5.605210e+01	5.639470e+01
2.500000e+01	5.000000e+01	1.521920e+02	3.319440e+01	4.738620e+01
5.000000e+01	7.500000e+01	1.493390e+02	3.385100e+01	4.006510e+01
7.500000e+01	1.000000e+02	1.413700e+02	2.628000e+01	3.229310e+01
1.000000e+02	1.250000e+02	1.343900e+02	2.210590e+01	2.636430e+01
1.250000e+02	1.500000e+02	1.302770e+02	1.950550e+01	1.747050e+01
1.500000e+02	1.750000e+02	1.237030e+02	1.429680e+01	1.212920e+01
1.750000e+02	2.000000e+02	1.154650e+02	1.032020e+01	7.867170e+00
2.000000e+02	2.250000e+02	1.063950e+02	6.514970e+00	5.081220e+00
2.250000e+02	2.500000e+02	9.608860e+01	5.383360e+00	4.580010e+00
2.500000e+02	2.750000e+02	8.613450e+01	4.637560e+00	4.403010e+00
2.750000e+02	3.000000e+02	7.815130e+01	4.595900e+00	4.052660e+00
3.000000e+02	3.250000e+02	7.119980e+01	5.524440e+00	4.114560e+00
3.250000e+02	3.500000e+02	6.512370e+01	6.630540e+00	4.672070e+00
3.500000e+02	3.750000e+02	5.891860e+01	7.030620e+00	4.814270e+00
3.750000e+02	4.000000e+02	5.338920e+01	7.141690e+00	5.225000e+00
4.000000e+02	4.250000e+02	4.817470e+01	7.056320e+00	5.214980e+00
4.250000e+02	4.500000e+02	4.365620e+01	7.335410e+00	5.106300e+00
4.500000e+02	4.750000e+02	3.969760e+01	7.433750e+00	4.622900e+00
4.750000e+02	5.000000e+02	3.589670e+01	7.551210e+00	4.812460e+00
5.000000e+02	5.250000e+02	3.225450e+01	7.482210e+00	4.738510e+00
5.250000e+02	5.500000e+02	2.928970e+01	7.569740e+00	4.844000e+00
5.500000e+02	5.750000e+02	2.673790e+01	7.715590e+00	4.857920e+00
5.750000e+02	6.000000e+02	2.419770e+01	7.640620e+00	4.779840e+00
6.000000e+02	6.500000e+02	2.082100e+01	7.303460e+00	4.933060e+00
6.500000e+02	7.000000e+02	1.685260e+01	6.569340e+00	5.166530e+00
7.000000e+02	7.500000e+02	1.364680e+01	5.749330e+00	5.172550e+00
7.500000e+02	8.000000e+02	1.119900e+01	5.083940e+00	4.809840e+00
8.000000e+02	8.500000e+02	9.058700e+00	4.346830e+00	4.349540e+00
8.500000e+02	9.000000e+02	7.358930e+00	3.683450e+00	3.907760e+00
9.000000e+02	9.500000e+02	5.994760e+00	3.124250e+00	3.469310e+00
9.500000e+02	1.000000e+03	4.914810e+00	2.659810e+00	3.034200e+00
1.000000e+03	1.100000e+03	3.628070e+00	1.981830e+00	2.621900e+00
1.100000e+03	1.200000e+03	2.482140e+00	1.360520e+00	2.194430e+00
1.200000e+03	1.300000e+03	1.772570e+00	1.036410e+00	1.659340e+00
1.300000e+03	1.400000e+03	1.377250e+00	9.454380e-01	1.082720e+00
1.400000e+03	1.500000e+03	1.019230e+00	8.421880e-01	8.283710e-01
1.500000e+03	1.750000e+03	4.825230e-01	4.396600e-01	6.854640e-01
1.750000e+03	2.000000e+03	1.122400e-01	1.027160e-01	4.333200e-01
# END HISTO1D


# BEGIN HISTO1D //eos/home-m/mdessena/CMSSW_eos/CMSSW_11_2_4/src/UE_with_without_MPI/with_MPI.yoda/CMS_2017_I1511284/d02-x01-y01
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-m/mdessena/CMSSW_eos/CMSSW_11_2_4/src/UE_with_without_MPI/with_MPI.yoda/CMS_2017_I1511284/d02-x01-y01
ScaledBy=1.73441112870766183e-02
Title=with_MPI
