# BEGIN PLOT
LegendXPos=0.45
XLabel=Hadronic energy [GeV]
RatioPlotReference=/CMS_2017_I1511284/d03-x01-y01
YLabel=d$\sigma$/dE[$\mu$b/GeV]
DrawOnly=/CMS_2017_I1511284/d03-x01-y01 //eos/home-m/mdessena/CMSSW_eos/CMSSW_11_2_4/src/UE_with_without_MPI/with_MPI.yoda/CMS_2017_I1511284/d03-x01-y01
RatioPlot=1
Title=CMS, 13 TeV, Hadronic energy spectrum ($-6.6 < \eta < -5.2$)
Legend=1
LegendOnly=/CMS_2017_I1511284/d03-x01-y01 //eos/home-m/mdessena/CMSSW_eos/CMSSW_11_2_4/src/UE_with_without_MPI/with_MPI.yoda/CMS_2017_I1511284/d03-x01-y01
LogY=1
# END PLOT

# BEGIN HISTO1D /CMS_2017_I1511284/d03-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/CMS_2017_I1511284/d03-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.500000e+01	3.747900e+02	2.542250e+01	2.034080e+01
2.500000e+01	5.000000e+01	8.179590e+01	1.538330e+01	1.575730e+01
5.000000e+01	7.500000e+01	8.953570e+01	1.408270e+01	1.608320e+01
7.500000e+01	1.000000e+02	9.190590e+01	1.435210e+01	1.817500e+01
1.000000e+02	1.250000e+02	9.223090e+01	1.538490e+01	2.013930e+01
1.250000e+02	1.500000e+02	9.168150e+01	1.578930e+01	2.071840e+01
1.500000e+02	1.750000e+02	8.934310e+01	1.526930e+01	1.980070e+01
1.750000e+02	2.000000e+02	8.721290e+01	1.430170e+01	1.831190e+01
2.000000e+02	2.250000e+02	8.397070e+01	1.274110e+01	1.617680e+01
2.250000e+02	2.500000e+02	8.067700e+01	1.128380e+01	1.418450e+01
2.500000e+02	2.750000e+02	7.695110e+01	9.986220e+00	1.226880e+01
2.750000e+02	3.000000e+02	7.338090e+01	8.907350e+00	1.058230e+01
3.000000e+02	3.250000e+02	6.960510e+01	7.724700e+00	8.877140e+00
3.250000e+02	3.500000e+02	6.623930e+01	7.019980e+00	7.632620e+00
3.500000e+02	3.750000e+02	6.322220e+01	6.484310e+00	6.619220e+00
3.750000e+02	4.000000e+02	6.011140e+01	5.451660e+00	5.256030e+00
4.000000e+02	4.250000e+02	5.713430e+01	4.835440e+00	4.401760e+00
4.250000e+02	4.500000e+02	5.425920e+01	4.101260e+00	3.478330e+00
4.500000e+02	4.750000e+02	5.183540e+01	3.429140e+00	2.736880e+00
4.750000e+02	5.000000e+02	4.947130e+01	2.716850e+00	2.139020e+00
5.000000e+02	5.250000e+02	4.691630e+01	2.010520e+00	1.535420e+00
5.250000e+02	5.500000e+02	4.480330e+01	1.587640e+00	1.310130e+00
5.500000e+02	5.750000e+02	4.265160e+01	1.584850e+00	1.152720e+00
5.750000e+02	6.000000e+02	4.069660e+01	1.896490e+00	1.221200e+00
6.000000e+02	6.500000e+02	3.816840e+01	2.108530e+00	8.996830e-01
6.500000e+02	7.000000e+02	3.478790e+01	2.681280e+00	1.380320e+00
7.000000e+02	7.500000e+02	3.178200e+01	3.055850e+00	1.643250e+00
7.500000e+02	8.000000e+02	2.911610e+01	3.359350e+00	1.922290e+00
8.000000e+02	8.500000e+02	2.661380e+01	3.593090e+00	2.125370e+00
8.500000e+02	9.000000e+02	2.434420e+01	3.788030e+00	2.329960e+00
9.000000e+02	9.500000e+02	2.232250e+01	3.944120e+00	2.475420e+00
9.500000e+02	1.000000e+03	2.044930e+01	4.110320e+00	2.676490e+00
1.000000e+03	1.100000e+03	1.778760e+01	4.160860e+00	2.691270e+00
1.100000e+03	1.200000e+03	1.475780e+01	4.232950e+00	2.799780e+00
1.200000e+03	1.300000e+03	1.219130e+01	4.233670e+00	2.838810e+00
1.300000e+03	1.400000e+03	9.969210e+00	4.104770e+00	2.845390e+00
1.400000e+03	1.500000e+03	8.049230e+00	3.855500e+00	2.846790e+00
1.500000e+03	1.750000e+03	5.383440e+00	3.182630e+00	2.764480e+00
1.750000e+03	2.000000e+03	2.761300e+00	2.003050e+00	2.392620e+00
2.000000e+03	2.250000e+03	1.287950e+00	1.060800e+00	1.795100e+00
2.250000e+03	2.500000e+03	5.497450e-01	4.882600e-01	1.148660e+00
2.500000e+03	3.000000e+03	1.496780e-01	1.427530e-01	4.918290e-01
3.000000e+03	3.500000e+03	1.899080e-02	2.008560e-02	1.210020e-01
3.500000e+03	5.000000e+03	4.196790e-04	5.656450e-04	7.233070e-03
# END HISTO1D


# BEGIN HISTO1D //eos/home-m/mdessena/CMSSW_eos/CMSSW_11_2_4/src/UE_with_without_MPI/with_MPI.yoda/CMS_2017_I1511284/d03-x01-y01
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-m/mdessena/CMSSW_eos/CMSSW_11_2_4/src/UE_with_without_MPI/with_MPI.yoda/CMS_2017_I1511284/d03-x01-y01
ScaledBy=1.73441112870766183e-02
Title=with_MPI
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.500000e+01	3.587560e+02	4.988909e-01	4.988909e-01
2.500000e+01	5.000000e+01	5.908444e+01	2.024616e-01	2.024616e-01
5.000000e+01	7.500000e+01	6.782312e+01	2.169176e-01	2.169176e-01
7.500000e+01	1.000000e+02	7.356888e+01	2.259191e-01	2.259191e-01
1.000000e+02	1.250000e+02	7.799440e+01	2.326150e-01	2.326150e-01
1.250000e+02	1.500000e+02	8.160960e+01	2.379450e-01	2.379450e-01
1.500000e+02	1.750000e+02	8.409328e+01	2.415387e-01	2.415387e-01
1.750000e+02	2.000000e+02	8.509436e+01	2.429721e-01	2.429721e-01
2.000000e+02	2.250000e+02	8.487516e+01	2.426589e-01	2.426589e-01
2.250000e+02	2.500000e+02	8.386988e+01	2.412176e-01	2.412176e-01
2.500000e+02	2.750000e+02	8.186280e+01	2.383139e-01	2.383139e-01
2.750000e+02	3.000000e+02	7.921124e+01	2.344226e-01	2.344226e-01
3.000000e+02	3.250000e+02	7.626832e+01	2.300266e-01	2.300266e-01
3.250000e+02	3.500000e+02	7.289800e+01	2.248867e-01	2.248867e-01
3.500000e+02	3.750000e+02	6.863896e+01	2.182184e-01	2.182184e-01
3.750000e+02	4.000000e+02	6.532208e+01	2.128806e-01	2.128806e-01
4.000000e+02	4.250000e+02	6.108596e+01	2.058622e-01	2.058622e-01
4.250000e+02	4.500000e+02	5.759148e+01	1.998872e-01	1.998872e-01
4.500000e+02	4.750000e+02	5.413028e+01	1.937877e-01	1.937877e-01
4.750000e+02	5.000000e+02	5.077108e+01	1.876784e-01	1.876784e-01
5.000000e+02	5.250000e+02	4.765192e+01	1.818219e-01	1.818219e-01
5.250000e+02	5.500000e+02	4.462916e+01	1.759606e-01	1.759606e-01
5.500000e+02	5.750000e+02	4.215728e+01	1.710182e-01	1.710182e-01
5.750000e+02	6.000000e+02	3.964031e+01	1.658344e-01	1.658344e-01
6.000000e+02	6.500000e+02	3.612292e+01	1.119393e-01	1.119393e-01
6.500000e+02	7.000000e+02	3.248274e+01	1.061494e-01	1.061494e-01
7.000000e+02	7.500000e+02	2.925848e+01	1.007435e-01	1.007435e-01
7.500000e+02	8.000000e+02	2.688718e+01	9.657478e-02	9.657478e-02
8.000000e+02	8.500000e+02	2.469212e+01	9.254867e-02	9.254867e-02
8.500000e+02	9.000000e+02	2.277490e+01	8.888311e-02	8.888311e-02
9.000000e+02	9.500000e+02	2.132320e+01	8.600372e-02	8.600372e-02
9.500000e+02	1.000000e+03	2.024266e+01	8.379630e-02	8.379630e-02
1.000000e+03	1.100000e+03	1.841754e+01	5.651865e-02	5.651865e-02
1.100000e+03	1.200000e+03	1.657490e+01	5.361687e-02	5.361687e-02
1.200000e+03	1.300000e+03	1.505573e+01	5.110070e-02	5.110070e-02
1.300000e+03	1.400000e+03	1.354350e+01	4.846647e-02	4.846647e-02
1.400000e+03	1.500000e+03	1.218944e+01	4.597989e-02	4.597989e-02
1.500000e+03	1.750000e+03	1.022442e+01	2.663333e-02	2.663333e-02
1.750000e+03	2.000000e+03	7.525888e+00	2.284993e-02	2.284993e-02
2.000000e+03	2.250000e+03	5.208576e+00	1.900927e-02	1.900927e-02
2.250000e+03	2.500000e+03	3.399030e+00	1.535619e-02	1.535619e-02
2.500000e+03	3.000000e+03	1.563988e+00	7.365593e-03	7.365593e-03
3.000000e+03	3.500000e+03	4.113676e-01	3.777514e-03	3.777514e-03
3.500000e+03	5.000000e+03	2.599304e-02	5.482251e-04	5.482251e-04
# END HISTO1D

