# BEGIN PLOT
YMin=0.15
DrawOnly=/CMS_2018_I1680318/d01-x03-y01 //eos/home-m/mdessena/CMSSW_eos/CMSSW_11_2_4/src/UE_with_without_MPI/with_MPI.yoda/CMS_2018_I1680318/d01-x03-y01 //eos/home-m/mdessena/CMSSW_eos/CMSSW_11_2_4/src/UE_with_without_MPI/without_MPI.yoda/CMS_2018_I1680318/d01-x03-y01
YMax=1.8
Title=CMS, 13 TeV, $pp$ Single Diffractive enhanced
RatioPlotReference=/CMS_2018_I1680318/d01-x03-y01
YLabel=$(1/N^{tot}_{events})dN_{ch}/d\eta$ 
RatioPlot=1
LogX=0
LogY=0
RatioPlotYMax=1.4
LegendOnly=/CMS_2018_I1680318/d01-x03-y01 //eos/home-m/mdessena/CMSSW_eos/CMSSW_11_2_4/src/UE_with_without_MPI/with_MPI.yoda/CMS_2018_I1680318/d01-x03-y01 //eos/home-m/mdessena/CMSSW_eos/CMSSW_11_2_4/src/UE_with_without_MPI/without_MPI.yoda/CMS_2018_I1680318/d01-x03-y01
XLabel=$\eta$ 
RatioPlotSameStyle=0
RatioPlotErrorBandColor=grey!40!yellow!60
Legend=1
RatioPlotYMin=0.6
# END PLOT

# BEGIN HISTO1D /CMS_2018_I1680318/d01-x03-y01
ConnectBins=0
ErrorBars=1
Path=/CMS_2018_I1680318/d01-x03-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
-2.400000e+00	-2.200000e+00	7.119000e-01	5.032941e-02	5.301773e-02
-2.200000e+00	-2.000000e+00	7.274000e-01	5.240229e-02	5.608895e-02
-2.000000e+00	-1.800000e+00	7.280000e-01	5.338998e-02	5.827401e-02
-1.800000e+00	-1.600000e+00	7.184000e-01	5.348963e-02	6.006879e-02
-1.600000e+00	-1.400000e+00	7.289000e-01	5.499273e-02	6.356666e-02
-1.400000e+00	-1.200000e+00	7.302000e-01	5.608083e-02	6.625300e-02
-1.200000e+00	-1.000000e+00	7.153000e-01	5.616485e-02	6.703805e-02
-1.000000e+00	-8.000000e-01	6.938000e-01	5.577383e-02	6.684497e-02
-8.000000e-01	-6.000000e-01	6.808000e-01	5.577383e-02	6.704454e-02
-6.000000e-01	-4.000000e-01	6.813000e-01	5.647167e-02	6.804241e-02
-4.000000e-01	-2.000000e-01	6.775000e-01	5.627228e-02	6.824200e-02
-2.000000e-01	0.000000e+00	6.708000e-01	5.576603e-02	6.783642e-02
0.000000e+00	2.000000e-01	6.708000e-01	5.576603e-02	6.783642e-02
2.000000e-01	4.000000e-01	6.775000e-01	5.627228e-02	6.824200e-02
4.000000e-01	6.000000e-01	6.813000e-01	5.647167e-02	6.814220e-02
6.000000e-01	8.000000e-01	6.808000e-01	5.577383e-02	6.704454e-02
8.000000e-01	1.000000e+00	6.938000e-01	5.577383e-02	6.684497e-02
1.000000e+00	1.200000e+00	7.153000e-01	5.616485e-02	6.703805e-02
1.200000e+00	1.400000e+00	7.302000e-01	5.608083e-02	6.625300e-02
1.400000e+00	1.600000e+00	7.289000e-01	5.499273e-02	6.356666e-02
1.600000e+00	1.800000e+00	7.184000e-01	5.348963e-02	6.006879e-02
1.800000e+00	2.000000e+00	7.280000e-01	5.338998e-02	5.827401e-02
2.000000e+00	2.200000e+00	7.274000e-01	5.240229e-02	5.608895e-02
2.200000e+00	2.400000e+00	7.119000e-01	5.032941e-02	5.301773e-02
# END HISTO1D


# BEGIN HISTO1D //eos/home-m/mdessena/CMSSW_eos/CMSSW_11_2_4/src/UE_with_without_MPI/with_MPI.yoda/CMS_2018_I1680318/d01-x03-y01
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-m/mdessena/CMSSW_eos/CMSSW_11_2_4/src/UE_with_without_MPI/with_MPI.yoda/CMS_2018_I1680318/d01-x03-y01
ScaledBy=3.45063181068453648e-06
Title=with_MPI
# xlow	 xhigh	 val	 errminus	 errplus
-2.400000e+00	-2.200000e+00	6.307755e-01	3.298920e-03	3.298920e-03
-2.200000e+00	-2.000000e+00	6.338120e-01	3.306850e-03	3.306850e-03
-2.000000e+00	-1.800000e+00	6.402645e-01	3.323641e-03	3.323641e-03
-1.800000e+00	-1.600000e+00	6.461480e-01	3.338876e-03	3.338876e-03
-1.600000e+00	-1.400000e+00	6.451990e-01	3.336424e-03	3.336424e-03
-1.400000e+00	-1.200000e+00	6.476835e-01	3.342841e-03	3.342841e-03
-1.200000e+00	-1.000000e+00	6.493225e-01	3.347068e-03	3.347068e-03
-1.000000e+00	-8.000000e-01	6.462345e-01	3.339099e-03	3.339099e-03
-8.000000e-01	-6.000000e-01	6.495470e-01	3.347647e-03	3.347647e-03
-6.000000e-01	-4.000000e-01	6.353650e-01	3.310899e-03	3.310899e-03
-4.000000e-01	-2.000000e-01	6.330010e-01	3.304734e-03	3.304734e-03
-2.000000e-01	0.000000e+00	6.341570e-01	3.307750e-03	3.307750e-03
0.000000e+00	2.000000e-01	6.364000e-01	3.313595e-03	3.313595e-03
2.000000e-01	4.000000e-01	6.379010e-01	3.317500e-03	3.317500e-03
4.000000e-01	6.000000e-01	6.430945e-01	3.330977e-03	3.330977e-03
6.000000e-01	8.000000e-01	6.380045e-01	3.317770e-03	3.317770e-03
8.000000e-01	1.000000e+00	6.480460e-01	3.343776e-03	3.343776e-03
1.000000e+00	1.200000e+00	6.544470e-01	3.360249e-03	3.360249e-03
1.200000e+00	1.400000e+00	6.501855e-01	3.349291e-03	3.349291e-03
1.400000e+00	1.600000e+00	6.529975e-01	3.356526e-03	3.356526e-03
1.600000e+00	1.800000e+00	6.493570e-01	3.347157e-03	3.347157e-03
1.800000e+00	2.000000e+00	6.449750e-01	3.335844e-03	3.335844e-03
2.000000e+00	2.200000e+00	6.331220e-01	3.305050e-03	3.305050e-03
2.200000e+00	2.400000e+00	6.257375e-01	3.285719e-03	3.285719e-03
# END HISTO1D


# BEGIN HISTO1D //eos/home-m/mdessena/CMSSW_eos/CMSSW_11_2_4/src/UE_with_without_MPI/without_MPI.yoda/CMS_2018_I1680318/d01-x03-y01
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//eos/home-m/mdessena/CMSSW_eos/CMSSW_11_2_4/src/UE_with_without_MPI/without_MPI.yoda/CMS_2018_I1680318/d01-x03-y01
ScaledBy=3.25215943386408592e-06
Title=without_MPI
# xlow	 xhigh	 val	 errminus	 errplus
-2.400000e+00	-2.200000e+00	6.049505e-01	3.136396e-03	3.136396e-03
-2.200000e+00	-2.000000e+00	6.059425e-01	3.138966e-03	3.138966e-03
-2.000000e+00	-1.800000e+00	6.133735e-01	3.158155e-03	3.158155e-03
-1.800000e+00	-1.600000e+00	6.233740e-01	3.183796e-03	3.183796e-03
-1.600000e+00	-1.400000e+00	6.281545e-01	3.195981e-03	3.195981e-03
-1.400000e+00	-1.200000e+00	6.266910e-01	3.192256e-03	3.192256e-03
-1.200000e+00	-1.000000e+00	6.218455e-01	3.179890e-03	3.179890e-03
-1.000000e+00	-8.000000e-01	6.213900e-01	3.178726e-03	3.178726e-03
-8.000000e-01	-6.000000e-01	6.176175e-01	3.169062e-03	3.169062e-03
-6.000000e-01	-4.000000e-01	6.133575e-01	3.158113e-03	3.158113e-03
-4.000000e-01	-2.000000e-01	6.171460e-01	3.167852e-03	3.167852e-03
-2.000000e-01	0.000000e+00	6.120400e-01	3.154720e-03	3.154720e-03
0.000000e+00	2.000000e-01	6.137315e-01	3.159076e-03	3.159076e-03
2.000000e-01	4.000000e-01	6.156990e-01	3.164135e-03	3.164135e-03
4.000000e-01	6.000000e-01	6.136500e-01	3.158866e-03	3.158866e-03
6.000000e-01	8.000000e-01	6.276830e-01	3.194781e-03	3.194781e-03
8.000000e-01	1.000000e+00	6.192925e-01	3.173356e-03	3.173356e-03
1.000000e+00	1.200000e+00	6.255205e-01	3.189273e-03	3.189273e-03
1.200000e+00	1.400000e+00	6.257805e-01	3.189936e-03	3.189936e-03
1.400000e+00	1.600000e+00	6.229025e-01	3.182592e-03	3.182592e-03
1.600000e+00	1.800000e+00	6.204145e-01	3.176229e-03	3.176229e-03
1.800000e+00	2.000000e+00	6.213900e-01	3.178726e-03	3.178726e-03
2.000000e+00	2.200000e+00	6.116010e-01	3.153589e-03	3.153589e-03
2.200000e+00	2.400000e+00	6.103980e-01	3.150485e-03	3.150485e-03
# END HISTO1D

