# BEGIN PLOT
XTwosidedTicks=1
YTwosidedTicks=1
Title=\large{TransAVE charged-particle density $\sqrt{s}=1.96\,\text{TeV}$}
RatioPlotReference=/CDF_2015_I1388868/d03-x01-y01
XLabelSep=4.4
RatioPlot=1
LogY=0
LegendXPos=0.40
XLabel=\large{$p_\text{T}^{\text{max}}$ [GeV]}
YLabelSep=5.4
YLabel=\large{$(1/N_\text{events})\; dN_\text{ch}\,/d\eta\, d\phi$}
DrawOnly=/CDF_2015_I1388868/d03-x01-y01 //afs/cern.ch/user/m/mdessena/MCNNTUNES_result1/CMSSW_11_2_4/src/Plots_Totali_2params/CP5.yoda/CDF_2015_I1388868/d03-x01-y01 //afs/cern.ch/user/m/mdessena/MCNNTUNES_result1/CMSSW_11_2_4/src/Plots_Totali_2params/Inverse.yoda/CDF_2015_I1388868/d03-x01-y01
RatioPlotErrorBandColor=grey!40!yellow!60
LegendYPos=0.50
Legend=1
LegendOnly=/CDF_2015_I1388868/d03-x01-y01 //afs/cern.ch/user/m/mdessena/MCNNTUNES_result1/CMSSW_11_2_4/src/Plots_Totali_2params/CP5.yoda/CDF_2015_I1388868/d03-x01-y01 //afs/cern.ch/user/m/mdessena/MCNNTUNES_result1/CMSSW_11_2_4/src/Plots_Totali_2params/Inverse.yoda/CDF_2015_I1388868/d03-x01-y01
# END PLOT

# BEGIN HISTO1D /CDF_2015_I1388868/d03-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/CDF_2015_I1388868/d03-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
5.000000e-01	1.000000e+00	9.270000e-02	1.280039e-02	1.280039e-02
1.000000e+00	1.500000e+00	2.606000e-01	1.320038e-02	1.320038e-02
1.500000e+00	2.000000e+00	3.938000e-01	1.450138e-02	1.450138e-02
2.000000e+00	2.500000e+00	4.860000e-01	1.630491e-02	1.630491e-02
2.500000e+00	3.000000e+00	5.397000e-01	1.701058e-02	1.701058e-02
3.000000e+00	3.500000e+00	5.664000e-01	1.562594e-02	1.562594e-02
3.500000e+00	4.000000e+00	5.790000e-01	1.694993e-02	1.694993e-02
4.000000e+00	4.500000e+00	5.889000e-01	2.077811e-02	2.077811e-02
4.500000e+00	5.000000e+00	5.962000e-01	2.183232e-02	2.183232e-02
5.000000e+00	6.000000e+00	6.013000e-01	2.124759e-02	2.124759e-02
6.000000e+00	7.000000e+00	6.031000e-01	2.237878e-02	2.237878e-02
7.000000e+00	8.000000e+00	6.158000e-01	2.461971e-02	2.461971e-02
8.000000e+00	1.000000e+01	6.145000e-01	2.852367e-02	2.852367e-02
1.000000e+01	1.500000e+01	6.154000e-01	3.238271e-02	3.238271e-02
1.500000e+01	2.000000e+01	6.710000e-01	4.763885e-02	4.763885e-02
# END HISTO1D


# BEGIN HISTO1D //afs/cern.ch/user/m/mdessena/MCNNTUNES_result1/CMSSW_11_2_4/src/Plots_Totali_2params/CP5.yoda/CDF_2015_I1388868/d03-x01-y01
LineColor=red
LineStyle=solid
Path=//afs/cern.ch/user/m/mdessena/MCNNTUNES_result1/CMSSW_11_2_4/src/Plots_Totali_2params/CP5.yoda/CDF_2015_I1388868/d03-x01-y01
Title=CP5
# xlow	 xhigh	 val	 errminus	 errplus
5.000000e-01	1.000000e+00	9.194287e-02	1.476846e-04	1.476846e-04
1.000000e+00	1.500000e+00	2.820712e-01	4.341171e-04	4.341171e-04
1.500000e+00	2.000000e+00	4.346012e-01	8.416290e-04	8.416290e-04
2.000000e+00	2.500000e+00	5.217476e-01	1.396214e-03	1.396214e-03
2.500000e+00	3.000000e+00	5.680967e-01	2.204564e-03	2.204564e-03
3.000000e+00	3.500000e+00	5.901042e-01	3.309411e-03	3.309411e-03
3.500000e+00	4.000000e+00	6.012491e-01	4.742240e-03	4.742240e-03
4.000000e+00	4.500000e+00	6.032991e-01	6.625145e-03	6.625145e-03
4.500000e+00	5.000000e+00	6.107343e-01	8.927941e-03	8.927941e-03
5.000000e+00	6.000000e+00	6.041628e-01	9.258765e-03	9.258765e-03
6.000000e+00	7.000000e+00	6.360305e-01	1.573263e-02	1.573263e-02
7.000000e+00	8.000000e+00	5.445874e-01	2.176111e-02	2.176111e-02
8.000000e+00	1.000000e+01	6.173933e-01	2.565910e-02	2.565910e-02
1.000000e+01	1.500000e+01	6.590008e-01	4.082600e-02	4.082600e-02
1.500000e+01	2.000000e+01	7.833408e-01	1.119058e-01	1.119058e-01
# END HISTO1D


# BEGIN HISTO1D //afs/cern.ch/user/m/mdessena/MCNNTUNES_result1/CMSSW_11_2_4/src/Plots_Totali_2params/Inverse.yoda/CDF_2015_I1388868/d03-x01-y01
LineColor=blue
LineStyle=solid
Path=//afs/cern.ch/user/m/mdessena/MCNNTUNES_result1/CMSSW_11_2_4/src/Plots_Totali_2params/Inverse.yoda/CDF_2015_I1388868/d03-x01-y01
Title=Inverse
# xlow	 xhigh	 val	 errminus	 errplus
5.000000e-01	1.000000e+00	9.137749e-02	1.462137e-04	1.462137e-04
1.000000e+00	1.500000e+00	2.734368e-01	4.234381e-04	4.234381e-04
1.500000e+00	2.000000e+00	4.166541e-01	8.278758e-04	8.278758e-04
2.000000e+00	2.500000e+00	4.985550e-01	1.381931e-03	1.381931e-03
2.500000e+00	3.000000e+00	5.393081e-01	2.165195e-03	2.165195e-03
3.000000e+00	3.500000e+00	5.648530e-01	3.262073e-03	3.262073e-03
3.500000e+00	4.000000e+00	5.574496e-01	4.598803e-03	4.598803e-03
4.000000e+00	4.500000e+00	5.616185e-01	6.452083e-03	6.452083e-03
4.500000e+00	5.000000e+00	5.731344e-01	8.923786e-03	8.923786e-03
5.000000e+00	6.000000e+00	5.680228e-01	9.019213e-03	9.019213e-03
6.000000e+00	7.000000e+00	5.728002e-01	1.480834e-02	1.480834e-02
7.000000e+00	8.000000e+00	5.809156e-01	2.315062e-02	2.315062e-02
8.000000e+00	1.000000e+01	6.031595e-01	2.335925e-02	2.335925e-02
1.000000e+01	1.500000e+01	6.346896e-01	3.844585e-02	3.844585e-02
1.500000e+01	2.000000e+01	7.234315e-01	1.031049e-01	1.031049e-01
# END HISTO1D

