# BEGIN PLOT
XTwosidedTicks=1
YTwosidedTicks=1
Title=\large{TransDIF charged-particle density $\sqrt{s}=1.96\,\text{TeV}$}
RatioPlotReference=/CDF_2015_I1388868/d04-x01-y01
XLabelSep=4.4
RatioPlot=1
LogY=0
LegendXPos=0.40
XLabel=\large{$p_\text{T}^{\text{max}}$ [GeV]}
YLabelSep=5.4
YLabel=\large{$(1/N_\text{events})\; dN_\text{ch}\,/d\eta\, d\phi$}
DrawOnly=/CDF_2015_I1388868/d04-x01-y01 //afs/cern.ch/user/m/mdessena/MCNNTUNES_result1/CMSSW_11_2_4/src/Plots_Totali_2params/CP5.yoda/CDF_2015_I1388868/d04-x01-y01 //afs/cern.ch/user/m/mdessena/MCNNTUNES_result1/CMSSW_11_2_4/src/Plots_Totali_2params/Inverse.yoda/CDF_2015_I1388868/d04-x01-y01
RatioPlotErrorBandColor=grey!40!yellow!60
LegendYPos=0.50
Legend=1
LegendOnly=/CDF_2015_I1388868/d04-x01-y01 //afs/cern.ch/user/m/mdessena/MCNNTUNES_result1/CMSSW_11_2_4/src/Plots_Totali_2params/CP5.yoda/CDF_2015_I1388868/d04-x01-y01 //afs/cern.ch/user/m/mdessena/MCNNTUNES_result1/CMSSW_11_2_4/src/Plots_Totali_2params/Inverse.yoda/CDF_2015_I1388868/d04-x01-y01
# END PLOT

# BEGIN HISTO1D /CDF_2015_I1388868/d04-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/CDF_2015_I1388868/d04-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
5.000000e-01	1.000000e+00	1.484000e-01	1.950103e-02	1.950103e-02
1.000000e+00	1.500000e+00	3.442000e-01	1.580285e-02	1.580285e-02
1.500000e+00	2.000000e+00	4.648000e-01	1.430559e-02	1.430559e-02
2.000000e+00	2.500000e+00	5.335000e-01	1.471224e-02	1.471224e-02
2.500000e+00	3.000000e+00	5.729000e-01	1.482734e-02	1.482734e-02
3.000000e+00	3.500000e+00	5.933000e-01	1.396066e-02	1.396066e-02
3.500000e+00	4.000000e+00	6.050000e-01	1.402926e-02	1.402926e-02
4.000000e+00	4.500000e+00	6.150000e-01	1.650606e-02	1.650606e-02
4.500000e+00	5.000000e+00	6.199000e-01	1.892644e-02	1.892644e-02
5.000000e+00	6.000000e+00	6.252000e-01	1.857229e-02	1.857229e-02
6.000000e+00	7.000000e+00	6.392000e-01	2.068913e-02	2.068913e-02
7.000000e+00	8.000000e+00	6.425000e-01	2.675892e-02	2.675892e-02
8.000000e+00	1.000000e+01	6.383000e-01	3.074150e-02	3.074150e-02
1.000000e+01	1.500000e+01	6.401000e-01	3.570224e-02	3.570224e-02
1.500000e+01	2.000000e+01	7.017000e-01	6.181812e-02	6.181812e-02
# END HISTO1D


# BEGIN HISTO1D //afs/cern.ch/user/m/mdessena/MCNNTUNES_result1/CMSSW_11_2_4/src/Plots_Totali_2params/CP5.yoda/CDF_2015_I1388868/d04-x01-y01
LineColor=red
LineStyle=solid
Path=//afs/cern.ch/user/m/mdessena/MCNNTUNES_result1/CMSSW_11_2_4/src/Plots_Totali_2params/CP5.yoda/CDF_2015_I1388868/d04-x01-y01
Title=CP5
# xlow	 xhigh	 val	 errminus	 errplus
5.000000e-01	1.000000e+00	1.444576e-01	2.322404e-04	2.322404e-04
1.000000e+00	1.500000e+00	3.627939e-01	5.833786e-04	5.833786e-04
1.500000e+00	2.000000e+00	4.986030e-01	1.052352e-03	1.052352e-03
2.000000e+00	2.500000e+00	5.654129e-01	1.685478e-03	1.685478e-03
2.500000e+00	3.000000e+00	5.969397e-01	2.608054e-03	2.608054e-03
3.000000e+00	3.500000e+00	6.194233e-01	3.911481e-03	3.911481e-03
3.500000e+00	4.000000e+00	6.348304e-01	5.562411e-03	5.562411e-03
4.000000e+00	4.500000e+00	6.223016e-01	7.727167e-03	7.727167e-03
4.500000e+00	5.000000e+00	6.369481e-01	1.040501e-02	1.040501e-02
5.000000e+00	6.000000e+00	6.224140e-01	1.081455e-02	1.081455e-02
6.000000e+00	7.000000e+00	6.441011e-01	1.790505e-02	1.790505e-02
