# BEGIN PLOT
XTwosidedTicks=1
YTwosidedTicks=1
XMax=24
XLabelSep=4.4
RatioPlotReference=/CMS_2015_PAS_FSQ_15_007/d03-x01-y01
ConnectBins=0
RatioPlot=1
LogY=0
LegendXPos=0.40
XLabel=\large{$p_\text{T}^{\text{max}}$[GeV]}
YLabelSep=5.4
YLabel=\large{$(1/N_\text{events})\; dp_\text{T}^{\text{sum}}\,/d\eta\, d\phi$}
Title=\large{CMS, 13 TeV, MB, TransDIF charged $p_\text{T}^{\text{sum}}$ density}
DrawOnly=/CMS_2015_PAS_FSQ_15_007/d03-x01-y01 //afs/cern.ch/user/m/mdessena/MCNNTUNES_result1/CMSSW_11_2_4/src/Plots_Totali_ext/CP5.yoda/CMS_2015_PAS_FSQ_15_007/d03-x01-y01 //afs/cern.ch/user/m/mdessena/MCNNTUNES_result1/CMSSW_11_2_4/src/Plots_Totali_ext/Inverse.yoda/CMS_2015_PAS_FSQ_15_007/d03-x01-y01
RatioPlotErrorBandColor=grey!40!yellow!60
LegendYPos=0.50
Legend=1
LegendOnly=/CMS_2015_PAS_FSQ_15_007/d03-x01-y01 //afs/cern.ch/user/m/mdessena/MCNNTUNES_result1/CMSSW_11_2_4/src/Plots_Totali_ext/CP5.yoda/CMS_2015_PAS_FSQ_15_007/d03-x01-y01 //afs/cern.ch/user/m/mdessena/MCNNTUNES_result1/CMSSW_11_2_4/src/Plots_Totali_ext/Inverse.yoda/CMS_2015_PAS_FSQ_15_007/d03-x01-y01
# END PLOT

# BEGIN HISTO1D /CMS_2015_PAS_FSQ_15_007/d03-x01-y01
ConnectBins=0
ErrorBars=1
Path=/CMS_2015_PAS_FSQ_15_007/d03-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
5.000000e-01	1.000000e+00	5.906501e-02	2.790340e-04	2.790340e-04
1.000000e+00	1.500000e+00	1.705802e-01	4.058386e-03	4.058386e-03
1.500000e+00	2.000000e+00	2.983050e-01	5.727535e-03	5.727535e-03
2.000000e+00	2.500000e+00	4.133652e-01	7.708834e-03	7.708834e-03
2.500000e+00	3.000000e+00	5.092931e-01	5.359362e-03	5.359362e-03
3.000000e+00	3.500000e+00	5.809705e-01	4.200646e-03	4.200646e-03
3.500000e+00	4.000000e+00	6.375897e-01	2.425665e-03	2.425665e-03
4.000000e+00	4.500000e+00	6.941051e-01	4.138942e-03	4.138942e-03
4.500000e+00	5.000000e+00	7.273000e-01	6.482692e-03	6.482692e-03
5.000000e+00	6.000000e+00	7.619986e-01	1.318231e-02	1.318231e-02
6.000000e+00	7.000000e+00	8.090667e-01	5.051820e-03	5.051820e-03
7.000000e+00	8.000000e+00	8.508746e-01	7.120133e-03	7.120133e-03
8.000000e+00	1.000000e+01	8.983699e-01	1.003109e-02	1.003109e-02
1.000000e+01	1.200000e+01	9.661892e-01	1.251068e-02	1.251068e-02
1.200000e+01	1.600000e+01	9.662331e-01	2.165847e-02	2.165847e-02
1.600000e+01	2.000000e+01	1.053670e+00	2.901027e-02	2.901027e-02
2.000000e+01	2.400000e+01	1.153402e+00	6.784806e-02	6.784806e-02
2.400000e+01	2.800000e+01	1.305058e+00	1.536979e-01	1.536979e-01
2.800000e+01	3.200000e+01	1.797134e+00	2.164775e-01	2.164775e-01
3.200000e+01	3.600000e+01	1.965634e+00	5.693099e-01	5.693099e-01
3.600000e+01	4.000000e+01	1.326769e+00	5.964774e-01	5.964774e-01
4.000000e+01	5.000000e+01	2.850896e-01	7.255272e-01	7.255272e-01
# END HISTO1D


# BEGIN HISTO1D //afs/cern.ch/user/m/mdessena/MCNNTUNES_result1/CMSSW_11_2_4/src/Plots_Totali_ext/CP5.yoda/CMS_2015_PAS_FSQ_15_007/d03-x01-y01
LineColor=red
LineStyle=solid
Path=//afs/cern.ch/user/m/mdessena/MCNNTUNES_result1/CMSSW_11_2_4/src/Plots_Totali_ext/CP5.yoda/CMS_2015_PAS_FSQ_15_007/d03-x01-y01
Title=CP5
# xlow	 xhigh	 val	 errminus	 errplus
5.000000e-01	1.000000e+00	6.365235e-02	8.214489e-05	8.214489e-05
1.000000e+00	1.500000e+00	1.699308e-01	2.152478e-04	2.152478e-04
1.500000e+00	2.000000e+00	2.954596e-01	4.379846e-04	4.379846e-04
2.000000e+00	2.500000e+00	4.237343e-01	7.055606e-04	7.055606e-04
2.500000e+00	3.000000e+00	5.376008e-01	1.034112e-03	1.034112e-03
3.000000e+00	3.500000e+00	6.239275e-01	1.450360e-03	1.450360e-03
3.500000e+00	4.000000e+00	6.824508e-01	1.987013e-03	1.987013e-03
4.000000e+00	4.500000e+00	7.199951e-01	2.662059e-03	2.662059e-03
4.500000e+00	5.000000e+00	7.429327e-01	3.471841e-03	3.471841e-03
5.000000e+00	6.000000e+00	7.622221e-01	3.489980e-03	3.489980e-03
6.000000e+00	7.000000e+00	7.937409e-01	5.454756e-03	5.454756e-03
7.000000e+00	8.000000e+00	7.983307e-01	7.796288e-03	7.796288e-03
8.000000e+00	1.000000e+01	8.273298e-01	8.725065e-03	8.725065e-03
1.000000e+01	1.200000e+01	8.787508e-01	1.571375e-02	1.571375e-02
1.200000e+01	1.600000e+01	9.168519e-01	2.092790e-02	2.092790e-02
1.600000e+01	2.000000e+01	9.703035e-01	4.295227e-02	4.295227e-02
2.000000e+01	2.400000e+01	1.218593e+00	1.005484e-01	1.005484e-01
