# BEGIN PLOT
XTwosidedTicks=1
YTwosidedTicks=1
XMax=24
XLabelSep=4.4
RatioPlotReference=/CMS_2015_PAS_FSQ_15_007/d05-x01-y01
ConnectBins=0
RatioPlot=1
LogY=0
LegendXPos=0.40
XLabel=\large{$p_\text{T}^{\text{max}}$[GeV]}
YLabelSep=5.4
YLabel=\large{$(1/N_\text{events})\; dN_\text{ch}\,/d\eta\, d\phi$}
Title=\large{CMS, 13 TeV, MB, TransMIN charged-particle density}
DrawOnly=/CMS_2015_PAS_FSQ_15_007/d05-x01-y01 //afs/cern.ch/user/m/mdessena/MCNNTUNES_result1/CMSSW_11_2_4/src/Plots_Totali_ext/CP5.yoda/CMS_2015_PAS_FSQ_15_007/d05-x01-y01 //afs/cern.ch/user/m/mdessena/MCNNTUNES_result1/CMSSW_11_2_4/src/Plots_Totali_ext/Inverse.yoda/CMS_2015_PAS_FSQ_15_007/d05-x01-y01 //afs/cern.ch/user/m/mdessena/MCNNTUNES_result1/CMSSW_11_2_4/src/Plots_Totali_ext/PerBin.yoda/CMS_2015_PAS_FSQ_15_007/d05-x01-y01
RatioPlotErrorBandColor=grey!40!yellow!60
LegendYPos=0.50
Legend=1
LegendOnly=/CMS_2015_PAS_FSQ_15_007/d05-x01-y01 //afs/cern.ch/user/m/mdessena/MCNNTUNES_result1/CMSSW_11_2_4/src/Plots_Totali_ext/CP5.yoda/CMS_2015_PAS_FSQ_15_007/d05-x01-y01 //afs/cern.ch/user/m/mdessena/MCNNTUNES_result1/CMSSW_11_2_4/src/Plots_Totali_ext/Inverse.yoda/CMS_2015_PAS_FSQ_15_007/d05-x01-y01 //afs/cern.ch/user/m/mdessena/MCNNTUNES_result1/CMSSW_11_2_4/src/Plots_Totali_ext/PerBin.yoda/CMS_2015_PAS_FSQ_15_007/d05-x01-y01
# END PLOT

# BEGIN HISTO1D /CMS_2015_PAS_FSQ_15_007/d05-x01-y01
ConnectBins=0
ErrorBars=1
Path=/CMS_2015_PAS_FSQ_15_007/d05-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
5.000000e-01	1.000000e+00	1.780852e-02	1.429872e-04	1.429872e-04
1.000000e+00	1.500000e+00	1.052240e-01	1.398514e-03	1.398514e-03
1.500000e+00	2.000000e+00	2.564061e-01	5.803302e-03	5.803302e-03
2.000000e+00	2.500000e+00	4.114816e-01	1.198772e-02	1.198772e-02
2.500000e+00	3.000000e+00	5.467365e-01	9.254487e-03	9.254487e-03
3.000000e+00	3.500000e+00	6.506715e-01	6.020503e-03	6.020503e-03
3.500000e+00	4.000000e+00	7.165673e-01	4.534857e-03	4.534857e-03
4.000000e+00	4.500000e+00	7.756815e-01	1.359142e-02	1.359142e-02
4.500000e+00	5.000000e+00	8.141959e-01	1.941431e-02	1.941431e-02
5.000000e+00	6.000000e+00	8.480938e-01	2.272101e-02	2.272101e-02
6.000000e+00	7.000000e+00	8.808584e-01	1.003011e-02	1.003011e-02
7.000000e+00	8.000000e+00	8.880211e-01	1.197128e-02	1.197128e-02
8.000000e+00	1.000000e+01	8.773568e-01	1.438432e-02	1.438432e-02
1.000000e+01	1.200000e+01	8.879592e-01	1.506606e-02	1.506606e-02
1.200000e+01	1.600000e+01	8.786843e-01	2.237119e-02	2.237119e-02
1.600000e+01	2.000000e+01	9.047112e-01	2.576813e-02	2.576813e-02
2.000000e+01	2.400000e+01	7.844522e-01	4.563999e-02	4.563999e-02
2.400000e+01	2.800000e+01	1.184633e+00	7.026493e-02	7.026493e-02
2.800000e+01	3.200000e+01	9.590939e-01	1.272719e-01	1.272719e-01
3.200000e+01	3.600000e+01	6.968981e-01	1.808310e-01	1.808310e-01
3.600000e+01	4.000000e+01	6.500394e-01	1.767886e-01	1.767886e-01
4.000000e+01	5.000000e+01	1.159189e+00	2.156266e-01	2.156266e-01
# END HISTO1D


# BEGIN HISTO1D //afs/cern.ch/user/m/mdessena/MCNNTUNES_result1/CMSSW_11_2_4/src/Plots_Totali_ext/CP5.yoda/CMS_2015_PAS_FSQ_15_007/d05-x01-y01
LineColor=red
LineStyle=solid
Path=//afs/cern.ch/user/m/mdessena/MCNNTUNES_result1/CMSSW_11_2_4/src/Plots_Totali_ext/CP5.yoda/CMS_2015_PAS_FSQ_15_007/d05-x01-y01
Title=CP5
# xlow	 xhigh	 val	 errminus	 errplus
5.000000e-01	1.000000e+00	2.469723e-02	6.816066e-05	6.816066e-05
1.000000e+00	1.500000e+00	1.160027e-01	2.215204e-04	2.215204e-04
1.500000e+00	2.000000e+00	2.724671e-01	4.786918e-04	4.786918e-04
2.000000e+00	2.500000e+00	4.556142e-01	7.721793e-04	7.721793e-04
2.500000e+00	3.000000e+00	6.225357e-01	1.103025e-03	1.103025e-03
3.000000e+00	3.500000e+00	7.479888e-01	1.509852e-03	1.509852e-03
3.500000e+00	4.000000e+00	8.231935e-01	2.012996e-03	2.012996e-03
4.000000e+00	4.500000e+00	8.605432e-01	2.629177e-03	2.629177e-03
4.500000e+00	5.000000e+00	8.817660e-01	3.410969e-03	3.410969e-03
5.000000e+00	6.000000e+00	8.925439e-01	3.314494e-03	3.314494e-03
6.000000e+00	7.000000e+00	8.924468e-01	4.958433e-03	4.958433e-03
7.000000e+00	8.000000e+00	8.948034e-01	6.952379e-03	6.952379e-03
8.000000e+00	1.000000e+01	9.086777e-01	7.456199e-03	7.456199e-03
1.000000e+01	1.200000e+01	9.220011e-01	1.239548e-02	1.239548e-02
1.200000e+01	1.600000e+01	9.102962e-01	1.513810e-02	1.513810e-02
1.600000e+01	2.000000e+01	9.248126e-01	2.995508e-02	2.995508e-02
2.000000e+01	2.400000e+01	1.018788e+00	4.733237e-02	4.733237e-02
2.400000e+01	2.800000e+01	9.080756e-01	6.546516e-02	6.546516e-02
2.800000e+01	3.200000e+01	1.028011e+00	1.127269e-01	1.127269e-01
3.200000e+01	3.600000e+01	9.549297e-01	1.354350e-01	1.354350e-01
3.600000e+01	4.000000e+01	6.820926e-01	1.619107e-01	1.619107e-01
4.000000e+01	5.000000e+01	9.689729e-01	1.538341e-01	1.538341e-01
# END HISTO1D


# BEGIN HISTO1D //afs/cern.ch/user/m/mdessena/MCNNTUNES_result1/CMSSW_11_2_4/src/Plots_Totali_ext/Inverse.yoda/CMS_2015_PAS_FSQ_15_007/d05-x01-y01
LineColor=blue
LineStyle=solid
Path=//afs/cern.ch/user/m/mdessena/MCNNTUNES_result1/CMSSW_11_2_4/src/Plots_Totali_ext/Inverse.yoda/CMS_2015_PAS_FSQ_15_007/d05-x01-y01
Title=Inverse
# xlow	 xhigh	 val	 errminus	 errplus
5.000000e-01	1.000000e+00	2.373045e-02	6.692984e-05	6.692984e-05
1.000000e+00	1.500000e+00	1.049717e-01	1.991383e-04	1.991383e-04
1.500000e+00	2.000000e+00	2.238808e-01	3.944325e-04	3.944325e-04
2.000000e+00	2.500000e+00	3.419231e-01	6.098396e-04	6.098396e-04
2.500000e+00	3.000000e+00	4.382897e-01	8.735016e-04	8.735016e-04
3.000000e+00	3.500000e+00	5.067024e-01	1.203203e-03	1.203203e-03
3.500000e+00	4.000000e+00	5.478187e-01	1.606452e-03	1.606452e-03
4.000000e+00	4.500000e+00	5.750330e-01	2.131881e-03	2.131881e-03
4.500000e+00	5.000000e+00	5.845352e-01	2.701339e-03	2.701339e-03
5.000000e+00	6.000000e+00	5.955900e-01	2.658360e-03	2.658360e-03
6.000000e+00	7.000000e+00	6.020200e-01	3.891753e-03	3.891753e-03
7.000000e+00	8.000000e+00	6.078078e-01	5.477412e-03	5.477412e-03
8.000000e+00	1.000000e+01	6.162774e-01	5.767783e-03	5.767783e-03
1.000000e+01	1.200000e+01	6.210965e-01	9.667346e-03	9.667346e-03
1.200000e+01	1.600000e+01	6.227938e-01	1.203410e-02	1.203410e-02
1.600000e+01	2.000000e+01	6.531849e-01	2.084941e-02	2.084941e-02
2.000000e+01	2.400000e+01	5.765435e-01	3.582126e-02	3.582126e-02
2.400000e+01	2.800000e+01	5.808335e-01	5.769196e-02	5.769196e-02
2.800000e+01	3.200000e+01	6.631456e-01	8.529455e-02	8.529455e-02
3.200000e+01	3.600000e+01	7.988354e-01	1.091540e-01	1.091540e-01
3.600000e+01	4.000000e+01	7.480280e-01	1.756895e-01	1.756895e-01
4.000000e+01	5.000000e+01	6.539191e-01	1.502528e-01	1.502528e-01
# END HISTO1D


# BEGIN HISTO1D //afs/cern.ch/user/m/mdessena/MCNNTUNES_result1/CMSSW_11_2_4/src/Plots_Totali_ext/PerBin.yoda/CMS_2015_PAS_FSQ_15_007/d05-x01-y01
ErrorBreakdown={0: {"": {up: 0, dn: 0}}, 1: {"": {up: 0, dn: 0}}, 2: {"": {up: 0, dn: 0}}, 3: {"": {up: 0, dn: 0}}, 4: {"": {up: 0, dn: 0}}, 5: {"": {up: 0, dn: 0}}, 6: {"": {up: 0, dn: 0}}, 7: {"": {up: 0, dn: 0}}, 8: {"": {up: 0, dn: 0}}, 9: {"": {up: 0, dn: 0}}, 10: {"": {up: 0, dn: 0}}, 11: {"": {up: 0, dn: 0}}, 12: {"": {up: 0, dn: 0}}, 13: {"": {up: 0, dn: 0}}, 14: {"": {up: 0, dn: 0}}, 15: {"": {up: 0, dn: 0}}, 16: {"": {up: 0, dn: 0}}, 17: {"": {up: 0, dn: 0}}, 18: {"": {up: 0, dn: 0}}, 19: {"": {up: 0, dn: 0}}, 20: {"": {up: 0, dn: 0}}, 21: {"": {up: 0, dn: 0}}}
LineColor=green
LineStyle=solid
Path=//afs/cern.ch/user/m/mdessena/MCNNTUNES_result1/CMSSW_11_2_4/src/Plots_Totali_ext/PerBin.yoda/CMS_2015_PAS_FSQ_15_007/d05-x01-y01
Title=PerBin
Tune_Parameter_coreFrac=0.2754939061900956
Tune_Parameter_coreRad=0.32230775447628845
Tune_Parameter_crRange=7.3071575075139865
Tune_Parameter_emcPowisr=0.04490622787769506
Tune_Parameter_pT0isr=1.5380006652818874
# xlow	 xhigh	 val	 errminus	 errplus
5.000000e-01	1.000000e+00	2.337913e-02	0.000000e+00	0.000000e+00
1.000000e+00	1.500000e+00	1.067108e-01	0.000000e+00	0.000000e+00
1.500000e+00	2.000000e+00	2.372591e-01	0.000000e+00	0.000000e+00
2.000000e+00	2.500000e+00	3.883059e-01	0.000000e+00	0.000000e+00
2.500000e+00	3.000000e+00	5.421083e-01	0.000000e+00	0.000000e+00
3.000000e+00	3.500000e+00	6.561963e-01	0.000000e+00	0.000000e+00
3.500000e+00	4.000000e+00	7.337951e-01	0.000000e+00	0.000000e+00
4.000000e+00	4.500000e+00	7.876542e-01	0.000000e+00	0.000000e+00
4.500000e+00	5.000000e+00	8.484605e-01	0.000000e+00	0.000000e+00
5.000000e+00	6.000000e+00	8.619713e-01	0.000000e+00	0.000000e+00
