# BEGIN PLOT
XTwosidedTicks=1
YTwosidedTicks=1
XMax=52
XLabelSep=4.4
RatioPlotReference=/CMS_2015_PAS_FSQ_15_007/d10-x01-y01
ConnectBins=0
RatioPlot=1
LogY=0
LegendXPos=0.40
XLabel=\large{$p_\text{T}^{\text{jet}}$[GeV]}
YLabelSep=5.4
YLabel=\large{$(1/N_\text{events})\; dp_\text{T}^{\text{sum}}\,/d\eta\, d\phi$}
Title=\large{CMS, 13 TeV, MB, TransMAX charged $p_\text{T}^{\text{sum}}$ density}
DrawOnly=/CMS_2015_PAS_FSQ_15_007/d10-x01-y01 //afs/cern.ch/user/m/mdessena/MCNNTUNES_result1/CMSSW_11_2_4/src/Plots_Totali_ext/CP5.yoda/CMS_2015_PAS_FSQ_15_007/d10-x01-y01 //afs/cern.ch/user/m/mdessena/MCNNTUNES_result1/CMSSW_11_2_4/src/Plots_Totali_ext/Inverse.yoda/CMS_2015_PAS_FSQ_15_007/d10-x01-y01
RatioPlotErrorBandColor=grey!40!yellow!60
LegendYPos=0.50
Legend=1
LegendOnly=/CMS_2015_PAS_FSQ_15_007/d10-x01-y01 //afs/cern.ch/user/m/mdessena/MCNNTUNES_result1/CMSSW_11_2_4/src/Plots_Totali_ext/CP5.yoda/CMS_2015_PAS_FSQ_15_007/d10-x01-y01 //afs/cern.ch/user/m/mdessena/MCNNTUNES_result1/CMSSW_11_2_4/src/Plots_Totali_ext/Inverse.yoda/CMS_2015_PAS_FSQ_15_007/d10-x01-y01
# END PLOT

# BEGIN HISTO1D /CMS_2015_PAS_FSQ_15_007/d10-x01-y01
ConnectBins=0
ErrorBars=1
Path=/CMS_2015_PAS_FSQ_15_007/d10-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
5.000000e-01	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+00	1.500000e+00	1.355405e-01	3.631005e-03	3.631005e-03
1.500000e+00	2.000000e+00	2.461740e-01	5.022384e-03	5.022384e-03
2.000000e+00	2.500000e+00	3.766492e-01	6.033158e-03	6.033158e-03
2.500000e+00	3.000000e+00	5.172530e-01	5.869091e-03	5.869091e-03
3.000000e+00	3.500000e+00	6.535431e-01	5.549870e-03	5.549870e-03
3.500000e+00	4.000000e+00	7.882106e-01	9.187464e-03	9.187464e-03
4.000000e+00	4.500000e+00	9.130656e-01	1.604957e-02	1.604957e-02
4.500000e+00	5.000000e+00	1.035276e+00	2.391716e-02	2.391716e-02
5.000000e+00	6.000000e+00	1.173328e+00	4.434382e-02	4.434382e-02
6.000000e+00	7.000000e+00	1.347946e+00	5.016877e-02	5.016877e-02
7.000000e+00	8.000000e+00	1.494035e+00	5.550498e-02	5.550498e-02
8.000000e+00	9.000000e+00	1.611981e+00	5.938969e-02	5.938969e-02
9.000000e+00	1.000000e+01	1.708811e+00	6.307882e-02	6.307882e-02
1.000000e+01	1.200000e+01	1.794389e+00	6.616756e-02	6.616756e-02
1.200000e+01	1.400000e+01	1.899719e+00	7.033719e-02	7.033719e-02
1.400000e+01	1.600000e+01	2.001375e+00	7.451377e-02	7.451377e-02
1.600000e+01	1.800000e+01	2.056505e+00	7.740109e-02	7.740109e-02
1.800000e+01	2.000000e+01	2.025164e+00	7.788846e-02	7.788846e-02
2.000000e+01	2.400000e+01	2.076251e+00	8.135146e-02	8.135146e-02
2.400000e+01	2.800000e+01	2.185308e+00	9.119467e-02	9.119467e-02
2.800000e+01	3.200000e+01	2.190212e+00	1.043058e-01	1.043058e-01
3.200000e+01	3.600000e+01	2.322575e+00	1.435498e-01	1.435498e-01
3.600000e+01	4.000000e+01	2.379597e+00	1.908252e-01	1.908252e-01
4.000000e+01	4.400000e+01	2.512066e+00	2.305982e-01	2.305982e-01
4.400000e+01	4.800000e+01	2.050937e+00	2.966287e-01	2.966287e-01
4.800000e+01	5.200000e+01	2.590848e+00	5.320739e-01	5.320739e-01
5.200000e+01	5.600000e+01	2.098569e+00	4.224310e-01	4.224310e-01
5.600000e+01	6.000000e+01	2.619318e+00	4.543077e-01	4.543077e-01
6.000000e+01	6.400000e+01	2.995445e+00	5.374462e-01	5.374462e-01
6.400000e+01	6.800000e+01	1.609036e+00	6.084965e-01	6.084965e-01
6.800000e+01	7.200000e+01	1.828369e+00	3.610003e-01	3.610003e-01
7.200000e+01	8.000000e+01	3.023138e+00	1.033543e+00	1.033543e+00
# END HISTO1D


# BEGIN HISTO1D //afs/cern.ch/user/m/mdessena/MCNNTUNES_result1/CMSSW_11_2_4/src/Plots_Totali_ext/CP5.yoda/CMS_2015_PAS_FSQ_15_007/d10-x01-y01
LineColor=red
LineStyle=solid
Path=//afs/cern.ch/user/m/mdessena/MCNNTUNES_result1/CMSSW_11_2_4/src/Plots_Totali_ext/CP5.yoda/CMS_2015_PAS_FSQ_15_007/d10-x01-y01
Title=CP5
# xlow	 xhigh	 val	 errminus	 errplus
5.000000e-01	1.000000e+00	nan	nan	nan
1.000000e+00	1.500000e+00	1.367999e-01	1.828035e-04	1.828035e-04
1.500000e+00	2.000000e+00	2.445788e-01	3.433041e-04	3.433041e-04
2.000000e+00	2.500000e+00	3.661550e-01	5.654760e-04	5.654760e-04
2.500000e+00	3.000000e+00	4.918424e-01	8.315206e-04	8.315206e-04
3.000000e+00	3.500000e+00	6.225491e-01	1.131657e-03	1.131657e-03
3.500000e+00	4.000000e+00	7.537056e-01	1.439111e-03	1.439111e-03
4.000000e+00	4.500000e+00	8.834502e-01	1.777760e-03	1.777760e-03
4.500000e+00	5.000000e+00	1.006981e+00	2.136549e-03	2.136549e-03
5.000000e+00	6.000000e+00	1.167149e+00	1.919159e-03	1.919159e-03
6.000000e+00	7.000000e+00	1.345170e+00	2.540378e-03	2.540378e-03
7.000000e+00	8.000000e+00	1.491463e+00	3.296544e-03	3.296544e-03
8.000000e+00	9.000000e+00	1.601629e+00	4.185309e-03	4.185309e-03
9.000000e+00	1.000000e+01	1.694601e+00	5.266835e-03	5.266835e-03
1.000000e+01	1.200000e+01	1.769484e+00	5.012006e-03	5.012006e-03
1.200000e+01	1.400000e+01	1.841138e+00	7.368669e-03	7.368669e-03
1.400000e+01	1.600000e+01	1.887510e+00	1.051896e-02	1.051896e-02
1.600000e+01	1.800000e+01	1.929658e+00	1.412444e-02	1.412444e-02
1.800000e+01	2.000000e+01	1.950041e+00	1.897469e-02	1.897469e-02
2.000000e+01	2.400000e+01	1.961415e+00	1.945017e-02	1.945017e-02
2.400000e+01	2.800000e+01	1.998108e+00	3.049320e-02	3.049320e-02
2.800000e+01	3.200000e+01	2.122137e+00	4.286651e-02	4.286651e-02
3.200000e+01	3.600000e+01	2.077365e+00	6.688212e-02	6.688212e-02
3.600000e+01	4.000000e+01	2.089536e+00	8.273786e-02	8.273786e-02
4.000000e+01	4.400000e+01	2.178109e+00	1.316483e-01	1.316483e-01
4.400000e+01	4.800000e+01	2.323577e+00	1.486769e-01	1.486769e-01
4.800000e+01	5.200000e+01	2.365665e+00	2.338690e-01	2.338690e-01
5.200000e+01	5.600000e+01	2.243604e+00	1.725648e-01	1.725648e-01
5.600000e+01	6.000000e+01	2.368272e+00	3.402456e-01	3.402456e-01
6.000000e+01	6.400000e+01	3.204844e+00	4.891450e-01	4.891450e-01
6.400000e+01	6.800000e+01	3.434336e+00	7.021037e-01	7.021037e-01
6.800000e+01	7.200000e+01	3.588558e+00	1.304478e+00	1.304478e+00
7.200000e+01	8.000000e+01	2.353823e+00	3.979586e-01	3.979586e-01
# END HISTO1D


# BEGIN HISTO1D //afs/cern.ch/user/m/mdessena/MCNNTUNES_result1/CMSSW_11_2_4/src/Plots_Totali_ext/Inverse.yoda/CMS_2015_PAS_FSQ_15_007/d10-x01-y01
LineColor=blue
LineStyle=solid
Path=//afs/cern.ch/user/m/mdessena/MCNNTUNES_result1/CMSSW_11_2_4/src/Plots_Totali_ext/Inverse.yoda/CMS_2015_PAS_FSQ_15_007/d10-x01-y01
Title=Inverse
# xlow	 xhigh	 val	 errminus	 errplus
5.000000e-01	1.000000e+00	nan	nan	nan
1.000000e+00	1.500000e+00	1.359940e-01	1.802623e-04	1.802623e-04
1.500000e+00	2.000000e+00	2.353180e-01	3.239904e-04	3.239904e-04
2.000000e+00	2.500000e+00	3.429651e-01	5.153633e-04	5.153633e-04
2.500000e+00	3.000000e+00	4.481148e-01	7.412220e-04	7.412220e-04
3.000000e+00	3.500000e+00	5.461692e-01	9.762254e-04	9.762254e-04
