# BEGIN PLOT
XTwosidedTicks=1
YTwosidedTicks=1
XMax=52
XLabelSep=4.4
RatioPlotReference=/CMS_2015_PAS_FSQ_15_007/d13-x01-y01
ConnectBins=0
RatioPlot=1
LogY=0
LegendXPos=0.40
XLabel=\large{$p_\text{T}^{\text{jet}}$[GeV]}
YLabelSep=5.4
YLabel=\large{$(1/N_\text{events})\; dN_\text{ch}\,/d\eta\, d\phi$}
Title=\large{CMS, 13 TeV, MB, TransMIN charged-particle density}
DrawOnly=/CMS_2015_PAS_FSQ_15_007/d13-x01-y01 //afs/cern.ch/user/m/mdessena/MCNNTUNES_result1/CMSSW_11_2_4/src/Plots_Totali_ext/CP5.yoda/CMS_2015_PAS_FSQ_15_007/d13-x01-y01 //afs/cern.ch/user/m/mdessena/MCNNTUNES_result1/CMSSW_11_2_4/src/Plots_Totali_ext/Inverse.yoda/CMS_2015_PAS_FSQ_15_007/d13-x01-y01
RatioPlotErrorBandColor=grey!40!yellow!60
LegendYPos=0.50
Legend=1
LegendOnly=/CMS_2015_PAS_FSQ_15_007/d13-x01-y01 //afs/cern.ch/user/m/mdessena/MCNNTUNES_result1/CMSSW_11_2_4/src/Plots_Totali_ext/CP5.yoda/CMS_2015_PAS_FSQ_15_007/d13-x01-y01 //afs/cern.ch/user/m/mdessena/MCNNTUNES_result1/CMSSW_11_2_4/src/Plots_Totali_ext/Inverse.yoda/CMS_2015_PAS_FSQ_15_007/d13-x01-y01
# END PLOT

# BEGIN HISTO1D /CMS_2015_PAS_FSQ_15_007/d13-x01-y01
ConnectBins=0
ErrorBars=1
Path=/CMS_2015_PAS_FSQ_15_007/d13-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
5.000000e-01	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+00	1.500000e+00	3.957536e-02	1.154984e-03	1.154984e-03
1.500000e+00	2.000000e+00	9.584343e-02	3.429107e-03	3.429107e-03
2.000000e+00	2.500000e+00	1.689505e-01	5.423623e-03	5.423623e-03
2.500000e+00	3.000000e+00	2.528127e-01	6.591534e-03	6.591534e-03
3.000000e+00	3.500000e+00	3.353499e-01	6.415298e-03	6.415298e-03
3.500000e+00	4.000000e+00	4.118005e-01	7.897111e-03	7.897111e-03
4.000000e+00	4.500000e+00	4.870165e-01	8.408857e-03	8.408857e-03
4.500000e+00	5.000000e+00	5.560787e-01	1.115696e-02	1.115696e-02
5.000000e+00	6.000000e+00	6.335194e-01	2.224016e-02	2.224016e-02
6.000000e+00	7.000000e+00	7.256842e-01	2.375072e-02	2.375072e-02
7.000000e+00	8.000000e+00	8.038025e-01	2.640320e-02	2.640320e-02
8.000000e+00	9.000000e+00	8.662184e-01	2.778832e-02	2.778832e-02
9.000000e+00	1.000000e+01	9.016923e-01	2.889861e-02	2.889861e-02
1.000000e+01	1.200000e+01	9.368674e-01	3.160718e-02	3.160718e-02
1.200000e+01	1.400000e+01	9.743784e-01	3.325136e-02	3.325136e-02
1.400000e+01	1.600000e+01	9.897403e-01	3.425382e-02	3.425382e-02
1.600000e+01	1.800000e+01	1.015394e+00	3.609762e-02	3.609762e-02
1.800000e+01	2.000000e+01	9.781282e-01	3.617634e-02	3.617634e-02
2.000000e+01	2.400000e+01	9.899265e-01	3.750521e-02	3.750521e-02
2.400000e+01	2.800000e+01	9.698657e-01	4.171645e-02	4.171645e-02
