# BEGIN PLOT
XTwosidedTicks=1
YTwosidedTicks=1
Title=\large{TransDIF charged $p^{\text{sum}}_\text{T}$ density $\sqrt{s}=1.96\,\text{TeV}$}
RatioPlotReference=/CDF_2015_I1388868/d08-x01-y01
XLabelSep=4.4
RatioPlot=1
LogY=0
LegendXPos=0.40
XLabel=\large{$p_\text{T}^{\text{max}}$ [GeV]}
YLabelSep=5.4
YLabel=\large{$(1/N_\text{events})\; dp^{\text{sum}}_\text{T}\,/d\eta\, d\phi$ [GeV]}
DrawOnly=/CDF_2015_I1388868/d08-x01-y01 //afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_ecmPow/result_TOT_0.yoda/CDF_2015_I1388868/d08-x01-y01 //afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_ecmPow/result_TOT_1.yoda/CDF_2015_I1388868/d08-x01-y01 //afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_ecmPow/result_TOT_2.yoda/CDF_2015_I1388868/d08-x01-y01 //afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_ecmPow/result_TOT_3.yoda/CDF_2015_I1388868/d08-x01-y01 //afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_ecmPow/result_TOT_4.yoda/CDF_2015_I1388868/d08-x01-y01 //afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_ecmPow/result_TOT_5.yoda/CDF_2015_I1388868/d08-x01-y01 //afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_ecmPow/result_TOT_6.yoda/CDF_2015_I1388868/d08-x01-y01 //afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_ecmPow/result_TOT_7.yoda/CDF_2015_I1388868/d08-x01-y01
RatioPlotErrorBandColor=grey!40!yellow!60
LegendYPos=0.50
Legend=1
LegendOnly=/CDF_2015_I1388868/d08-x01-y01 //afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_ecmPow/result_TOT_0.yoda/CDF_2015_I1388868/d08-x01-y01 //afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_ecmPow/result_TOT_1.yoda/CDF_2015_I1388868/d08-x01-y01 //afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_ecmPow/result_TOT_2.yoda/CDF_2015_I1388868/d08-x01-y01 //afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_ecmPow/result_TOT_3.yoda/CDF_2015_I1388868/d08-x01-y01 //afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_ecmPow/result_TOT_4.yoda/CDF_2015_I1388868/d08-x01-y01 //afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_ecmPow/result_TOT_5.yoda/CDF_2015_I1388868/d08-x01-y01 //afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_ecmPow/result_TOT_6.yoda/CDF_2015_I1388868/d08-x01-y01 //afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_ecmPow/result_TOT_7.yoda/CDF_2015_I1388868/d08-x01-y01
# END PLOT

# BEGIN HISTO1D /CDF_2015_I1388868/d08-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/CDF_2015_I1388868/d08-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
5.000000e-01	1.000000e+00	9.460000e-02	1.260040e-02	1.260040e-02
1.000000e+00	1.500000e+00	2.680000e-01	1.240161e-02	1.240161e-02
1.500000e+00	2.000000e+00	4.134000e-01	1.240645e-02	1.240645e-02
2.000000e+00	2.500000e+00	5.154000e-01	1.341343e-02	1.341343e-02
2.500000e+00	3.000000e+00	5.835000e-01	1.483375e-02	1.483375e-02
3.000000e+00	3.500000e+00	6.273000e-01	1.298692e-02	1.298692e-02
3.500000e+00	4.000000e+00	6.543000e-01	1.894017e-02	1.894017e-02
4.000000e+00	4.500000e+00	6.748000e-01	1.907040e-02	1.907040e-02
4.500000e+00	5.000000e+00	6.942000e-01	2.030493e-02	2.030493e-02
5.000000e+00	6.000000e+00	7.142000e-01	1.920937e-02	1.920937e-02
6.000000e+00	7.000000e+00	7.411000e-01	2.033937e-02	2.033937e-02
7.000000e+00	8.000000e+00	7.605000e-01	2.573908e-02	2.573908e-02
8.000000e+00	1.000000e+01	7.816000e-01	3.287324e-02	3.287324e-02
1.000000e+01	1.500000e+01	8.091000e-01	3.335416e-02	3.335416e-02
1.500000e+01	2.000000e+01	9.155000e-01	6.611883e-02	6.611883e-02
# END HISTO1D


# BEGIN HISTO1D //afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_ecmPow/result_TOT_0.yoda/CDF_2015_I1388868/d08-x01-y01
LineColor=red
LineStyle=solid
Path=//afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_ecmPow/result_TOT_0.yoda/CDF_2015_I1388868/d08-x01-y01
Title=result_TOT_0
# xlow	 xhigh	 val	 errminus	 errplus
5.000000e-01	1.000000e+00	9.803288e-02	1.946713e-04	1.946713e-04
1.000000e+00	1.500000e+00	3.168338e-01	5.891108e-04	5.891108e-04
1.500000e+00	2.000000e+00	5.340740e-01	1.197077e-03	1.197077e-03
2.000000e+00	2.500000e+00	6.940924e-01	2.045096e-03	2.045096e-03
2.500000e+00	3.000000e+00	8.037356e-01	3.369398e-03	3.369398e-03
3.000000e+00	3.500000e+00	8.572820e-01	5.230445e-03	5.230445e-03
3.500000e+00	4.000000e+00	8.917965e-01	7.993074e-03	7.993074e-03
4.000000e+00	4.500000e+00	9.047293e-01	1.175155e-02	1.175155e-02
4.500000e+00	5.000000e+00	9.230088e-01	1.643644e-02	1.643644e-02
5.000000e+00	6.000000e+00	9.232962e-01	1.778952e-02	1.778952e-02
6.000000e+00	7.000000e+00	8.913778e-01	2.996381e-02	2.996381e-02
7.000000e+00	8.000000e+00	8.625443e-01	4.164622e-02	4.164622e-02
8.000000e+00	1.000000e+01	8.805648e-01	5.320134e-02	5.320134e-02
1.000000e+01	1.500000e+01	9.024759e-01	8.513923e-02	8.513923e-02
1.500000e+01	2.000000e+01	1.310264e+00	3.783005e-01	3.783005e-01
# END HISTO1D


# BEGIN HISTO1D //afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_ecmPow/result_TOT_1.yoda/CDF_2015_I1388868/d08-x01-y01
LineColor=blue
LineStyle=solid
Path=//afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_ecmPow/result_TOT_1.yoda/CDF_2015_I1388868/d08-x01-y01
Title=result_TOT_1
# xlow	 xhigh	 val	 errminus	 errplus
5.000000e-01	1.000000e+00	9.364084e-02	1.853816e-04	1.853816e-04
1.000000e+00	1.500000e+00	2.922596e-01	5.611780e-04	5.611780e-04
1.500000e+00	2.000000e+00	4.732067e-01	1.169538e-03	1.169538e-03
