# BEGIN PLOT
LegendOnly=/CMS_2015_I1384119/d01-x01-y01 //afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_ecmPow/result_TOT_0.yoda/CMS_2015_I1384119/d01-x01-y01 //afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_ecmPow/result_TOT_1.yoda/CMS_2015_I1384119/d01-x01-y01 //afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_ecmPow/result_TOT_2.yoda/CMS_2015_I1384119/d01-x01-y01 //afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_ecmPow/result_TOT_3.yoda/CMS_2015_I1384119/d01-x01-y01 //afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_ecmPow/result_TOT_4.yoda/CMS_2015_I1384119/d01-x01-y01 //afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_ecmPow/result_TOT_5.yoda/CMS_2015_I1384119/d01-x01-y01 //afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_ecmPow/result_TOT_6.yoda/CMS_2015_I1384119/d01-x01-y01 //afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_ecmPow/result_TOT_7.yoda/CMS_2015_I1384119/d01-x01-y01
DrawOnly=/CMS_2015_I1384119/d01-x01-y01 //afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_ecmPow/result_TOT_0.yoda/CMS_2015_I1384119/d01-x01-y01 //afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_ecmPow/result_TOT_1.yoda/CMS_2015_I1384119/d01-x01-y01 //afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_ecmPow/result_TOT_2.yoda/CMS_2015_I1384119/d01-x01-y01 //afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_ecmPow/result_TOT_3.yoda/CMS_2015_I1384119/d01-x01-y01 //afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_ecmPow/result_TOT_4.yoda/CMS_2015_I1384119/d01-x01-y01 //afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_ecmPow/result_TOT_5.yoda/CMS_2015_I1384119/d01-x01-y01 //afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_ecmPow/result_TOT_6.yoda/CMS_2015_I1384119/d01-x01-y01 //afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_ecmPow/result_TOT_7.yoda/CMS_2015_I1384119/d01-x01-y01
YMax=9.0
Title=Selection: inelastic $pp$, charged hadrons (p, K ,$\pi$) $c\tau > 10$~mm
RatioPlotReference=/CMS_2015_I1384119/d01-x01-y01
RatioPlot=1
LogY=0
RatioPlotYMax=1.4
LegendXPos=0.5
XLabel=$\eta$ 
YLabel=$\frac{1}{N}\frac{dN_\text{ch}}{d\eta}$ 
YMin=0.0
LegendYPos=0.5
Legend=1
RatioPlotYMin=0.6
FullRange=1
# END PLOT

# BEGIN HISTO1D /CMS_2015_I1384119/d01-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/CMS_2015_I1384119/d01-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
-2.000000e+00	-1.800000e+00	6.250000e+00	2.267157e-01	2.267157e-01
-1.800000e+00	-1.600000e+00	6.138000e+00	1.993038e-01	1.993038e-01
-1.600000e+00	-1.400000e+00	6.091000e+00	1.961632e-01	1.961632e-01
-1.400000e+00	-1.200000e+00	6.074000e+00	1.921666e-01	1.921666e-01
-1.200000e+00	-1.000000e+00	5.966000e+00	1.851729e-01	1.851729e-01
-1.000000e+00	-8.000000e-01	5.825000e+00	1.791368e-01	1.791368e-01
-8.000000e-01	-6.000000e-01	5.743000e+00	1.771384e-01	1.771384e-01
-6.000000e-01	-4.000000e-01	5.606000e+00	1.721424e-01	1.721424e-01
-4.000000e-01	-2.000000e-01	5.495000e+00	1.681458e-01	1.681458e-01
-2.000000e-01	0.000000e+00	5.412000e+00	1.691449e-01	1.691449e-01
0.000000e+00	2.000000e-01	5.412000e+00	1.691449e-01	1.691449e-01
2.000000e-01	4.000000e-01	5.495000e+00	1.681458e-01	1.681458e-01
4.000000e-01	6.000000e-01	5.606000e+00	1.721424e-01	1.721424e-01
6.000000e-01	8.000000e-01	5.743000e+00	1.771384e-01	1.771384e-01
8.000000e-01	1.000000e+00	5.825000e+00	1.791368e-01	1.791368e-01
1.000000e+00	1.200000e+00	5.966000e+00	1.851729e-01	1.851729e-01
1.200000e+00	1.400000e+00	6.074000e+00	1.921666e-01	1.921666e-01
1.400000e+00	1.600000e+00	6.091000e+00	1.961632e-01	1.961632e-01
1.600000e+00	1.800000e+00	6.138000e+00	1.993038e-01	1.993038e-01
1.800000e+00	2.000000e+00	6.250000e+00	2.267157e-01	2.267157e-01
# END HISTO1D


# BEGIN HISTO1D //afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_ecmPow/result_TOT_0.yoda/CMS_2015_I1384119/d01-x01-y01
LineColor=red
LineStyle=solid
Path=//afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_ecmPow/result_TOT_0.yoda/CMS_2015_I1384119/d01-x01-y01
ScaledBy=3.33333333333333354e-07
Title=result_TOT_0
# xlow	 xhigh	 val	 errminus	 errplus
-2.000000e+00	-1.800000e+00	5.751040e+00	3.095976e-03	3.095976e-03
-1.800000e+00	-1.600000e+00	5.701185e+00	3.082528e-03	3.082528e-03
-1.600000e+00	-1.400000e+00	5.634415e+00	3.064424e-03	3.064424e-03
-1.400000e+00	-1.200000e+00	5.552900e+00	3.042176e-03	3.042176e-03
-1.200000e+00	-1.000000e+00	5.454070e+00	3.014982e-03	3.014982e-03
-1.000000e+00	-8.000000e-01	5.352500e+00	2.986776e-03	2.986776e-03
-8.000000e-01	-6.000000e-01	5.247050e+00	2.957208e-03	2.957208e-03
-6.000000e-01	-4.000000e-01	5.151885e+00	2.930269e-03	2.930269e-03
-4.000000e-01	-2.000000e-01	5.075815e+00	2.908555e-03	2.908555e-03
-2.000000e-01	0.000000e+00	5.044305e+00	2.899513e-03	2.899513e-03
0.000000e+00	2.000000e-01	5.043280e+00	2.899219e-03	2.899219e-03
2.000000e-01	4.000000e-01	5.080250e+00	2.909825e-03	2.909825e-03
4.000000e-01	6.000000e-01	5.153835e+00	2.930823e-03	2.930823e-03
6.000000e-01	8.000000e-01	5.247680e+00	2.957387e-03	2.957387e-03
8.000000e-01	1.000000e+00	5.353310e+00	2.987003e-03	2.987003e-03
1.000000e+00	1.200000e+00	5.456515e+00	3.015658e-03	3.015658e-03
