# BEGIN PLOT
XTwosidedTicks=1
YTwosidedTicks=1
XMax=24
XLabelSep=4.4
RatioPlotReference=/CMS_2015_PAS_FSQ_15_007/d06-x01-y01
ConnectBins=0
RatioPlot=1
LogY=0
LegendXPos=0.40
XLabel=\large{$p_\text{T}^{\text{max}}$[GeV]}
YLabelSep=5.4
YLabel=\large{$(1/N_\text{events})\; dN_\text{ch}\,/d\eta\, d\phi$}
Title=\large{CMS, 13 TeV, MB, TransMAX charged-particle density}
DrawOnly=/CMS_2015_PAS_FSQ_15_007/d06-x01-y01 //afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_ecmPow/result_TOT_0.yoda/CMS_2015_PAS_FSQ_15_007/d06-x01-y01 //afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_ecmPow/result_TOT_1.yoda/CMS_2015_PAS_FSQ_15_007/d06-x01-y01 //afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_ecmPow/result_TOT_2.yoda/CMS_2015_PAS_FSQ_15_007/d06-x01-y01 //afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_ecmPow/result_TOT_3.yoda/CMS_2015_PAS_FSQ_15_007/d06-x01-y01 //afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_ecmPow/result_TOT_4.yoda/CMS_2015_PAS_FSQ_15_007/d06-x01-y01 //afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_ecmPow/result_TOT_5.yoda/CMS_2015_PAS_FSQ_15_007/d06-x01-y01 //afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_ecmPow/result_TOT_6.yoda/CMS_2015_PAS_FSQ_15_007/d06-x01-y01 //afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_ecmPow/result_TOT_7.yoda/CMS_2015_PAS_FSQ_15_007/d06-x01-y01
RatioPlotErrorBandColor=grey!40!yellow!60
LegendYPos=0.50
Legend=1
LegendOnly=/CMS_2015_PAS_FSQ_15_007/d06-x01-y01 //afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_ecmPow/result_TOT_0.yoda/CMS_2015_PAS_FSQ_15_007/d06-x01-y01 //afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_ecmPow/result_TOT_1.yoda/CMS_2015_PAS_FSQ_15_007/d06-x01-y01 //afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_ecmPow/result_TOT_2.yoda/CMS_2015_PAS_FSQ_15_007/d06-x01-y01 //afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_ecmPow/result_TOT_3.yoda/CMS_2015_PAS_FSQ_15_007/d06-x01-y01 //afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_ecmPow/result_TOT_4.yoda/CMS_2015_PAS_FSQ_15_007/d06-x01-y01 //afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_ecmPow/result_TOT_5.yoda/CMS_2015_PAS_FSQ_15_007/d06-x01-y01 //afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_ecmPow/result_TOT_6.yoda/CMS_2015_PAS_FSQ_15_007/d06-x01-y01 //afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_ecmPow/result_TOT_7.yoda/CMS_2015_PAS_FSQ_15_007/d06-x01-y01
# END PLOT

# BEGIN HISTO1D /CMS_2015_PAS_FSQ_15_007/d06-x01-y01
ConnectBins=0
ErrorBars=1
Path=/CMS_2015_PAS_FSQ_15_007/d06-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
5.000000e-01	1.000000e+00	1.124427e-01	4.053605e-04	4.053605e-04
1.000000e+00	1.500000e+00	3.261630e-01	8.536273e-03	8.536273e-03
1.500000e+00	2.000000e+00	5.894059e-01	1.306567e-02	1.306567e-02
2.000000e+00	2.500000e+00	8.302473e-01	1.954760e-02	1.954760e-02
2.500000e+00	3.000000e+00	1.027029e+00	1.246442e-02	1.246442e-02
3.000000e+00	3.500000e+00	1.173819e+00	7.515369e-03	7.515369e-03
3.500000e+00	4.000000e+00	1.269622e+00	9.121487e-03	9.121487e-03
4.000000e+00	4.500000e+00	1.361374e+00	1.807697e-02	1.807697e-02
4.500000e+00	5.000000e+00	1.408454e+00	2.739203e-02	2.739203e-02
5.000000e+00	6.000000e+00	1.456821e+00	3.555993e-02	3.555993e-02
6.000000e+00	7.000000e+00	1.507127e+00	8.690036e-03	8.690036e-03
7.000000e+00	8.000000e+00	1.522944e+00	1.147968e-02	1.147968e-02
8.000000e+00	1.000000e+01	1.522999e+00	1.506620e-02	1.506620e-02
1.000000e+01	1.200000e+01	1.564495e+00	1.612100e-02	1.612100e-02
1.200000e+01	1.600000e+01	1.573181e+00	2.585909e-02	2.585909e-02
1.600000e+01	2.000000e+01	1.598651e+00	3.111044e-02	3.111044e-02
2.000000e+01	2.400000e+01	1.487593e+00	5.338095e-02	5.338095e-02
2.400000e+01	2.800000e+01	1.906104e+00	1.008451e-01	1.008451e-01
2.800000e+01	3.200000e+01	1.573891e+00	1.416261e-01	1.416261e-01
3.200000e+01	3.600000e+01	1.516146e+00	1.680630e-01	1.680630e-01
3.600000e+01	4.000000e+01	1.579903e+00	3.488480e-01	3.488480e-01
4.000000e+01	5.000000e+01	1.836007e+00	2.979452e-01	2.979452e-01
# END HISTO1D


# BEGIN HISTO1D //afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_ecmPow/result_TOT_0.yoda/CMS_2015_PAS_FSQ_15_007/d06-x01-y01
LineColor=red
LineStyle=solid
Path=//afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_ecmPow/result_TOT_0.yoda/CMS_2015_PAS_FSQ_15_007/d06-x01-y01
Title=result_TOT_0
# xlow	 xhigh	 val	 errminus	 errplus
5.000000e-01	1.000000e+00	1.280947e-01	1.874881e-04	1.874881e-04
1.000000e+00	1.500000e+00	3.366671e-01	4.333870e-04	4.333870e-04
1.500000e+00	2.000000e+00	5.854497e-01	8.070000e-04	8.070000e-04
2.000000e+00	2.500000e+00	8.273800e-01	1.217412e-03	1.217412e-03
2.500000e+00	3.000000e+00	1.026357e+00	1.698034e-03	1.698034e-03
3.000000e+00	3.500000e+00	1.162908e+00	2.292258e-03	2.292258e-03
3.500000e+00	4.000000e+00	1.248794e+00	3.040181e-03	3.040181e-03
4.000000e+00	4.500000e+00	1.293699e+00	3.975248e-03	3.975248e-03
4.500000e+00	5.000000e+00	1.320269e+00	5.113378e-03	5.113378e-03
5.000000e+00	6.000000e+00	1.328834e+00	4.945417e-03	4.945417e-03
6.000000e+00	7.000000e+00	1.352253e+00	7.390597e-03	7.390597e-03
7.000000e+00	8.000000e+00	1.354193e+00	1.035255e-02	1.035255e-02
8.000000e+00	1.000000e+01	1.372449e+00	1.138949e-02	1.138949e-02
1.000000e+01	1.200000e+01	1.386488e+00	1.841544e-02	1.841544e-02
1.200000e+01	1.600000e+01	1.386964e+00	2.194202e-02	2.194202e-02
1.600000e+01	2.000000e+01	1.419960e+00	3.888455e-02	3.888455e-02
2.000000e+01	2.400000e+01	1.396096e+00	7.150668e-02	7.150668e-02
2.400000e+01	2.800000e+01	1.348136e+00	8.940629e-02	8.940629e-02
2.800000e+01	3.200000e+01	1.422650e+00	1.080636e-01	1.080636e-01
3.200000e+01	3.600000e+01	1.699213e+00	2.232034e-01	2.232034e-01
3.600000e+01	4.000000e+01	1.410692e+00	2.643841e-01	2.643841e-01
4.000000e+01	5.000000e+01	2.130228e+00	3.337676e-01	3.337676e-01
# END HISTO1D


# BEGIN HISTO1D //afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_ecmPow/result_TOT_1.yoda/CMS_2015_PAS_FSQ_15_007/d06-x01-y01
LineColor=blue
LineStyle=solid
Path=//afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_ecmPow/result_TOT_1.yoda/CMS_2015_PAS_FSQ_15_007/d06-x01-y01
Title=result_TOT_1
# xlow	 xhigh	 val	 errminus	 errplus
5.000000e-01	1.000000e+00	1.263817e-01	1.847641e-04	1.847641e-04
1.000000e+00	1.500000e+00	3.392342e-01	4.447255e-04	4.447255e-04
1.500000e+00	2.000000e+00	6.025036e-01	8.469140e-04	8.469140e-04
2.000000e+00	2.500000e+00	8.678235e-01	1.287955e-03	1.287955e-03
2.500000e+00	3.000000e+00	1.092575e+00	1.786274e-03	1.786274e-03
3.000000e+00	3.500000e+00	1.251686e+00	2.391576e-03	2.391576e-03
3.500000e+00	4.000000e+00	1.343451e+00	3.152348e-03	3.152348e-03
4.000000e+00	4.500000e+00	1.399984e+00	4.137575e-03	4.137575e-03
4.500000e+00	5.000000e+00	1.432412e+00	5.288240e-03	5.288240e-03
5.000000e+00	6.000000e+00	1.435598e+00	5.206091e-03	5.206091e-03
6.000000e+00	7.000000e+00	1.449259e+00	7.807245e-03	7.807245e-03
7.000000e+00	8.000000e+00	1.445357e+00	1.090207e-02	1.090207e-02
8.000000e+00	1.000000e+01	1.473570e+00	1.157959e-02	1.157959e-02
1.000000e+01	1.200000e+01	1.491720e+00	1.934050e-02	1.934050e-02
1.200000e+01	1.600000e+01	1.552354e+00	2.501168e-02	2.501168e-02
1.600000e+01	2.000000e+01	1.556321e+00	4.301712e-02	4.301712e-02
2.000000e+01	2.400000e+01	1.568813e+00	7.231188e-02	7.231188e-02
2.400000e+01	2.800000e+01	1.602917e+00	1.320740e-01	1.320740e-01
2.800000e+01	3.200000e+01	1.716292e+00	1.654396e-01	1.654396e-01
3.200000e+01	3.600000e+01	1.273239e+00	2.316045e-01	2.316045e-01
3.600000e+01	4.000000e+01	1.475800e+00	2.551368e-01	2.551368e-01
4.000000e+01	5.000000e+01	1.850176e+00	3.214033e-01	3.214033e-01
# END HISTO1D


# BEGIN HISTO1D //afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_ecmPow/result_TOT_2.yoda/CMS_2015_PAS_FSQ_15_007/d06-x01-y01
LineColor=green
LineStyle=solid
Path=//afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_ecmPow/result_TOT_2.yoda/CMS_2015_PAS_FSQ_15_007/d06-x01-y01
Title=result_TOT_2
# xlow	 xhigh	 val	 errminus	 errplus
5.000000e-01	1.000000e+00	1.274598e-01	1.864904e-04	1.864904e-04
1.000000e+00	1.500000e+00	3.382941e-01	4.394632e-04	4.394632e-04
1.500000e+00	2.000000e+00	5.914206e-01	8.210120e-04	8.210120e-04
2.000000e+00	2.500000e+00	8.452123e-01	1.245755e-03	1.245755e-03
2.500000e+00	3.000000e+00	1.054286e+00	1.729545e-03	1.729545e-03
3.000000e+00	3.500000e+00	1.200628e+00	2.345834e-03	2.345834e-03
3.500000e+00	4.000000e+00	1.287602e+00	3.106776e-03	3.106776e-03
4.000000e+00	4.500000e+00	1.336441e+00	4.063181e-03	4.063181e-03
4.500000e+00	5.000000e+00	1.360983e+00	5.195184e-03	5.195184e-03
5.000000e+00	6.000000e+00	1.377107e+00	5.044148e-03	5.044148e-03
6.000000e+00	7.000000e+00	1.376977e+00	7.491345e-03	7.491345e-03
7.000000e+00	8.000000e+00	1.377620e+00	1.041651e-02	1.041651e-02
8.000000e+00	1.000000e+01	1.411485e+00	1.108093e-02	1.108093e-02
1.000000e+01	1.200000e+01	1.422845e+00	1.932564e-02	1.932564e-02
1.200000e+01	1.600000e+01	1.404112e+00	2.219322e-02	2.219322e-02
1.600000e+01	2.000000e+01	1.472271e+00	4.358524e-02	4.358524e-02
2.000000e+01	2.400000e+01	1.473214e+00	6.559280e-02	6.559280e-02
2.400000e+01	2.800000e+01	1.608689e+00	1.192831e-01	1.192831e-01
2.800000e+01	3.200000e+01	1.497503e+00	1.134658e-01	1.134658e-01
3.200000e+01	3.600000e+01	1.699213e+00	2.045910e-01	2.045910e-01
3.600000e+01	4.000000e+01	1.253345e+00	5.968231e-02	5.968231e-02
4.000000e+01	5.000000e+01	1.830282e+00	3.536497e-01	3.536497e-01
# END HISTO1D


# BEGIN HISTO1D //afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_ecmPow/result_TOT_3.yoda/CMS_2015_PAS_FSQ_15_007/d06-x01-y01
LineColor=orange
LineStyle=solid
Path=//afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_ecmPow/result_TOT_3.yoda/CMS_2015_PAS_FSQ_15_007/d06-x01-y01
Title=result_TOT_3
# xlow	 xhigh	 val	 errminus	 errplus
5.000000e-01	1.000000e+00	1.283513e-01	1.887913e-04	1.887913e-04
1.000000e+00	1.500000e+00	3.350571e-01	4.248514e-04	4.248514e-04
1.500000e+00	2.000000e+00	5.689621e-01	7.650497e-04	7.650497e-04
2.000000e+00	2.500000e+00	7.834651e-01	1.147260e-03	1.147260e-03
2.500000e+00	3.000000e+00	9.566742e-01	1.607815e-03	1.607815e-03
3.000000e+00	3.500000e+00	1.071072e+00	2.185367e-03	2.185367e-03
3.500000e+00	4.000000e+00	1.142511e+00	2.896162e-03	2.896162e-03
4.000000e+00	4.500000e+00	1.182332e+00	3.806360e-03	3.806360e-03
4.500000e+00	5.000000e+00	1.202139e+00	4.899247e-03	4.899247e-03
5.000000e+00	6.000000e+00	1.225613e+00	4.743618e-03	4.743618e-03
6.000000e+00	7.000000e+00	1.247649e+00	6.997762e-03	6.997762e-03
7.000000e+00	8.000000e+00	1.260617e+00	9.876433e-03	9.876433e-03
8.000000e+00	1.000000e+01	1.258239e+00	1.057403e-02	1.057403e-02
1.000000e+01	1.200000e+01	1.290053e+00	1.789515e-02	1.789515e-02
1.200000e+01	1.600000e+01	1.289096e+00	2.118831e-02	2.118831e-02
1.600000e+01	2.000000e+01	1.343261e+00	4.038345e-02	4.038345e-02
2.000000e+01	2.400000e+01	1.453967e+00	7.013041e-02	7.013041e-02
2.400000e+01	2.800000e+01	1.355158e+00	1.242889e-01	1.242889e-01
2.800000e+01	3.200000e+01	1.456755e+00	1.263185e-01	1.263185e-01
3.200000e+01	3.600000e+01	1.356434e+00	2.201208e-01	2.201208e-01
3.600000e+01	4.000000e+01	1.173768e+00	2.794884e-01	2.794884e-01
4.000000e+01	5.000000e+01	1.379343e+00	2.346445e-01	2.346445e-01
# END HISTO1D


# BEGIN HISTO1D //afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_ecmPow/result_TOT_4.yoda/CMS_2015_PAS_FSQ_15_007/d06-x01-y01
LineColor=lilac
LineStyle=solid
Path=//afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_ecmPow/result_TOT_4.yoda/CMS_2015_PAS_FSQ_15_007/d06-x01-y01
Title=result_TOT_4
# xlow	 xhigh	 val	 errminus	 errplus
5.000000e-01	1.000000e+00	1.253198e-01	1.834126e-04	1.834126e-04
1.000000e+00	1.500000e+00	3.420154e-01	4.589153e-04	4.589153e-04
1.500000e+00	2.000000e+00	6.198777e-01	8.900651e-04	8.900651e-04
2.000000e+00	2.500000e+00	9.117224e-01	1.359391e-03	1.359391e-03
2.500000e+00	3.000000e+00	1.163907e+00	1.873212e-03	1.873212e-03
3.000000e+00	3.500000e+00	1.341198e+00	2.509385e-03	2.509385e-03
3.500000e+00	4.000000e+00	1.455152e+00	3.324119e-03	3.324119e-03
4.000000e+00	4.500000e+00	1.514342e+00	4.285975e-03	4.285975e-03
4.500000e+00	5.000000e+00	1.548393e+00	5.531906e-03	5.531906e-03
5.000000e+00	6.000000e+00	1.557562e+00	5.451002e-03	5.451002e-03
6.000000e+00	7.000000e+00	1.561252e+00	8.136552e-03	8.136552e-03
7.000000e+00	8.000000e+00	1.543646e+00	1.118072e-02	1.118072e-02
8.000000e+00	1.000000e+01	1.564469e+00	1.248698e-02	1.248698e-02
1.000000e+01	1.200000e+01	1.583771e+00	2.021774e-02	2.021774e-02
1.200000e+01	1.600000e+01	1.598130e+00	2.512661e-02	2.512661e-02
1.600000e+01	2.000000e+01	1.639507e+00	4.702935e-02	4.702935e-02
2.000000e+01	2.400000e+01	1.528751e+00	7.131191e-02	7.131191e-02
2.400000e+01	2.800000e+01	1.671126e+00	1.192406e-01	1.192406e-01
2.800000e+01	3.200000e+01	1.782874e+00	1.318735e-01	1.318735e-01
3.200000e+01	3.600000e+01	1.369570e+00	2.031644e-01	2.031644e-01
3.600000e+01	4.000000e+01	1.074296e+00	2.630704e-01	2.630704e-01
4.000000e+01	5.000000e+01	1.969542e+00	4.297894e-01	4.297894e-01
# END HISTO1D


# BEGIN HISTO1D //afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_ecmPow/result_TOT_5.yoda/CMS_2015_PAS_FSQ_15_007/d06-x01-y01
LineColor=red
LineStyle=dashed
Path=//afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_ecmPow/result_TOT_5.yoda/CMS_2015_PAS_FSQ_15_007/d06-x01-y01
Title=result_TOT_5
# xlow	 xhigh	 val	 errminus	 errplus
5.000000e-01	1.000000e+00	1.252181e-01	1.834172e-04	1.834172e-04
1.000000e+00	1.500000e+00	3.410997e-01	4.533737e-04	4.533737e-04
1.500000e+00	2.000000e+00	6.113492e-01	8.687447e-04	8.687447e-04
2.000000e+00	2.500000e+00	8.913832e-01	1.326003e-03	1.326003e-03
2.500000e+00	3.000000e+00	1.133288e+00	1.831064e-03	1.831064e-03
3.000000e+00	3.500000e+00	1.302187e+00	2.454665e-03	2.454665e-03
3.500000e+00	4.000000e+00	1.405433e+00	3.243852e-03	3.243852e-03
4.000000e+00	4.500000e+00	1.460165e+00	4.241979e-03	4.241979e-03
4.500000e+00	5.000000e+00	1.479956e+00	5.430494e-03	5.430494e-03
5.000000e+00	6.000000e+00	1.519529e+00	5.352407e-03	5.352407e-03
6.000000e+00	7.000000e+00	1.518263e+00	7.922100e-03	7.922100e-03
7.000000e+00	8.000000e+00	1.521682e+00	1.136790e-02	1.136790e-02
8.000000e+00	1.000000e+01	1.518733e+00	1.180719e-02	1.180719e-02
1.000000e+01	1.200000e+01	1.534594e+00	1.948849e-02	1.948849e-02
1.200000e+01	1.600000e+01	1.558203e+00	2.463445e-02	2.463445e-02
1.600000e+01	2.000000e+01	1.606470e+00	4.845804e-02	4.845804e-02
2.000000e+01	2.400000e+01	1.590452e+00	7.473875e-02	7.473875e-02
2.400000e+01	2.800000e+01	1.790492e+00	1.221171e-01	1.221171e-01
2.800000e+01	3.200000e+01	1.596097e+00	1.628221e-01	1.628221e-01
3.200000e+01	3.600000e+01	1.885986e+00	3.202464e-01	3.202464e-01
3.600000e+01	4.000000e+01	1.933733e+00	2.944363e-01	2.944363e-01
4.000000e+01	5.000000e+01	1.644601e+00	2.266367e-01	2.266367e-01
# END HISTO1D


# BEGIN HISTO1D //afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_ecmPow/result_TOT_6.yoda/CMS_2015_PAS_FSQ_15_007/d06-x01-y01
LineColor=blue
LineStyle=dashed
Path=//afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_ecmPow/result_TOT_6.yoda/CMS_2015_PAS_FSQ_15_007/d06-x01-y01
Title=result_TOT_6
# xlow	 xhigh	 val	 errminus	 errplus
5.000000e-01	1.000000e+00	1.283239e-01	1.880679e-04	1.880679e-04
1.000000e+00	1.500000e+00	3.370754e-01	4.294799e-04	4.294799e-04
1.500000e+00	2.000000e+00	5.768049e-01	7.886752e-04	7.886752e-04
2.000000e+00	2.500000e+00	8.099818e-01	1.187997e-03	1.187997e-03
2.500000e+00	3.000000e+00	9.956418e-01	1.656052e-03	1.656052e-03
3.000000e+00	3.500000e+00	1.122627e+00	2.242849e-03	2.242849e-03
3.500000e+00	4.000000e+00	1.200529e+00	2.993336e-03	2.993336e-03
4.000000e+00	4.500000e+00	1.247272e+00	3.920602e-03	3.920602e-03
4.500000e+00	5.000000e+00	1.269967e+00	4.986256e-03	4.986256e-03
5.000000e+00	6.000000e+00	1.282459e+00	4.927806e-03	4.927806e-03
6.000000e+00	7.000000e+00	1.295131e+00	7.245804e-03	7.245804e-03
7.000000e+00	8.000000e+00	1.280131e+00	9.914875e-03	9.914875e-03
8.000000e+00	1.000000e+01	1.320107e+00	1.087796e-02	1.087796e-02
1.000000e+01	1.200000e+01	1.332529e+00	1.745557e-02	1.745557e-02
1.200000e+01	1.600000e+01	1.366349e+00	2.136948e-02	2.136948e-02
1.600000e+01	2.000000e+01	1.430806e+00	4.218500e-02	4.218500e-02
2.000000e+01	2.400000e+01	1.419264e+00	6.078735e-02	6.078735e-02
2.400000e+01	2.800000e+01	1.455604e+00	1.194746e-01	1.194746e-01
2.800000e+01	3.200000e+01	1.572825e+00	1.525666e-01	1.525666e-01
3.200000e+01	3.600000e+01	1.273239e+00	3.380448e-01	3.380448e-01
3.600000e+01	4.000000e+01	1.176610e+00	2.009324e-01	2.009324e-01
4.000000e+01	5.000000e+01	1.790493e+00	3.362089e-01	3.362089e-01
# END HISTO1D


# BEGIN HISTO1D //afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_ecmPow/result_TOT_7.yoda/CMS_2015_PAS_FSQ_15_007/d06-x01-y01
LineColor=green
LineStyle=dashed
Path=//afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_ecmPow/result_TOT_7.yoda/CMS_2015_PAS_FSQ_15_007/d06-x01-y01
Title=result_TOT_7
# xlow	 xhigh	 val	 errminus	 errplus
5.000000e-01	1.000000e+00	1.282149e-01	1.881447e-04	1.881447e-04
1.000000e+00	1.500000e+00	3.353047e-01	4.252492e-04	4.252492e-04
1.500000e+00	2.000000e+00	5.690626e-01	7.685002e-04	7.685002e-04
2.000000e+00	2.500000e+00	7.865295e-01	1.153731e-03	1.153731e-03
2.500000e+00	3.000000e+00	9.595749e-01	1.606536e-03	1.606536e-03
3.000000e+00	3.500000e+00	1.078041e+00	2.193838e-03	2.193838e-03
3.500000e+00	4.000000e+00	1.149079e+00	2.922527e-03	2.922527e-03
4.000000e+00	4.500000e+00	1.197986e+00	3.848242e-03	3.848242e-03
4.500000e+00	5.000000e+00	1.218644e+00	4.899428e-03	4.899428e-03
5.000000e+00	6.000000e+00	1.224005e+00	4.730037e-03	4.730037e-03
6.000000e+00	7.000000e+00	1.237489e+00	7.019664e-03	7.019664e-03
7.000000e+00	8.000000e+00	1.250618e+00	1.008752e-02	1.008752e-02
8.000000e+00	1.000000e+01	1.269370e+00	1.076799e-02	1.076799e-02
1.000000e+01	1.200000e+01	1.321635e+00	1.766251e-02	1.766251e-02
1.200000e+01	1.600000e+01	1.344002e+00	2.197567e-02	2.197567e-02
