# BEGIN PLOT
XTwosidedTicks=1
YTwosidedTicks=1
XMax=24
XLabelSep=4.4
RatioPlotReference=/CMS_2015_PAS_FSQ_15_007/d08-x01-y01
ConnectBins=0
RatioPlot=1
LogY=0
LegendXPos=0.40
XLabel=\large{$p_\text{T}^{\text{max}}$[GeV]}
YLabelSep=5.4
YLabel=\large{$(1/N_\text{events})\; dN_\text{ch}\,/d\eta\, d\phi$}
Title=\large{CMS, 13 TeV, MB, TransAVG charged-particle density}
DrawOnly=/CMS_2015_PAS_FSQ_15_007/d08-x01-y01 //afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_ecmPow/result_TOT_0.yoda/CMS_2015_PAS_FSQ_15_007/d08-x01-y01 //afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_ecmPow/result_TOT_1.yoda/CMS_2015_PAS_FSQ_15_007/d08-x01-y01 //afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_ecmPow/result_TOT_2.yoda/CMS_2015_PAS_FSQ_15_007/d08-x01-y01 //afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_ecmPow/result_TOT_3.yoda/CMS_2015_PAS_FSQ_15_007/d08-x01-y01 //afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_ecmPow/result_TOT_4.yoda/CMS_2015_PAS_FSQ_15_007/d08-x01-y01 //afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_ecmPow/result_TOT_5.yoda/CMS_2015_PAS_FSQ_15_007/d08-x01-y01 //afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_ecmPow/result_TOT_6.yoda/CMS_2015_PAS_FSQ_15_007/d08-x01-y01 //afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_ecmPow/result_TOT_7.yoda/CMS_2015_PAS_FSQ_15_007/d08-x01-y01
RatioPlotErrorBandColor=grey!40!yellow!60
LegendYPos=0.50
Legend=1
LegendOnly=/CMS_2015_PAS_FSQ_15_007/d08-x01-y01 //afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_ecmPow/result_TOT_0.yoda/CMS_2015_PAS_FSQ_15_007/d08-x01-y01 //afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_ecmPow/result_TOT_1.yoda/CMS_2015_PAS_FSQ_15_007/d08-x01-y01 //afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_ecmPow/result_TOT_2.yoda/CMS_2015_PAS_FSQ_15_007/d08-x01-y01 //afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_ecmPow/result_TOT_3.yoda/CMS_2015_PAS_FSQ_15_007/d08-x01-y01 //afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_ecmPow/result_TOT_4.yoda/CMS_2015_PAS_FSQ_15_007/d08-x01-y01 //afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_ecmPow/result_TOT_5.yoda/CMS_2015_PAS_FSQ_15_007/d08-x01-y01 //afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_ecmPow/result_TOT_6.yoda/CMS_2015_PAS_FSQ_15_007/d08-x01-y01 //afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_ecmPow/result_TOT_7.yoda/CMS_2015_PAS_FSQ_15_007/d08-x01-y01
# END PLOT

# BEGIN HISTO1D /CMS_2015_PAS_FSQ_15_007/d08-x01-y01
ConnectBins=0
ErrorBars=1
Path=/CMS_2015_PAS_FSQ_15_007/d08-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
5.000000e-01	1.000000e+00	6.512563e-02	2.149200e-04	2.149200e-04
1.000000e+00	1.500000e+00	2.156935e-01	4.928868e-03	4.928868e-03
1.500000e+00	2.000000e+00	4.229060e-01	8.359531e-03	8.359531e-03
2.000000e+00	2.500000e+00	6.208644e-01	1.374696e-02	1.374696e-02
2.500000e+00	3.000000e+00	7.868827e-01	9.031170e-03	9.031170e-03
3.000000e+00	3.500000e+00	9.122451e-01	5.201061e-03	5.201061e-03
3.500000e+00	4.000000e+00	9.930948e-01	7.886697e-03	7.886697e-03
4.000000e+00	4.500000e+00	1.068528e+00	1.642962e-02	1.642962e-02
4.500000e+00	5.000000e+00	1.111325e+00	2.415973e-02	2.415973e-02
5.000000e+00	6.000000e+00	1.152457e+00	2.993349e-02	2.993349e-02
6.000000e+00	7.000000e+00	1.193993e+00	7.360070e-03	7.360070e-03
7.000000e+00	8.000000e+00	1.205482e+00	9.680529e-03	9.680529e-03
8.000000e+00	1.000000e+01	1.200178e+00	1.257172e-02	1.257172e-02
1.000000e+01	1.200000e+01	1.226227e+00	1.329277e-02	1.329277e-02
1.200000e+01	1.600000e+01	1.225933e+00	2.123572e-02	2.123572e-02
1.600000e+01	2.000000e+01	1.251681e+00	2.497491e-02	2.497491e-02
2.000000e+01	2.400000e+01	1.136022e+00	4.379888e-02	4.379888e-02
2.400000e+01	2.800000e+01	1.545368e+00	7.523610e-02	7.523610e-02
2.800000e+01	3.200000e+01	1.266493e+00	1.189274e-01	1.189274e-01
3.200000e+01	3.600000e+01	1.106522e+00	1.766908e-01	1.766908e-01
3.600000e+01	4.000000e+01	1.114971e+00	2.045983e-01	2.045983e-01
4.000000e+01	5.000000e+01	1.497598e+00	1.887303e-01	1.887303e-01
# END HISTO1D


# BEGIN HISTO1D //afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_ecmPow/result_TOT_0.yoda/CMS_2015_PAS_FSQ_15_007/d08-x01-y01
LineColor=red
LineStyle=solid
Path=//afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_ecmPow/result_TOT_0.yoda/CMS_2015_PAS_FSQ_15_007/d08-x01-y01
Title=result_TOT_0
# xlow	 xhigh	 val	 errminus	 errplus
5.000000e-01	1.000000e+00	7.664433e-02	1.205573e-04	1.205573e-04
1.000000e+00	1.500000e+00	2.245374e-01	3.137499e-04	3.137499e-04
1.500000e+00	2.000000e+00	4.189302e-01	6.221787e-04	6.221787e-04
2.000000e+00	2.500000e+00	6.171610e-01	9.709552e-04	9.709552e-04
2.500000e+00	3.000000e+00	7.840317e-01	1.378547e-03	1.378547e-03
3.000000e+00	3.500000e+00	9.005969e-01	1.880798e-03	1.880798e-03
3.500000e+00	4.000000e+00	9.739063e-01	2.506195e-03	2.506195e-03
4.000000e+00	4.500000e+00	1.011677e+00	3.281293e-03	3.281293e-03
4.500000e+00	5.000000e+00	1.033877e+00	4.224475e-03	4.224475e-03
5.000000e+00	6.000000e+00	1.040253e+00	4.092223e-03	4.092223e-03
6.000000e+00	7.000000e+00	1.060475e+00	6.133110e-03	6.133110e-03
7.000000e+00	8.000000e+00	1.058246e+00	8.549018e-03	8.549018e-03
8.000000e+00	1.000000e+01	1.070963e+00	9.435879e-03	9.435879e-03
1.000000e+01	1.200000e+01	1.076801e+00	1.506268e-02	1.506268e-02
1.200000e+01	1.600000e+01	1.083529e+00	1.791093e-02	1.791093e-02
1.600000e+01	2.000000e+01	1.098169e+00	3.139673e-02	3.139673e-02
2.000000e+01	2.400000e+01	1.082673e+00	5.827726e-02	5.827726e-02
2.400000e+01	2.800000e+01	1.086935e+00	8.065742e-02	8.065742e-02
2.800000e+01	3.200000e+01	1.093784e+00	8.958194e-02	8.958194e-02
3.200000e+01	3.600000e+01	1.263878e+00	1.752222e-01	1.752222e-01
3.600000e+01	4.000000e+01	9.874836e-01	2.105300e-01	2.105300e-01
4.000000e+01	5.000000e+01	1.625217e+00	2.667529e-01	2.667529e-01
# END HISTO1D


# BEGIN HISTO1D //afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_ecmPow/result_TOT_1.yoda/CMS_2015_PAS_FSQ_15_007/d08-x01-y01
LineColor=blue
LineStyle=solid
Path=//afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_ecmPow/result_TOT_1.yoda/CMS_2015_PAS_FSQ_15_007/d08-x01-y01
Title=result_TOT_1
# xlow	 xhigh	 val	 errminus	 errplus
5.000000e-01	1.000000e+00	7.554322e-02	1.186726e-04	1.186726e-04
1.000000e+00	1.500000e+00	2.269541e-01	3.236296e-04	3.236296e-04
1.500000e+00	2.000000e+00	4.336213e-01	6.571929e-04	6.571929e-04
2.000000e+00	2.500000e+00	6.520100e-01	1.033981e-03	1.033981e-03
2.500000e+00	3.000000e+00	8.413598e-01	1.457613e-03	1.457613e-03
3.000000e+00	3.500000e+00	9.775070e-01	1.972438e-03	1.972438e-03
3.500000e+00	4.000000e+00	1.057818e+00	2.621198e-03	2.621198e-03
4.000000e+00	4.500000e+00	1.106130e+00	3.461502e-03	3.461502e-03
4.500000e+00	5.000000e+00	1.132003e+00	4.408889e-03	4.408889e-03
5.000000e+00	6.000000e+00	1.136699e+00	4.339445e-03	4.339445e-03
6.000000e+00	7.000000e+00	1.142885e+00	6.479907e-03	6.479907e-03
7.000000e+00	8.000000e+00	1.138709e+00	9.025996e-03	9.025996e-03
8.000000e+00	1.000000e+01	1.161869e+00	9.617148e-03	9.617148e-03
1.000000e+01	1.200000e+01	1.174586e+00	1.591215e-02	1.591215e-02
1.200000e+01	1.600000e+01	1.219685e+00	2.067721e-02	2.067721e-02
1.600000e+01	2.000000e+01	1.213244e+00	3.519318e-02	3.519318e-02
2.000000e+01	2.400000e+01	1.229991e+00	5.995168e-02	5.995168e-02
2.400000e+01	2.800000e+01	1.229472e+00	1.035765e-01	1.035765e-01
2.800000e+01	3.200000e+01	1.309802e+00	1.336146e-01	1.336146e-01
3.200000e+01	3.600000e+01	9.549294e-01	1.927624e-01	1.927624e-01
3.600000e+01	4.000000e+01	1.139405e+00	2.038230e-01	2.038230e-01
4.000000e+01	5.000000e+01	1.566681e+00	3.055250e-01	3.055250e-01
# END HISTO1D


# BEGIN HISTO1D //afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_ecmPow/result_TOT_2.yoda/CMS_2015_PAS_FSQ_15_007/d08-x01-y01
LineColor=green
LineStyle=solid
Path=//afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_ecmPow/result_TOT_2.yoda/CMS_2015_PAS_FSQ_15_007/d08-x01-y01
Title=result_TOT_2
# xlow	 xhigh	 val	 errminus	 errplus
5.000000e-01	1.000000e+00	7.624514e-02	1.200548e-04	1.200548e-04
1.000000e+00	1.500000e+00	2.259976e-01	3.190050e-04	3.190050e-04
1.500000e+00	2.000000e+00	4.242960e-01	6.352497e-04	6.352497e-04
2.000000e+00	2.500000e+00	6.329464e-01	9.966914e-04	9.966914e-04
2.500000e+00	3.000000e+00	8.088685e-01	1.407106e-03	1.407106e-03
3.000000e+00	3.500000e+00	9.339679e-01	1.931081e-03	1.931081e-03
3.500000e+00	4.000000e+00	1.008867e+00	2.574987e-03	2.574987e-03
4.000000e+00	4.500000e+00	1.050494e+00	3.367348e-03	3.367348e-03
4.500000e+00	5.000000e+00	1.071544e+00	4.315849e-03	4.315849e-03
5.000000e+00	6.000000e+00	1.081511e+00	4.175677e-03	4.175677e-03
6.000000e+00	7.000000e+00	1.082685e+00	6.222915e-03	6.222915e-03
7.000000e+00	8.000000e+00	1.079829e+00	8.688823e-03	8.688823e-03
8.000000e+00	1.000000e+01	1.101890e+00	9.161264e-03	9.161264e-03
1.000000e+01	1.200000e+01	1.102262e+00	1.581598e-02	1.581598e-02
1.200000e+01	1.600000e+01	1.100620e+00	1.826059e-02	1.826059e-02
1.600000e+01	2.000000e+01	1.142505e+00	3.512348e-02	3.512348e-02
2.000000e+01	2.400000e+01	1.160264e+00	5.400412e-02	5.400412e-02
2.400000e+01	2.800000e+01	1.241409e+00	9.816710e-02	9.816710e-02
2.800000e+01	3.200000e+01	1.135788e+00	9.381103e-02	9.381103e-02
3.200000e+01	3.600000e+01	1.341115e+00	1.620097e-01	1.620097e-01
3.600000e+01	4.000000e+01	1.104137e+00	1.492075e-01	1.492075e-01
4.000000e+01	5.000000e+01	1.326291e+00	2.551173e-01	2.551173e-01
# END HISTO1D


# BEGIN HISTO1D //afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_ecmPow/result_TOT_3.yoda/CMS_2015_PAS_FSQ_15_007/d08-x01-y01
LineColor=orange
LineStyle=solid
Path=//afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_ecmPow/result_TOT_3.yoda/CMS_2015_PAS_FSQ_15_007/d08-x01-y01
Title=result_TOT_3
# xlow	 xhigh	 val	 errminus	 errplus
5.000000e-01	1.000000e+00	7.674233e-02	1.212729e-04	1.212729e-04
1.000000e+00	1.500000e+00	2.230588e-01	3.067202e-04	3.067202e-04
1.500000e+00	2.000000e+00	4.048892e-01	5.854567e-04	5.854567e-04
2.000000e+00	2.500000e+00	5.802598e-01	9.090543e-04	9.090543e-04
2.500000e+00	3.000000e+00	7.236825e-01	1.293554e-03	1.293554e-03
3.000000e+00	3.500000e+00	8.202355e-01	1.772867e-03	1.772867e-03
3.500000e+00	4.000000e+00	8.802604e-01	2.368353e-03	2.368353e-03
4.000000e+00	4.500000e+00	9.145291e-01	3.113837e-03	3.113837e-03
4.500000e+00	5.000000e+00	9.308975e-01	4.014602e-03	4.014602e-03
5.000000e+00	6.000000e+00	9.502490e-01	3.888518e-03	3.888518e-03
6.000000e+00	7.000000e+00	9.671599e-01	5.769021e-03	5.769021e-03
7.000000e+00	8.000000e+00	9.719182e-01	8.084133e-03	8.084133e-03
8.000000e+00	1.000000e+01	9.728632e-01	8.649996e-03	8.649996e-03
1.000000e+01	1.200000e+01	9.893397e-01	1.445373e-02	1.445373e-02
1.200000e+01	1.600000e+01	9.849019e-01	1.735678e-02	1.735678e-02
1.600000e+01	2.000000e+01	1.038590e+00	3.230864e-02	3.230864e-02
2.000000e+01	2.400000e+01	1.108811e+00	5.622098e-02	5.622098e-02
2.400000e+01	2.800000e+01	1.016368e+00	8.508713e-02	8.508713e-02
2.800000e+01	3.200000e+01	1.079168e+00	1.026661e-01	1.026661e-01
3.200000e+01	3.600000e+01	1.063445e+00	1.776936e-01	1.776936e-01
3.600000e+01	4.000000e+01	8.654050e-01	1.982870e-01	1.982870e-01
4.000000e+01	5.000000e+01	1.100822e+00	2.283764e-01	2.283764e-01
# END HISTO1D


# BEGIN HISTO1D //afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_ecmPow/result_TOT_4.yoda/CMS_2015_PAS_FSQ_15_007/d08-x01-y01
LineColor=lilac
LineStyle=solid
Path=//afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_ecmPow/result_TOT_4.yoda/CMS_2015_PAS_FSQ_15_007/d08-x01-y01
Title=result_TOT_4
# xlow	 xhigh	 val	 errminus	 errplus
5.000000e-01	1.000000e+00	7.495615e-02	1.181244e-04	1.181244e-04
1.000000e+00	1.500000e+00	2.295579e-01	3.349558e-04	3.349558e-04
1.500000e+00	2.000000e+00	4.484747e-01	6.947495e-04	6.947495e-04
2.000000e+00	2.500000e+00	6.903479e-01	1.098959e-03	1.098959e-03
2.500000e+00	3.000000e+00	9.060365e-01	1.545667e-03	1.545667e-03
3.000000e+00	3.500000e+00	1.057479e+00	2.086336e-03	2.086336e-03
3.500000e+00	4.000000e+00	1.156672e+00	2.782381e-03	2.782381e-03
4.000000e+00	4.500000e+00	1.207479e+00	3.602073e-03	3.602073e-03
4.500000e+00	5.000000e+00	1.237241e+00	4.641376e-03	4.641376e-03
5.000000e+00	6.000000e+00	1.242411e+00	4.577013e-03	4.577013e-03
6.000000e+00	7.000000e+00	1.246007e+00	6.818369e-03	6.818369e-03
7.000000e+00	8.000000e+00	1.230197e+00	9.464042e-03	9.464042e-03
8.000000e+00	1.000000e+01	1.246053e+00	1.052255e-02	1.052255e-02
1.000000e+01	1.200000e+01	1.256598e+00	1.685861e-02	1.685861e-02
1.200000e+01	1.600000e+01	1.261303e+00	2.077290e-02	2.077290e-02
1.600000e+01	2.000000e+01	1.294583e+00	3.906198e-02	3.906198e-02
