# BEGIN PLOT
XTwosidedTicks=1
YTwosidedTicks=1
Title=\large{TransDIF charged $p^{\text{sum}}_\text{T}$ density $\sqrt{s}=1.96\,\text{TeV}$}
RatioPlotReference=/CDF_2015_I1388868/d08-x01-y01
XLabelSep=4.4
RatioPlot=1
LogY=0
LegendXPos=0.40
XLabel=\large{$p_\text{T}^{\text{max}}$ [GeV]}
YLabelSep=5.4
YLabel=\large{$(1/N_\text{events})\; dp^{\text{sum}}_\text{T}\,/d\eta\, d\phi$ [GeV]}
DrawOnly=/CDF_2015_I1388868/d08-x01-y01 //afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_pTzero/result_TOT_0.yoda/CDF_2015_I1388868/d08-x01-y01 //afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_pTzero/result_TOT_1.yoda/CDF_2015_I1388868/d08-x01-y01 //afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_pTzero/result_TOT_2.yoda/CDF_2015_I1388868/d08-x01-y01 //afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_pTzero/result_TOT_3.yoda/CDF_2015_I1388868/d08-x01-y01 //afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_pTzero/result_TOT_4.yoda/CDF_2015_I1388868/d08-x01-y01 //afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_pTzero/result_TOT_5.yoda/CDF_2015_I1388868/d08-x01-y01 //afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_pTzero/result_TOT_6.yoda/CDF_2015_I1388868/d08-x01-y01 //afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_pTzero/result_TOT_7.yoda/CDF_2015_I1388868/d08-x01-y01
RatioPlotErrorBandColor=grey!40!yellow!60
LegendYPos=0.50
Legend=1
LegendOnly=/CDF_2015_I1388868/d08-x01-y01 //afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_pTzero/result_TOT_0.yoda/CDF_2015_I1388868/d08-x01-y01 //afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_pTzero/result_TOT_1.yoda/CDF_2015_I1388868/d08-x01-y01 //afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_pTzero/result_TOT_2.yoda/CDF_2015_I1388868/d08-x01-y01 //afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_pTzero/result_TOT_3.yoda/CDF_2015_I1388868/d08-x01-y01 //afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_pTzero/result_TOT_4.yoda/CDF_2015_I1388868/d08-x01-y01 //afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_pTzero/result_TOT_5.yoda/CDF_2015_I1388868/d08-x01-y01 //afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_pTzero/result_TOT_6.yoda/CDF_2015_I1388868/d08-x01-y01 //afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_pTzero/result_TOT_7.yoda/CDF_2015_I1388868/d08-x01-y01
# END PLOT

# BEGIN HISTO1D /CDF_2015_I1388868/d08-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/CDF_2015_I1388868/d08-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
5.000000e-01	1.000000e+00	9.460000e-02	1.260040e-02	1.260040e-02
1.000000e+00	1.500000e+00	2.680000e-01	1.240161e-02	1.240161e-02
1.500000e+00	2.000000e+00	4.134000e-01	1.240645e-02	1.240645e-02
2.000000e+00	2.500000e+00	5.154000e-01	1.341343e-02	1.341343e-02
2.500000e+00	3.000000e+00	5.835000e-01	1.483375e-02	1.483375e-02
3.000000e+00	3.500000e+00	6.273000e-01	1.298692e-02	1.298692e-02
3.500000e+00	4.000000e+00	6.543000e-01	1.894017e-02	1.894017e-02
4.000000e+00	4.500000e+00	6.748000e-01	1.907040e-02	1.907040e-02
4.500000e+00	5.000000e+00	6.942000e-01	2.030493e-02	2.030493e-02
5.000000e+00	6.000000e+00	7.142000e-01	1.920937e-02	1.920937e-02
6.000000e+00	7.000000e+00	7.411000e-01	2.033937e-02	2.033937e-02
7.000000e+00	8.000000e+00	7.605000e-01	2.573908e-02	2.573908e-02
8.000000e+00	1.000000e+01	7.816000e-01	3.287324e-02	3.287324e-02
1.000000e+01	1.500000e+01	8.091000e-01	3.335416e-02	3.335416e-02
1.500000e+01	2.000000e+01	9.155000e-01	6.611883e-02	6.611883e-02
# END HISTO1D


# BEGIN HISTO1D //afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_pTzero/result_TOT_0.yoda/CDF_2015_I1388868/d08-x01-y01
LineColor=red
LineStyle=solid
Path=//afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_pTzero/result_TOT_0.yoda/CDF_2015_I1388868/d08-x01-y01
Title=result_TOT_0
# xlow	 xhigh	 val	 errminus	 errplus
5.000000e-01	1.000000e+00	6.711639e-02	1.446312e-04	1.446312e-04
1.000000e+00	1.500000e+00	1.714068e-01	4.716297e-04	4.716297e-04
1.500000e+00	2.000000e+00	2.314751e-01	1.048087e-03	1.048087e-03
2.000000e+00	2.500000e+00	2.638169e-01	1.889853e-03	1.889853e-03
2.500000e+00	3.000000e+00	2.842121e-01	3.073981e-03	3.073981e-03
3.000000e+00	3.500000e+00	3.027048e-01	4.731275e-03	4.731275e-03
3.500000e+00	4.000000e+00	3.182179e-01	6.976245e-03	6.976245e-03
4.000000e+00	4.500000e+00	3.405514e-01	1.025147e-02	1.025147e-02
4.500000e+00	5.000000e+00	3.408927e-01	1.424983e-02	1.424983e-02
5.000000e+00	6.000000e+00	3.600937e-01	1.375907e-02	1.375907e-02
6.000000e+00	7.000000e+00	4.062753e-01	2.721980e-02	2.721980e-02
7.000000e+00	8.000000e+00	4.165876e-01	3.540904e-02	3.540904e-02
8.000000e+00	1.000000e+01	4.892619e-01	4.365620e-02	4.365620e-02
1.000000e+01	1.500000e+01	5.467519e-01	7.685910e-02	7.685910e-02
1.500000e+01	2.000000e+01	1.025750e+00	5.086684e-01	5.086684e-01
# END HISTO1D


# BEGIN HISTO1D //afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_pTzero/result_TOT_1.yoda/CDF_2015_I1388868/d08-x01-y01
LineColor=blue
LineStyle=solid
Path=//afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_pTzero/result_TOT_1.yoda/CDF_2015_I1388868/d08-x01-y01
Title=result_TOT_1
# xlow	 xhigh	 val	 errminus	 errplus
5.000000e-01	1.000000e+00	8.682592e-02	1.716132e-04	1.716132e-04
1.000000e+00	1.500000e+00	2.482390e-01	5.198362e-04	5.198362e-04
1.500000e+00	2.000000e+00	3.704696e-01	1.116004e-03	1.116004e-03
