# BEGIN PLOT
XTwosidedTicks=1
YTwosidedTicks=1
XLabelSep=4.4
RatioPlotReference=/CMS_2012_PAS_FSQ_12_020/d05-x01-y01
ConnectBins=0
RatioPlot=1
LogY=0
LegendXPos=0.40
XLabel=\large{$p_\text{T}^{\text{max}}$[GeV]}
YLabelSep=5.4
YLabel=\large{$(1/N_\text{events})\; dN_\text{ch}\,/d\eta\, d\phi$}
Title=\large{TransMAX charged-particle density $\sqrt{s}=7\,\text{TeV}$}
DrawOnly=/CMS_2012_PAS_FSQ_12_020/d05-x01-y01 //afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_pTzero/result_TOT_0.yoda/CMS_2012_PAS_FSQ_12_020/d05-x01-y01 //afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_pTzero/result_TOT_1.yoda/CMS_2012_PAS_FSQ_12_020/d05-x01-y01 //afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_pTzero/result_TOT_2.yoda/CMS_2012_PAS_FSQ_12_020/d05-x01-y01 //afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_pTzero/result_TOT_3.yoda/CMS_2012_PAS_FSQ_12_020/d05-x01-y01 //afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_pTzero/result_TOT_4.yoda/CMS_2012_PAS_FSQ_12_020/d05-x01-y01 //afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_pTzero/result_TOT_5.yoda/CMS_2012_PAS_FSQ_12_020/d05-x01-y01 //afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_pTzero/result_TOT_6.yoda/CMS_2012_PAS_FSQ_12_020/d05-x01-y01 //afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_pTzero/result_TOT_7.yoda/CMS_2012_PAS_FSQ_12_020/d05-x01-y01
RatioPlotErrorBandColor=grey!40!yellow!60
LegendYPos=0.50
Legend=1
LegendOnly=/CMS_2012_PAS_FSQ_12_020/d05-x01-y01 //afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_pTzero/result_TOT_0.yoda/CMS_2012_PAS_FSQ_12_020/d05-x01-y01 //afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_pTzero/result_TOT_1.yoda/CMS_2012_PAS_FSQ_12_020/d05-x01-y01 //afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_pTzero/result_TOT_2.yoda/CMS_2012_PAS_FSQ_12_020/d05-x01-y01 //afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_pTzero/result_TOT_3.yoda/CMS_2012_PAS_FSQ_12_020/d05-x01-y01 //afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_pTzero/result_TOT_4.yoda/CMS_2012_PAS_FSQ_12_020/d05-x01-y01 //afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_pTzero/result_TOT_5.yoda/CMS_2012_PAS_FSQ_12_020/d05-x01-y01 //afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_pTzero/result_TOT_6.yoda/CMS_2012_PAS_FSQ_12_020/d05-x01-y01 //afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_pTzero/result_TOT_7.yoda/CMS_2012_PAS_FSQ_12_020/d05-x01-y01
# END PLOT

# BEGIN HISTO1D /CMS_2012_PAS_FSQ_12_020/d05-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/CMS_2012_PAS_FSQ_12_020/d05-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
5.000000e-01	1.000000e+00	1.455400e-01	5.255140e-03	5.255140e-03
1.000000e+00	1.500000e+00	4.868700e-01	1.757820e-02	1.757820e-02
1.500000e+00	2.000000e+00	7.828700e-01	2.826580e-02	2.826580e-02
2.000000e+00	2.500000e+00	9.955700e-01	3.594860e-02	3.594860e-02
2.500000e+00	3.000000e+00	1.137540e+00	4.108220e-02	4.108220e-02
3.000000e+00	3.500000e+00	1.227410e+00	4.434210e-02	4.434210e-02
3.500000e+00	4.000000e+00	1.286970e+00	4.652050e-02	4.652050e-02
4.000000e+00	5.000000e+00	1.327840e+00	4.800380e-02	4.800380e-02
5.000000e+00	6.000000e+00	1.372350e+00	4.972890e-02	4.972890e-02
6.000000e+00	8.000000e+00	1.388000e+00	5.040120e-02	5.040120e-02
8.000000e+00	1.000000e+01	1.434680e+00	5.291820e-02	5.291820e-02
1.000000e+01	1.200000e+01	1.438390e+00	5.509620e-02	5.509620e-02
1.200000e+01	1.400000e+01	1.446540e+00	5.914950e-02	5.914950e-02
1.400000e+01	1.600000e+01	1.507990e+00	6.928580e-02	6.928580e-02
1.600000e+01	2.000000e+01	1.494830e+00	7.055320e-02	7.055320e-02
2.000000e+01	2.400000e+01	1.435580e+00	9.572250e-02	9.572250e-02
2.400000e+01	2.800000e+01	1.613830e+00	1.390890e-01	1.390890e-01
# END HISTO1D


# BEGIN HISTO1D //afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_pTzero/result_TOT_0.yoda/CMS_2012_PAS_FSQ_12_020/d05-x01-y01
LineColor=red
LineStyle=solid
Path=//afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_pTzero/result_TOT_0.yoda/CMS_2012_PAS_FSQ_12_020/d05-x01-y01
Title=result_TOT_0
# xlow	 xhigh	 val	 errminus	 errplus
5.000000e-01	1.000000e+00	1.514068e-01	2.897967e-04	2.897967e-04
1.000000e+00	1.500000e+00	3.835751e-01	7.370418e-04	7.370418e-04
1.500000e+00	2.000000e+00	5.275230e-01	1.335803e-03	1.335803e-03
2.000000e+00	2.500000e+00	6.109050e-01	2.088888e-03	2.088888e-03
2.500000e+00	3.000000e+00	6.552185e-01	3.067764e-03	3.067764e-03
3.000000e+00	3.500000e+00	6.846014e-01	4.354957e-03	4.354957e-03
3.500000e+00	4.000000e+00	6.984492e-01	5.803671e-03	5.803671e-03
4.000000e+00	5.000000e+00	7.318417e-01	6.178795e-03	6.178795e-03
5.000000e+00	6.000000e+00	7.464023e-01	9.791699e-03	9.791699e-03
6.000000e+00	8.000000e+00	7.432764e-01	1.168063e-02	1.168063e-02
8.000000e+00	1.000000e+01	8.013631e-01	2.287526e-02	2.287526e-02
1.000000e+01	1.200000e+01	8.506186e-01	4.140274e-02	4.140274e-02
1.200000e+01	1.400000e+01	8.497254e-01	5.788175e-02	5.788175e-02
1.400000e+01	1.600000e+01	8.267574e-01	8.203478e-02	8.203478e-02
1.600000e+01	2.000000e+01	9.297999e-01	1.125255e-01	1.125255e-01
2.000000e+01	2.400000e+01	8.057220e-01	1.237799e-01	1.237799e-01
2.400000e+01	2.800000e+01	6.631456e-01	4.497673e-01	4.497673e-01
# END HISTO1D


# BEGIN HISTO1D //afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_pTzero/result_TOT_1.yoda/CMS_2012_PAS_FSQ_12_020/d05-x01-y01
LineColor=blue
LineStyle=solid
Path=//afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_pTzero/result_TOT_1.yoda/CMS_2012_PAS_FSQ_12_020/d05-x01-y01
Title=result_TOT_1
# xlow	 xhigh	 val	 errminus	 errplus
5.000000e-01	1.000000e+00	1.722727e-01	3.265893e-04	3.265893e-04
1.000000e+00	1.500000e+00	5.044088e-01	8.571953e-04	8.571953e-04
1.500000e+00	2.000000e+00	7.740022e-01	1.513933e-03	1.513933e-03
2.000000e+00	2.500000e+00	9.464327e-01	2.308735e-03	2.308735e-03
2.500000e+00	3.000000e+00	1.045442e+00	3.352296e-03	3.352296e-03
3.000000e+00	3.500000e+00	1.111826e+00	4.761095e-03	4.761095e-03
3.500000e+00	4.000000e+00	1.143381e+00	6.637872e-03	6.637872e-03
4.000000e+00	5.000000e+00	1.147315e+00	7.021211e-03	7.021211e-03
5.000000e+00	6.000000e+00	1.173000e+00	1.153019e-02	1.153019e-02
6.000000e+00	8.000000e+00	1.180045e+00	1.392053e-02	1.392053e-02
8.000000e+00	1.000000e+01	1.181465e+00	2.650539e-02	2.650539e-02
1.000000e+01	1.200000e+01	1.298574e+00	4.757129e-02	4.757129e-02
1.200000e+01	1.400000e+01	1.333627e+00	7.075033e-02	7.075033e-02
1.400000e+01	1.600000e+01	1.344167e+00	9.995149e-02	9.995149e-02
1.600000e+01	2.000000e+01	1.213124e+00	9.782134e-02	9.782134e-02
2.000000e+01	2.400000e+01	1.222083e+00	2.043658e-01	2.043658e-01
2.400000e+01	2.800000e+01	1.392606e+00	3.478467e-01	3.478467e-01
# END HISTO1D


# BEGIN HISTO1D //afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_pTzero/result_TOT_2.yoda/CMS_2012_PAS_FSQ_12_020/d05-x01-y01
LineColor=green
LineStyle=solid
Path=//afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_pTzero/result_TOT_2.yoda/CMS_2012_PAS_FSQ_12_020/d05-x01-y01
Title=result_TOT_2
# xlow	 xhigh	 val	 errminus	 errplus
5.000000e-01	1.000000e+00	1.614792e-01	3.057403e-04	3.057403e-04
1.000000e+00	1.500000e+00	4.307456e-01	7.789280e-04	7.789280e-04
1.500000e+00	2.000000e+00	6.189681e-01	1.394668e-03	1.394668e-03
2.000000e+00	2.500000e+00	7.318950e-01	2.169946e-03	2.169946e-03
2.500000e+00	3.000000e+00	7.968786e-01	3.180398e-03	3.180398e-03
3.000000e+00	3.500000e+00	8.400631e-01	4.522420e-03	4.522420e-03
3.500000e+00	4.000000e+00	8.619519e-01	6.217072e-03	6.217072e-03
4.000000e+00	5.000000e+00	8.705877e-01	6.441228e-03	6.441228e-03
5.000000e+00	6.000000e+00	8.884553e-01	1.054885e-02	1.054885e-02
6.000000e+00	8.000000e+00	9.128806e-01	1.267044e-02	1.267044e-02
8.000000e+00	1.000000e+01	9.519667e-01	2.531333e-02	2.531333e-02
