# BEGIN PLOT
XTwosidedTicks=1
YTwosidedTicks=1
XLabelSep=4.4
RatioPlotReference=/CMS_2012_PAS_FSQ_12_020/d09-x01-y01
ConnectBins=0
RatioPlot=1
LogY=0
LegendXPos=0.40
XLabel=\large{$p_\text{T}^{\text{max}}$[GeV]}
YLabelSep=5.4
YLabel=\large{$(1/N_\text{events})\; dp_\text{T}^{\text{sum}}\,/d\eta\, d\phi$ [GeV]}
Title=\large{TransMIN charged $p^{\text{sum}}_{\text{T}}$ density $\sqrt{s}=7\,\text{TeV}$}
DrawOnly=/CMS_2012_PAS_FSQ_12_020/d09-x01-y01 //afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_pTzero/result_TOT_0.yoda/CMS_2012_PAS_FSQ_12_020/d09-x01-y01 //afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_pTzero/result_TOT_1.yoda/CMS_2012_PAS_FSQ_12_020/d09-x01-y01 //afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_pTzero/result_TOT_2.yoda/CMS_2012_PAS_FSQ_12_020/d09-x01-y01 //afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_pTzero/result_TOT_3.yoda/CMS_2012_PAS_FSQ_12_020/d09-x01-y01 //afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_pTzero/result_TOT_4.yoda/CMS_2012_PAS_FSQ_12_020/d09-x01-y01 //afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_pTzero/result_TOT_5.yoda/CMS_2012_PAS_FSQ_12_020/d09-x01-y01 //afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_pTzero/result_TOT_6.yoda/CMS_2012_PAS_FSQ_12_020/d09-x01-y01 //afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_pTzero/result_TOT_7.yoda/CMS_2012_PAS_FSQ_12_020/d09-x01-y01
RatioPlotErrorBandColor=grey!40!yellow!60
LegendYPos=0.50
Legend=1
LegendOnly=/CMS_2012_PAS_FSQ_12_020/d09-x01-y01 //afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_pTzero/result_TOT_0.yoda/CMS_2012_PAS_FSQ_12_020/d09-x01-y01 //afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_pTzero/result_TOT_1.yoda/CMS_2012_PAS_FSQ_12_020/d09-x01-y01 //afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_pTzero/result_TOT_2.yoda/CMS_2012_PAS_FSQ_12_020/d09-x01-y01 //afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_pTzero/result_TOT_3.yoda/CMS_2012_PAS_FSQ_12_020/d09-x01-y01 //afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_pTzero/result_TOT_4.yoda/CMS_2012_PAS_FSQ_12_020/d09-x01-y01 //afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_pTzero/result_TOT_5.yoda/CMS_2012_PAS_FSQ_12_020/d09-x01-y01 //afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_pTzero/result_TOT_6.yoda/CMS_2012_PAS_FSQ_12_020/d09-x01-y01 //afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_pTzero/result_TOT_7.yoda/CMS_2012_PAS_FSQ_12_020/d09-x01-y01
# END PLOT

# BEGIN HISTO1D /CMS_2012_PAS_FSQ_12_020/d09-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/CMS_2012_PAS_FSQ_12_020/d09-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
5.000000e-01	1.000000e+00	9.630000e-03	3.607170e-04	3.607170e-04
1.000000e+00	1.500000e+00	7.227000e-02	2.704400e-03	2.704400e-03
1.500000e+00	2.000000e+00	1.725000e-01	6.455250e-03	6.455250e-03
2.000000e+00	2.500000e+00	2.676600e-01	1.001850e-02	1.001850e-02
2.500000e+00	3.000000e+00	3.406900e-01	1.275890e-02	1.275890e-02
3.000000e+00	3.500000e+00	3.929300e-01	1.473030e-02	1.473030e-02
3.500000e+00	4.000000e+00	4.247600e-01	1.595290e-02	1.595290e-02
4.000000e+00	5.000000e+00	4.500100e-01	1.690910e-02	1.690910e-02
5.000000e+00	6.000000e+00	4.720000e-01	1.786880e-02	1.786880e-02
6.000000e+00	8.000000e+00	4.806900e-01	1.831920e-02	1.831920e-02
8.000000e+00	1.000000e+01	5.047900e-01	2.029220e-02	2.029220e-02
1.000000e+01	1.200000e+01	4.984100e-01	2.245480e-02	2.245480e-02
1.200000e+01	1.400000e+01	5.214100e-01	2.710800e-02	2.710800e-02
1.400000e+01	1.600000e+01	5.667800e-01	3.739780e-02	3.739780e-02
1.600000e+01	2.000000e+01	5.575700e-01	3.680710e-02	3.680710e-02
2.000000e+01	2.400000e+01	4.738600e-01	5.507910e-02	5.507910e-02
2.400000e+01	2.800000e+01	4.802100e-01	7.082500e-02	7.082500e-02
# END HISTO1D


# BEGIN HISTO1D //afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_pTzero/result_TOT_0.yoda/CMS_2012_PAS_FSQ_12_020/d09-x01-y01
LineColor=red
LineStyle=solid
Path=//afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_pTzero/result_TOT_0.yoda/CMS_2012_PAS_FSQ_12_020/d09-x01-y01
Title=result_TOT_0
# xlow	 xhigh	 val	 errminus	 errplus
5.000000e-01	1.000000e+00	9.220669e-03	5.619094e-05	5.619094e-05
1.000000e+00	1.500000e+00	4.585509e-02	2.230777e-04	2.230777e-04
1.500000e+00	2.000000e+00	8.504784e-02	4.954029e-04	4.954029e-04
2.000000e+00	2.500000e+00	1.125493e-01	8.642326e-04	8.642326e-04
2.500000e+00	3.000000e+00	1.310580e-01	1.364227e-03	1.364227e-03
3.000000e+00	3.500000e+00	1.410584e-01	1.989225e-03	1.989225e-03
3.500000e+00	4.000000e+00	1.443657e-01	2.658209e-03	2.658209e-03
4.000000e+00	5.000000e+00	1.593513e-01	3.000639e-03	3.000639e-03
5.000000e+00	6.000000e+00	1.648630e-01	4.837311e-03	4.837311e-03
6.000000e+00	8.000000e+00	1.649936e-01	5.744898e-03	5.744898e-03
8.000000e+00	1.000000e+01	1.779930e-01	1.033301e-02	1.033301e-02
1.000000e+01	1.200000e+01	2.034128e-01	2.097645e-02	2.097645e-02
1.200000e+01	1.400000e+01	1.998261e-01	3.448211e-02	3.448211e-02
1.400000e+01	1.600000e+01	2.143376e-01	7.162286e-02	7.162286e-02
1.600000e+01	2.000000e+01	1.644881e-01	4.270891e-02	4.270891e-02
2.000000e+01	2.400000e+01	1.292667e-01	3.854125e-02	3.854125e-02
2.400000e+01	2.800000e+01	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D //afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_pTzero/result_TOT_1.yoda/CMS_2012_PAS_FSQ_12_020/d09-x01-y01
LineColor=blue
LineStyle=solid
Path=//afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_pTzero/result_TOT_1.yoda/CMS_2012_PAS_FSQ_12_020/d09-x01-y01
Title=result_TOT_1
# xlow	 xhigh	 val	 errminus	 errplus
5.000000e-01	1.000000e+00	1.294876e-02	7.035319e-05	7.035319e-05
1.000000e+00	1.500000e+00	7.902762e-02	2.988603e-04	2.988603e-04
1.500000e+00	2.000000e+00	1.727656e-01	6.762712e-04	6.762712e-04
2.000000e+00	2.500000e+00	2.497604e-01	1.178745e-03	1.178745e-03
2.500000e+00	3.000000e+00	3.031911e-01	1.867754e-03	1.867754e-03
3.000000e+00	3.500000e+00	3.379275e-01	2.778103e-03	2.778103e-03
3.500000e+00	4.000000e+00	3.651014e-01	3.978383e-03	3.978383e-03
4.000000e+00	5.000000e+00	3.631155e-01	4.243563e-03	4.243563e-03
5.000000e+00	6.000000e+00	3.742595e-01	6.950703e-03	6.950703e-03
6.000000e+00	8.000000e+00	3.792001e-01	8.791497e-03	8.791497e-03
8.000000e+00	1.000000e+01	3.461493e-01	1.605368e-02	1.605368e-02
1.000000e+01	1.200000e+01	4.372898e-01	4.657143e-02	4.657143e-02
1.200000e+01	1.400000e+01	3.999190e-01	4.387578e-02	4.387578e-02
