# BEGIN PLOT
XTwosidedTicks=1
YTwosidedTicks=1
XMax=24
XLabelSep=4.4
RatioPlotReference=/CMS_2015_PAS_FSQ_15_007/d03-x01-y01
ConnectBins=0
RatioPlot=1
LogY=0
LegendXPos=0.40
XLabel=\large{$p_\text{T}^{\text{max}}$[GeV]}
YLabelSep=5.4
YLabel=\large{$(1/N_\text{events})\; dp_\text{T}^{\text{sum}}\,/d\eta\, d\phi$}
Title=\large{CMS, 13 TeV, MB, TransDIF charged $p_\text{T}^{\text{sum}}$ density}
DrawOnly=/CMS_2015_PAS_FSQ_15_007/d03-x01-y01 //afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_pTzero/result_TOT_0.yoda/CMS_2015_PAS_FSQ_15_007/d03-x01-y01 //afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_pTzero/result_TOT_1.yoda/CMS_2015_PAS_FSQ_15_007/d03-x01-y01 //afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_pTzero/result_TOT_2.yoda/CMS_2015_PAS_FSQ_15_007/d03-x01-y01 //afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_pTzero/result_TOT_3.yoda/CMS_2015_PAS_FSQ_15_007/d03-x01-y01 //afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_pTzero/result_TOT_4.yoda/CMS_2015_PAS_FSQ_15_007/d03-x01-y01 //afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_pTzero/result_TOT_5.yoda/CMS_2015_PAS_FSQ_15_007/d03-x01-y01 //afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_pTzero/result_TOT_6.yoda/CMS_2015_PAS_FSQ_15_007/d03-x01-y01 //afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_pTzero/result_TOT_7.yoda/CMS_2015_PAS_FSQ_15_007/d03-x01-y01
RatioPlotErrorBandColor=grey!40!yellow!60
LegendYPos=0.50
Legend=1
LegendOnly=/CMS_2015_PAS_FSQ_15_007/d03-x01-y01 //afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_pTzero/result_TOT_0.yoda/CMS_2015_PAS_FSQ_15_007/d03-x01-y01 //afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_pTzero/result_TOT_1.yoda/CMS_2015_PAS_FSQ_15_007/d03-x01-y01 //afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_pTzero/result_TOT_2.yoda/CMS_2015_PAS_FSQ_15_007/d03-x01-y01 //afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_pTzero/result_TOT_3.yoda/CMS_2015_PAS_FSQ_15_007/d03-x01-y01 //afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_pTzero/result_TOT_4.yoda/CMS_2015_PAS_FSQ_15_007/d03-x01-y01 //afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_pTzero/result_TOT_5.yoda/CMS_2015_PAS_FSQ_15_007/d03-x01-y01 //afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_pTzero/result_TOT_6.yoda/CMS_2015_PAS_FSQ_15_007/d03-x01-y01 //afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_pTzero/result_TOT_7.yoda/CMS_2015_PAS_FSQ_15_007/d03-x01-y01
# END PLOT

# BEGIN HISTO1D /CMS_2015_PAS_FSQ_15_007/d03-x01-y01
ConnectBins=0
ErrorBars=1
Path=/CMS_2015_PAS_FSQ_15_007/d03-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
5.000000e-01	1.000000e+00	5.906501e-02	2.790340e-04	2.790340e-04
1.000000e+00	1.500000e+00	1.705802e-01	4.058386e-03	4.058386e-03
1.500000e+00	2.000000e+00	2.983050e-01	5.727535e-03	5.727535e-03
2.000000e+00	2.500000e+00	4.133652e-01	7.708834e-03	7.708834e-03
2.500000e+00	3.000000e+00	5.092931e-01	5.359362e-03	5.359362e-03
3.000000e+00	3.500000e+00	5.809705e-01	4.200646e-03	4.200646e-03
3.500000e+00	4.000000e+00	6.375897e-01	2.425665e-03	2.425665e-03
4.000000e+00	4.500000e+00	6.941051e-01	4.138942e-03	4.138942e-03
4.500000e+00	5.000000e+00	7.273000e-01	6.482692e-03	6.482692e-03
5.000000e+00	6.000000e+00	7.619986e-01	1.318231e-02	1.318231e-02
6.000000e+00	7.000000e+00	8.090667e-01	5.051820e-03	5.051820e-03
7.000000e+00	8.000000e+00	8.508746e-01	7.120133e-03	7.120133e-03
8.000000e+00	1.000000e+01	8.983699e-01	1.003109e-02	1.003109e-02
1.000000e+01	1.200000e+01	9.661892e-01	1.251068e-02	1.251068e-02
1.200000e+01	1.600000e+01	9.662331e-01	2.165847e-02	2.165847e-02
1.600000e+01	2.000000e+01	1.053670e+00	2.901027e-02	2.901027e-02
2.000000e+01	2.400000e+01	1.153402e+00	6.784806e-02	6.784806e-02
2.400000e+01	2.800000e+01	1.305058e+00	1.536979e-01	1.536979e-01
2.800000e+01	3.200000e+01	1.797134e+00	2.164775e-01	2.164775e-01
3.200000e+01	3.600000e+01	1.965634e+00	5.693099e-01	5.693099e-01
3.600000e+01	4.000000e+01	1.326769e+00	5.964774e-01	5.964774e-01
4.000000e+01	5.000000e+01	2.850896e-01	7.255272e-01	7.255272e-01
# END HISTO1D


# BEGIN HISTO1D //afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_pTzero/result_TOT_0.yoda/CMS_2015_PAS_FSQ_15_007/d03-x01-y01
LineColor=red
LineStyle=solid
Path=//afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_pTzero/result_TOT_0.yoda/CMS_2015_PAS_FSQ_15_007/d03-x01-y01
Title=result_TOT_0
# xlow	 xhigh	 val	 errminus	 errplus
5.000000e-01	1.000000e+00	6.348309e-02	9.918432e-05	9.918432e-05
1.000000e+00	1.500000e+00	1.580859e-01	2.338490e-04	2.338490e-04
1.500000e+00	2.000000e+00	2.497300e-01	4.456639e-04	4.456639e-04
2.000000e+00	2.500000e+00	3.259578e-01	7.151316e-04	7.151316e-04
2.500000e+00	3.000000e+00	3.852192e-01	1.070284e-03	1.070284e-03
3.000000e+00	3.500000e+00	4.314463e-01	1.548992e-03	1.548992e-03
3.500000e+00	4.000000e+00	4.588788e-01	2.121550e-03	2.121550e-03
4.000000e+00	4.500000e+00	4.874244e-01	2.879578e-03	2.879578e-03
4.500000e+00	5.000000e+00	5.108941e-01	3.728620e-03	3.728620e-03
5.000000e+00	6.000000e+00	5.306180e-01	3.816059e-03	3.816059e-03
6.000000e+00	7.000000e+00	5.590299e-01	5.750577e-03	5.750577e-03
7.000000e+00	8.000000e+00	5.840497e-01	8.633116e-03	8.633116e-03
8.000000e+00	1.000000e+01	6.122739e-01	9.572455e-03	9.572455e-03
1.000000e+01	1.200000e+01	7.008229e-01	1.846056e-02	1.846056e-02
1.200000e+01	1.600000e+01	7.492295e-01	2.473531e-02	2.473531e-02
1.600000e+01	2.000000e+01	8.149884e-01	4.831639e-02	4.831639e-02
2.000000e+01	2.400000e+01	8.901797e-01	9.174810e-02	9.174810e-02
2.400000e+01	2.800000e+01	1.199222e+00	2.261105e-01	2.261105e-01
2.800000e+01	3.200000e+01	1.304734e+00	2.822296e-01	2.822296e-01
3.200000e+01	3.600000e+01	9.314044e-01	3.254703e-01	3.254703e-01
3.600000e+01	4.000000e+01	2.728335e+00	9.342359e-01	9.342359e-01
