# BEGIN PLOT
XTwosidedTicks=1
YTwosidedTicks=1
XMax=24
XLabelSep=4.4
RatioPlotReference=/CMS_2015_PAS_FSQ_15_007/d06-x01-y01
ConnectBins=0
RatioPlot=1
LogY=0
LegendXPos=0.40
XLabel=\large{$p_\text{T}^{\text{max}}$[GeV]}
YLabelSep=5.4
YLabel=\large{$(1/N_\text{events})\; dN_\text{ch}\,/d\eta\, d\phi$}
Title=\large{CMS, 13 TeV, MB, TransMAX charged-particle density}
DrawOnly=/CMS_2015_PAS_FSQ_15_007/d06-x01-y01 //afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_pTzero/result_TOT_0.yoda/CMS_2015_PAS_FSQ_15_007/d06-x01-y01 //afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_pTzero/result_TOT_1.yoda/CMS_2015_PAS_FSQ_15_007/d06-x01-y01 //afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_pTzero/result_TOT_2.yoda/CMS_2015_PAS_FSQ_15_007/d06-x01-y01 //afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_pTzero/result_TOT_3.yoda/CMS_2015_PAS_FSQ_15_007/d06-x01-y01 //afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_pTzero/result_TOT_4.yoda/CMS_2015_PAS_FSQ_15_007/d06-x01-y01 //afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_pTzero/result_TOT_5.yoda/CMS_2015_PAS_FSQ_15_007/d06-x01-y01 //afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_pTzero/result_TOT_6.yoda/CMS_2015_PAS_FSQ_15_007/d06-x01-y01 //afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_pTzero/result_TOT_7.yoda/CMS_2015_PAS_FSQ_15_007/d06-x01-y01
RatioPlotErrorBandColor=grey!40!yellow!60
LegendYPos=0.50
Legend=1
LegendOnly=/CMS_2015_PAS_FSQ_15_007/d06-x01-y01 //afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_pTzero/result_TOT_0.yoda/CMS_2015_PAS_FSQ_15_007/d06-x01-y01 //afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_pTzero/result_TOT_1.yoda/CMS_2015_PAS_FSQ_15_007/d06-x01-y01 //afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_pTzero/result_TOT_2.yoda/CMS_2015_PAS_FSQ_15_007/d06-x01-y01 //afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_pTzero/result_TOT_3.yoda/CMS_2015_PAS_FSQ_15_007/d06-x01-y01 //afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_pTzero/result_TOT_4.yoda/CMS_2015_PAS_FSQ_15_007/d06-x01-y01 //afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_pTzero/result_TOT_5.yoda/CMS_2015_PAS_FSQ_15_007/d06-x01-y01 //afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_pTzero/result_TOT_6.yoda/CMS_2015_PAS_FSQ_15_007/d06-x01-y01 //afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_pTzero/result_TOT_7.yoda/CMS_2015_PAS_FSQ_15_007/d06-x01-y01
# END PLOT

# BEGIN HISTO1D /CMS_2015_PAS_FSQ_15_007/d06-x01-y01
ConnectBins=0
ErrorBars=1
Path=/CMS_2015_PAS_FSQ_15_007/d06-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
5.000000e-01	1.000000e+00	1.124427e-01	4.053605e-04	4.053605e-04
1.000000e+00	1.500000e+00	3.261630e-01	8.536273e-03	8.536273e-03
1.500000e+00	2.000000e+00	5.894059e-01	1.306567e-02	1.306567e-02
2.000000e+00	2.500000e+00	8.302473e-01	1.954760e-02	1.954760e-02
2.500000e+00	3.000000e+00	1.027029e+00	1.246442e-02	1.246442e-02
3.000000e+00	3.500000e+00	1.173819e+00	7.515369e-03	7.515369e-03
3.500000e+00	4.000000e+00	1.269622e+00	9.121487e-03	9.121487e-03
4.000000e+00	4.500000e+00	1.361374e+00	1.807697e-02	1.807697e-02
4.500000e+00	5.000000e+00	1.408454e+00	2.739203e-02	2.739203e-02
5.000000e+00	6.000000e+00	1.456821e+00	3.555993e-02	3.555993e-02
6.000000e+00	7.000000e+00	1.507127e+00	8.690036e-03	8.690036e-03
7.000000e+00	8.000000e+00	1.522944e+00	1.147968e-02	1.147968e-02
8.000000e+00	1.000000e+01	1.522999e+00	1.506620e-02	1.506620e-02
1.000000e+01	1.200000e+01	1.564495e+00	1.612100e-02	1.612100e-02
1.200000e+01	1.600000e+01	1.573181e+00	2.585909e-02	2.585909e-02
1.600000e+01	2.000000e+01	1.598651e+00	3.111044e-02	3.111044e-02
2.000000e+01	2.400000e+01	1.487593e+00	5.338095e-02	5.338095e-02
2.400000e+01	2.800000e+01	1.906104e+00	1.008451e-01	1.008451e-01
2.800000e+01	3.200000e+01	1.573891e+00	1.416261e-01	1.416261e-01
3.200000e+01	3.600000e+01	1.516146e+00	1.680630e-01	1.680630e-01
3.600000e+01	4.000000e+01	1.579903e+00	3.488480e-01	3.488480e-01
4.000000e+01	5.000000e+01	1.836007e+00	2.979452e-01	2.979452e-01
# END HISTO1D


# BEGIN HISTO1D //afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_pTzero/result_TOT_0.yoda/CMS_2015_PAS_FSQ_15_007/d06-x01-y01
LineColor=red
LineStyle=solid
Path=//afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_pTzero/result_TOT_0.yoda/CMS_2015_PAS_FSQ_15_007/d06-x01-y01
Title=result_TOT_0
# xlow	 xhigh	 val	 errminus	 errplus
5.000000e-01	1.000000e+00	1.224071e-01	1.763058e-04	1.763058e-04
1.000000e+00	1.500000e+00	2.985567e-01	3.768443e-04	3.768443e-04
1.500000e+00	2.000000e+00	4.612263e-01	6.511147e-04	6.511147e-04
2.000000e+00	2.500000e+00	5.871601e-01	9.717823e-04	9.717823e-04
2.500000e+00	3.000000e+00	6.781041e-01	1.375666e-03	1.375666e-03
3.000000e+00	3.500000e+00	7.374248e-01	1.888718e-03	1.888718e-03
3.500000e+00	4.000000e+00	7.722618e-01	2.516183e-03	2.516183e-03
4.000000e+00	4.500000e+00	7.975774e-01	3.257351e-03	3.257351e-03
4.500000e+00	5.000000e+00	8.165191e-01	4.083073e-03	4.083073e-03
5.000000e+00	6.000000e+00	8.379821e-01	4.026234e-03	4.026234e-03
6.000000e+00	7.000000e+00	8.482883e-01	5.796263e-03	5.796263e-03
7.000000e+00	8.000000e+00	8.659411e-01	8.351522e-03	8.351522e-03
8.000000e+00	1.000000e+01	8.815225e-01	8.721137e-03	8.721137e-03
1.000000e+01	1.200000e+01	9.386525e-01	1.523969e-02	1.523969e-02
1.200000e+01	1.600000e+01	9.369239e-01	1.866460e-02	1.866460e-02
1.600000e+01	2.000000e+01	1.018001e+00	3.433334e-02	3.433334e-02
2.000000e+01	2.400000e+01	1.081236e+00	5.112478e-02	5.112478e-02
2.400000e+01	2.800000e+01	1.084243e+00	8.983545e-02	8.983545e-02
2.800000e+01	3.200000e+01	1.211130e+00	1.573864e-01	1.573864e-01
3.200000e+01	3.600000e+01	1.432394e+00	2.441325e-01	2.441325e-01
3.600000e+01	4.000000e+01	1.671127e+00	3.036860e-01	3.036860e-01
4.000000e+01	5.000000e+01	1.318218e+00	1.454164e-01	1.454164e-01
# END HISTO1D


# BEGIN HISTO1D //afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_pTzero/result_TOT_1.yoda/CMS_2015_PAS_FSQ_15_007/d06-x01-y01
LineColor=blue
LineStyle=solid
Path=//afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_pTzero/result_TOT_1.yoda/CMS_2015_PAS_FSQ_15_007/d06-x01-y01
Title=result_TOT_1
# xlow	 xhigh	 val	 errminus	 errplus
5.000000e-01	1.000000e+00	1.242677e-01	1.818489e-04	1.818489e-04
1.000000e+00	1.500000e+00	3.313364e-01	4.349808e-04	4.349808e-04
1.500000e+00	2.000000e+00	5.787112e-01	8.119856e-04	8.119856e-04
2.000000e+00	2.500000e+00	8.148671e-01	1.216298e-03	1.216298e-03
2.500000e+00	3.000000e+00	1.000541e+00	1.689207e-03	1.689207e-03
3.000000e+00	3.500000e+00	1.131617e+00	2.274947e-03	2.274947e-03
3.500000e+00	4.000000e+00	1.205315e+00	3.026830e-03	3.026830e-03
4.000000e+00	4.500000e+00	1.258775e+00	3.949483e-03	3.949483e-03
4.500000e+00	5.000000e+00	1.284311e+00	5.057153e-03	5.057153e-03
5.000000e+00	6.000000e+00	1.292039e+00	4.936828e-03	4.936828e-03
6.000000e+00	7.000000e+00	1.310112e+00	7.363715e-03	7.363715e-03
7.000000e+00	8.000000e+00	1.301980e+00	1.014977e-02	1.014977e-02
8.000000e+00	1.000000e+01	1.311097e+00	1.095126e-02	1.095126e-02
1.000000e+01	1.200000e+01	1.328934e+00	1.771474e-02	1.771474e-02
1.200000e+01	1.600000e+01	1.384435e+00	2.211977e-02	2.211977e-02
1.600000e+01	2.000000e+01	1.413398e+00	4.040378e-02	4.040378e-02
2.000000e+01	2.400000e+01	1.442839e+00	8.127703e-02	8.127703e-02
2.400000e+01	2.800000e+01	1.570254e+00	1.125845e-01	1.125845e-01
2.800000e+01	3.200000e+01	1.639715e+00	1.684900e-01	1.684900e-01
3.200000e+01	3.600000e+01	1.193662e+00	2.031064e-01	2.031064e-01
3.600000e+01	4.000000e+01	1.466499e+00	4.049704e-01	4.049704e-01
4.000000e+01	5.000000e+01	1.623381e+00	2.296940e-01	2.296940e-01
# END HISTO1D


# BEGIN HISTO1D //afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_pTzero/result_TOT_2.yoda/CMS_2015_PAS_FSQ_15_007/d06-x01-y01
LineColor=green
LineStyle=solid
Path=//afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_pTzero/result_TOT_2.yoda/CMS_2015_PAS_FSQ_15_007/d06-x01-y01
Title=result_TOT_2
# xlow	 xhigh	 val	 errminus	 errplus
5.000000e-01	1.000000e+00	1.231325e-01	1.798046e-04	1.798046e-04
1.000000e+00	1.500000e+00	3.131601e-01	4.020762e-04	4.020762e-04
1.500000e+00	2.000000e+00	5.113639e-01	7.147172e-04	7.147172e-04
2.000000e+00	2.500000e+00	6.757204e-01	1.055336e-03	1.055336e-03
2.500000e+00	3.000000e+00	7.993653e-01	1.488948e-03	1.488948e-03
3.000000e+00	3.500000e+00	8.772348e-01	2.009586e-03	2.009586e-03
3.500000e+00	4.000000e+00	9.293751e-01	2.714274e-03	2.714274e-03
4.000000e+00	4.500000e+00	9.626127e-01	3.507690e-03	3.507690e-03
4.500000e+00	5.000000e+00	9.786909e-01	4.473971e-03	4.473971e-03
5.000000e+00	6.000000e+00	9.958429e-01	4.297804e-03	4.297804e-03
6.000000e+00	7.000000e+00	1.004059e+00	6.296111e-03	6.296111e-03
7.000000e+00	8.000000e+00	1.023953e+00	8.827911e-03	8.827911e-03
8.000000e+00	1.000000e+01	1.038078e+00	9.618725e-03	9.618725e-03
1.000000e+01	1.200000e+01	1.072440e+00	1.617798e-02	1.617798e-02
1.200000e+01	1.600000e+01	1.105196e+00	2.013477e-02	2.013477e-02
1.600000e+01	2.000000e+01	1.152099e+00	3.592793e-02	3.592793e-02
2.000000e+01	2.400000e+01	1.256562e+00	6.141110e-02	6.141110e-02
2.400000e+01	2.800000e+01	1.135684e+00	1.053666e-01	1.053666e-01
2.800000e+01	3.200000e+01	1.265837e+00	1.337738e-01	1.337738e-01
3.200000e+01	3.600000e+01	1.320986e+00	3.080848e-01	3.080848e-01
3.600000e+01	4.000000e+01	1.173768e+00	2.002956e-01	2.002956e-01
4.000000e+01	5.000000e+01	1.169789e+00	1.498335e-01	1.498335e-01
# END HISTO1D


# BEGIN HISTO1D //afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_pTzero/result_TOT_3.yoda/CMS_2015_PAS_FSQ_15_007/d06-x01-y01
LineColor=orange
LineStyle=solid
Path=//afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_pTzero/result_TOT_3.yoda/CMS_2015_PAS_FSQ_15_007/d06-x01-y01
Title=result_TOT_3
# xlow	 xhigh	 val	 errminus	 errplus
5.000000e-01	1.000000e+00	1.191349e-01	1.653774e-04	1.653774e-04
1.000000e+00	1.500000e+00	2.591110e-01	3.232675e-04	3.232675e-04
1.500000e+00	2.000000e+00	3.592026e-01	5.539990e-04	5.539990e-04
2.000000e+00	2.500000e+00	4.235279e-01	8.303545e-04	8.303545e-04
2.500000e+00	3.000000e+00	4.690379e-01	1.177418e-03	1.177418e-03
3.000000e+00	3.500000e+00	4.994499e-01	1.616825e-03	1.616825e-03
3.500000e+00	4.000000e+00	5.219501e-01	2.128858e-03	2.128858e-03
4.000000e+00	4.500000e+00	5.355578e-01	2.722380e-03	2.722380e-03
4.500000e+00	5.000000e+00	5.509025e-01	3.472903e-03	3.472903e-03
5.000000e+00	6.000000e+00	5.695539e-01	3.343942e-03	3.343942e-03
6.000000e+00	7.000000e+00	5.891016e-01	4.846704e-03	4.846704e-03
7.000000e+00	8.000000e+00	5.911449e-01	6.677759e-03	6.677759e-03
8.000000e+00	1.000000e+01	6.141968e-01	7.269931e-03	7.269931e-03
1.000000e+01	1.200000e+01	6.366581e-01	1.207161e-02	1.207161e-02
1.200000e+01	1.600000e+01	6.897423e-01	1.534220e-02	1.534220e-02
1.600000e+01	2.000000e+01	7.492072e-01	3.203528e-02	3.203528e-02
2.000000e+01	2.400000e+01	8.081155e-01	5.293801e-02	5.293801e-02
2.400000e+01	2.800000e+01	7.330489e-01	7.244951e-02	7.244951e-02
2.800000e+01	3.200000e+01	8.319464e-01	1.119567e-01	1.119567e-01
3.200000e+01	3.600000e+01	6.659379e-01	1.478412e-01	1.478412e-01
3.600000e+01	4.000000e+01	5.456741e-01	9.170768e-02	9.170768e-02
4.000000e+01	5.000000e+01	1.175298e+00	2.285076e-01	2.285076e-01
# END HISTO1D


# BEGIN HISTO1D //afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_pTzero/result_TOT_4.yoda/CMS_2015_PAS_FSQ_15_007/d06-x01-y01
LineColor=lilac
LineStyle=solid
Path=//afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_pTzero/result_TOT_4.yoda/CMS_2015_PAS_FSQ_15_007/d06-x01-y01
Title=result_TOT_4
# xlow	 xhigh	 val	 errminus	 errplus
5.000000e-01	1.000000e+00	1.334990e-01	1.909564e-04	1.909564e-04
1.000000e+00	1.500000e+00	3.808147e-01	5.146202e-04	5.146202e-04
1.500000e+00	2.000000e+00	7.345066e-01	1.090325e-03	1.090325e-03
2.000000e+00	2.500000e+00	1.174468e+00	1.790746e-03	1.790746e-03
2.500000e+00	3.000000e+00	1.655219e+00	2.532154e-03	2.532154e-03
3.000000e+00	3.500000e+00	2.062192e+00	3.238478e-03	3.238478e-03
3.500000e+00	4.000000e+00	2.337927e+00	4.117456e-03	4.117456e-03
4.000000e+00	4.500000e+00	2.482553e+00	5.299116e-03	5.299116e-03
4.500000e+00	5.000000e+00	2.547107e+00	6.768535e-03	6.768535e-03
5.000000e+00	6.000000e+00	2.576441e+00	6.831213e-03	6.831213e-03
6.000000e+00	7.000000e+00	2.562290e+00	1.068346e-02	1.068346e-02
7.000000e+00	8.000000e+00	2.528675e+00	1.515162e-02	1.515162e-02
8.000000e+00	1.000000e+01	2.536148e+00	1.678701e-02	1.678701e-02
1.000000e+01	1.200000e+01	2.510643e+00	2.758666e-02	2.758666e-02
1.200000e+01	1.600000e+01	2.584201e+00	3.510462e-02	3.510462e-02
1.600000e+01	2.000000e+01	2.505596e+00	6.501650e-02	6.501650e-02
2.000000e+01	2.400000e+01	2.491121e+00	1.021862e-01	1.021862e-01
2.400000e+01	2.800000e+01	2.563389e+00	1.712356e-01	1.712356e-01
2.800000e+01	3.200000e+01	2.414608e+00	2.380838e-01	2.380838e-01
3.200000e+01	3.600000e+01	2.275916e+00	4.395013e-01	4.395013e-01
3.600000e+01	4.000000e+01	2.053099e+00	2.738204e-01	2.738204e-01
4.000000e+01	5.000000e+01	2.745423e+00	4.643528e-01	4.643528e-01
# END HISTO1D


# BEGIN HISTO1D //afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_pTzero/result_TOT_5.yoda/CMS_2015_PAS_FSQ_15_007/d06-x01-y01
LineColor=red
LineStyle=dashed
Path=//afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_pTzero/result_TOT_5.yoda/CMS_2015_PAS_FSQ_15_007/d06-x01-y01
Title=result_TOT_5
# xlow	 xhigh	 val	 errminus	 errplus
5.000000e-01	1.000000e+00	1.276604e-01	1.856984e-04	1.856984e-04
1.000000e+00	1.500000e+00	3.545898e-01	4.759312e-04	4.759312e-04
1.500000e+00	2.000000e+00	6.565257e-01	9.553548e-04	9.553548e-04
2.000000e+00	2.500000e+00	9.942218e-01	1.486485e-03	1.486485e-03
2.500000e+00	3.000000e+00	1.319449e+00	2.073469e-03	2.073469e-03
3.000000e+00	3.500000e+00	1.564395e+00	2.746123e-03	2.746123e-03
3.500000e+00	4.000000e+00	1.716272e+00	3.579103e-03	3.579103e-03
4.000000e+00	4.500000e+00	1.801298e+00	4.664624e-03	4.664624e-03
4.500000e+00	5.000000e+00	1.848777e+00	6.026110e-03	6.026110e-03
5.000000e+00	6.000000e+00	1.852162e+00	5.923334e-03	5.923334e-03
6.000000e+00	7.000000e+00	1.856133e+00	8.928463e-03	8.928463e-03
7.000000e+00	8.000000e+00	1.853567e+00	1.268348e-02	1.268348e-02
8.000000e+00	1.000000e+01	1.856510e+00	1.352931e-02	1.352931e-02
1.000000e+01	1.200000e+01	1.874417e+00	2.289317e-02	2.289317e-02
1.200000e+01	1.600000e+01	1.866350e+00	2.719458e-02	2.719458e-02
1.600000e+01	2.000000e+01	1.898300e+00	4.705730e-02	4.705730e-02
2.000000e+01	2.400000e+01	2.006926e+00	7.929095e-02	7.929095e-02
2.400000e+01	2.800000e+01	1.784525e+00	1.152907e-01	1.152907e-01
2.800000e+01	3.200000e+01	2.095541e+00	1.434486e-01	1.434486e-01
3.200000e+01	3.600000e+01	1.974968e+00	1.931322e-01	1.931322e-01
3.600000e+01	4.000000e+01	1.559719e+00	2.069013e-01	2.069013e-01
4.000000e+01	5.000000e+01	2.461928e+00	2.693190e-01	2.693190e-01
# END HISTO1D


# BEGIN HISTO1D //afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_pTzero/result_TOT_6.yoda/CMS_2015_PAS_FSQ_15_007/d06-x01-y01
LineColor=blue
LineStyle=dashed
Path=//afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_pTzero/result_TOT_6.yoda/CMS_2015_PAS_FSQ_15_007/d06-x01-y01
Title=result_TOT_6
# xlow	 xhigh	 val	 errminus	 errplus
5.000000e-01	1.000000e+00	1.211283e-01	1.721514e-04	1.721514e-04
1.000000e+00	1.500000e+00	2.818794e-01	3.530102e-04	3.530102e-04
1.500000e+00	2.000000e+00	4.149478e-01	6.043900e-04	6.043900e-04
2.000000e+00	2.500000e+00	5.095894e-01	9.021158e-04	9.021158e-04
2.500000e+00	3.000000e+00	5.755541e-01	1.283121e-03	1.283121e-03
3.000000e+00	3.500000e+00	6.178778e-01	1.760017e-03	1.760017e-03
3.500000e+00	4.000000e+00	6.500963e-01	2.337103e-03	2.337103e-03
4.000000e+00	4.500000e+00	6.696128e-01	2.998953e-03	2.998953e-03
4.500000e+00	5.000000e+00	6.847400e-01	3.866920e-03	3.866920e-03
5.000000e+00	6.000000e+00	6.992383e-01	3.689022e-03	3.689022e-03
6.000000e+00	7.000000e+00	7.297795e-01	5.504399e-03	5.504399e-03
7.000000e+00	8.000000e+00	7.363873e-01	7.580986e-03	7.580986e-03
8.000000e+00	1.000000e+01	7.595473e-01	7.993729e-03	7.993729e-03
1.000000e+01	1.200000e+01	7.902943e-01	1.344737e-02	1.344737e-02
1.200000e+01	1.600000e+01	8.122351e-01	1.594359e-02	1.594359e-02
1.600000e+01	2.000000e+01	8.167743e-01	3.036055e-02	3.036055e-02
2.000000e+01	2.400000e+01	7.717163e-01	4.486356e-02	4.486356e-02
2.400000e+01	2.800000e+01	8.661701e-01	7.066455e-02	7.066455e-02
2.800000e+01	3.200000e+01	1.181725e+00	1.475488e-01	1.475488e-01
3.200000e+01	3.600000e+01	1.183283e+00	1.924887e-01	1.924887e-01
3.600000e+01	4.000000e+01	1.742747e+00	5.912878e-01	5.912878e-01
4.000000e+01	5.000000e+01	1.039188e+00	2.232585e-01	2.232585e-01
# END HISTO1D


# BEGIN HISTO1D //afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_pTzero/result_TOT_7.yoda/CMS_2015_PAS_FSQ_15_007/d06-x01-y01
LineColor=green
LineStyle=dashed
Path=//afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_pTzero/result_TOT_7.yoda/CMS_2015_PAS_FSQ_15_007/d06-x01-y01
Title=result_TOT_7
# xlow	 xhigh	 val	 errminus	 errplus
5.000000e-01	1.000000e+00	1.193072e-01	1.662032e-04	1.662032e-04
1.000000e+00	1.500000e+00	2.615101e-01	3.263841e-04	3.263841e-04
1.500000e+00	2.000000e+00	3.642050e-01	5.555709e-04	5.555709e-04
2.000000e+00	2.500000e+00	4.345148e-01	8.390961e-04	8.390961e-04
2.500000e+00	3.000000e+00	4.806366e-01	1.195436e-03	1.195436e-03
3.000000e+00	3.500000e+00	5.119566e-01	1.630767e-03	1.630767e-03
3.500000e+00	4.000000e+00	5.335020e-01	2.146844e-03	2.146844e-03
4.000000e+00	4.500000e+00	5.480681e-01	2.808750e-03	2.808750e-03
4.500000e+00	5.000000e+00	5.640465e-01	3.558815e-03	3.558815e-03
5.000000e+00	6.000000e+00	5.798002e-01	3.401869e-03	3.401869e-03
6.000000e+00	7.000000e+00	6.026389e-01	4.968806e-03	4.968806e-03
7.000000e+00	8.000000e+00	6.158183e-01	6.862086e-03	6.862086e-03
8.000000e+00	1.000000e+01	6.361497e-01	7.247234e-03	7.247234e-03
1.000000e+01	1.200000e+01	6.835589e-01	1.277207e-02	1.277207e-02
1.200000e+01	1.600000e+01	6.863560e-01	1.454809e-02	1.454809e-02
1.600000e+01	2.000000e+01	7.306172e-01	2.755197e-02	2.755197e-02
