# BEGIN PLOT
XTwosidedTicks=1
YTwosidedTicks=1
XMax=52
XLabelSep=4.4
RatioPlotReference=/CMS_2015_PAS_FSQ_15_007/d12-x01-y01
ConnectBins=0
RatioPlot=1
LogY=0
LegendXPos=0.40
XLabel=\large{$p_\text{T}^{\text{jet}}$[GeV]}
YLabelSep=5.4
YLabel=\large{$(1/N_\text{events})\; dp_\text{T}^{\text{sum}}\,/d\eta\, d\phi$}
Title=\large{CMS, 13 TeV, MB, TransAVG charged $p_\text{T}^{\text{sum}}$ density}
DrawOnly=/CMS_2015_PAS_FSQ_15_007/d12-x01-y01 //afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_pTzero/result_TOT_0.yoda/CMS_2015_PAS_FSQ_15_007/d12-x01-y01 //afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_pTzero/result_TOT_1.yoda/CMS_2015_PAS_FSQ_15_007/d12-x01-y01 //afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_pTzero/result_TOT_2.yoda/CMS_2015_PAS_FSQ_15_007/d12-x01-y01 //afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_pTzero/result_TOT_3.yoda/CMS_2015_PAS_FSQ_15_007/d12-x01-y01 //afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_pTzero/result_TOT_4.yoda/CMS_2015_PAS_FSQ_15_007/d12-x01-y01 //afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_pTzero/result_TOT_5.yoda/CMS_2015_PAS_FSQ_15_007/d12-x01-y01 //afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_pTzero/result_TOT_6.yoda/CMS_2015_PAS_FSQ_15_007/d12-x01-y01 //afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_pTzero/result_TOT_7.yoda/CMS_2015_PAS_FSQ_15_007/d12-x01-y01
RatioPlotErrorBandColor=grey!40!yellow!60
LegendYPos=0.50
Legend=1
LegendOnly=/CMS_2015_PAS_FSQ_15_007/d12-x01-y01 //afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_pTzero/result_TOT_0.yoda/CMS_2015_PAS_FSQ_15_007/d12-x01-y01 //afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_pTzero/result_TOT_1.yoda/CMS_2015_PAS_FSQ_15_007/d12-x01-y01 //afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_pTzero/result_TOT_2.yoda/CMS_2015_PAS_FSQ_15_007/d12-x01-y01 //afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_pTzero/result_TOT_3.yoda/CMS_2015_PAS_FSQ_15_007/d12-x01-y01 //afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_pTzero/result_TOT_4.yoda/CMS_2015_PAS_FSQ_15_007/d12-x01-y01 //afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_pTzero/result_TOT_5.yoda/CMS_2015_PAS_FSQ_15_007/d12-x01-y01 //afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_pTzero/result_TOT_6.yoda/CMS_2015_PAS_FSQ_15_007/d12-x01-y01 //afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_pTzero/result_TOT_7.yoda/CMS_2015_PAS_FSQ_15_007/d12-x01-y01
# END PLOT

# BEGIN HISTO1D /CMS_2015_PAS_FSQ_15_007/d12-x01-y01
ConnectBins=0
ErrorBars=1
Path=/CMS_2015_PAS_FSQ_15_007/d12-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
5.000000e-01	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+00	1.500000e+00	8.383945e-02	2.658111e-03	2.658111e-03
1.500000e+00	2.000000e+00	1.612183e-01	7.706684e-03	7.706684e-03
2.000000e+00	2.500000e+00	2.582552e-01	1.557551e-02	1.557551e-02
2.500000e+00	3.000000e+00	3.674205e-01	2.546686e-02	2.546686e-02
3.000000e+00	3.500000e+00	4.760800e-01	3.050361e-02	3.050361e-02
3.500000e+00	4.000000e+00	5.823765e-01	3.746593e-02	3.746593e-02
4.000000e+00	4.500000e+00	6.840829e-01	3.268538e-02	3.268538e-02
4.500000e+00	5.000000e+00	7.821118e-01	2.804914e-02	2.804914e-02
5.000000e+00	6.000000e+00	8.937552e-01	2.097210e-02	2.097210e-02
6.000000e+00	7.000000e+00	1.036097e+00	1.370833e-02	1.370833e-02
7.000000e+00	8.000000e+00	1.154867e+00	9.728894e-03	9.728894e-03
8.000000e+00	9.000000e+00	1.252363e+00	5.292042e-03	5.292042e-03
9.000000e+00	1.000000e+01	1.325565e+00	9.689377e-03	9.689377e-03
1.000000e+01	1.200000e+01	1.394176e+00	9.448422e-03	9.448422e-03
1.200000e+01	1.400000e+01	1.472408e+00	1.041713e-02	1.041713e-02
1.400000e+01	1.600000e+01	1.546505e+00	1.183033e-02	1.183033e-02
1.600000e+01	1.800000e+01	1.604712e+00	1.420892e-02	1.420892e-02
1.800000e+01	2.000000e+01	1.545633e+00	1.613155e-02	1.613155e-02
2.000000e+01	2.400000e+01	1.594344e+00	1.825933e-02	1.825933e-02
2.400000e+01	2.800000e+01	1.632603e+00	2.961800e-02	2.961800e-02
2.800000e+01	3.200000e+01	1.630570e+00	4.593295e-02	4.593295e-02
3.200000e+01	3.600000e+01	1.671518e+00	7.965797e-02	7.965797e-02
3.600000e+01	4.000000e+01	1.758366e+00	1.119226e-01	1.119226e-01
4.000000e+01	4.400000e+01	1.778571e+00	1.597617e-01	1.597617e-01
4.400000e+01	4.800000e+01	1.487292e+00	1.725068e-01	1.725068e-01
4.800000e+01	5.200000e+01	1.795906e+00	2.278761e-01	2.278761e-01
5.200000e+01	5.600000e+01	1.496265e+00	2.483709e-01	2.483709e-01
5.600000e+01	6.000000e+01	1.818258e+00	2.390002e-01	2.390002e-01
6.000000e+01	6.400000e+01	2.223891e+00	3.918841e-01	3.918841e-01
6.400000e+01	6.800000e+01	1.271994e+00	3.011544e-01	3.011544e-01
6.800000e+01	7.200000e+01	1.241548e+00	3.728030e-01	3.728030e-01
7.200000e+01	8.000000e+01	2.660247e+00	6.024017e-01	6.024017e-01
# END HISTO1D


# BEGIN HISTO1D //afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_pTzero/result_TOT_0.yoda/CMS_2015_PAS_FSQ_15_007/d12-x01-y01
LineColor=red
LineStyle=solid
Path=//afs/cern.ch/user/m/mdessena/OtherSqrtS/CMSSW_11_2_4/src/Result_pTzero/result_TOT_0.yoda/CMS_2015_PAS_FSQ_15_007/d12-x01-y01
Title=result_TOT_0
# xlow	 xhigh	 val	 errminus	 errplus
5.000000e-01	1.000000e+00	nan	nan	nan
1.000000e+00	1.500000e+00	8.044380e-02	1.385800e-04	1.385800e-04
1.500000e+00	2.000000e+00	1.411221e-01	2.547363e-04	2.547363e-04
2.000000e+00	2.500000e+00	2.031470e-01	4.074723e-04	4.074723e-04
2.500000e+00	3.000000e+00	2.587196e-01	5.877957e-04	5.877957e-04
3.000000e+00	3.500000e+00	3.098629e-01	7.843542e-04	7.843542e-04
3.500000e+00	4.000000e+00	3.549632e-01	9.978364e-04	9.978364e-04
4.000000e+00	4.500000e+00	3.965449e-01	1.234945e-03	1.234945e-03
4.500000e+00	5.000000e+00	4.358760e-01	1.505645e-03	1.505645e-03
5.000000e+00	6.000000e+00	4.793190e-01	1.375294e-03	1.375294e-03
