# BEGIN PLOT
LegendOnly=/CMS_2019_I1753680/d28-x01-y02 //eos/home-m/mdessena/CMSSW_eos/CMSSW_11_2_4/src/Final_Results_MCNNTUNES/Tune_PrimordialkT_PerBinModel_1/PerBin.yoda/CMS_2019_I1753680/d28-x01-y02 //eos/home-m/mdessena/CMSSW_eos/CMSSW_11_2_4/src/Final_Results_MCNNTUNES/Tune_PrimordialkT_InverseModel_2/Inverse.yoda/CMS_2019_I1753680/d28-x01-y02 //eos/home-m/mdessena/CMSSW_eos/CMSSW_11_2_4/src/Final_Results_MCNNTUNES/Tune_PrimordialkT_CP5_default/CP5_default.yoda/CMS_2019_I1753680/d28-x01-y02
DrawOnly=/CMS_2019_I1753680/d28-x01-y02 //eos/home-m/mdessena/CMSSW_eos/CMSSW_11_2_4/src/Final_Results_MCNNTUNES/Tune_PrimordialkT_PerBinModel_1/PerBin.yoda/CMS_2019_I1753680/d28-x01-y02 //eos/home-m/mdessena/CMSSW_eos/CMSSW_11_2_4/src/Final_Results_MCNNTUNES/Tune_PrimordialkT_InverseModel_2/Inverse.yoda/CMS_2019_I1753680/d28-x01-y02 //eos/home-m/mdessena/CMSSW_eos/CMSSW_11_2_4/src/Final_Results_MCNNTUNES/Tune_PrimordialkT_CP5_default/CP5_default.yoda/CMS_2019_I1753680/d28-x01-y02
Title=CMS, 13 TeV, $Z \to e^+ e^-$
RatioPlotReference=/CMS_2019_I1753680/d28-x01-y02
RatioPlot=1
LogX=1
LogY=0
RatioPlotYMax=1.25
XLabel=$\phi^{*}_{\eta}$
YLabel=$d\sigma/d\phi^{*}_{\eta}$ [pb]
XMin=0.001
Legend=1
RatioPlotYMin=0.75
# END PLOT

# BEGIN HISTO1D /CMS_2019_I1753680/d28-x01-y02
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/CMS_2019_I1753680/d28-x01-y02
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e-03	2.000000e-03	6.160300e+03	1.832100e+02	1.832100e+02
2.000000e-03	3.000000e-03	6.085600e+03	1.809900e+02	1.809900e+02
3.000000e-03	4.000000e-03	6.056500e+03	1.804100e+02	1.804100e+02
4.000000e-03	5.000000e-03	5.922400e+03	1.769700e+02	1.769700e+02
5.000000e-03	6.000000e-03	5.991300e+03	1.790100e+02	1.790100e+02
6.000000e-03	7.000000e-03	6.038700e+03	1.809200e+02	1.809200e+02
7.000000e-03	8.000000e-03	6.216100e+03	1.882400e+02	1.882400e+02
8.000000e-03	9.000000e-03	5.743600e+03	1.742700e+02	1.742700e+02
9.000000e-03	1.000000e-02	6.053400e+03	1.807500e+02	1.807500e+02
1.000000e-02	2.000000e-02	5.809300e+03	1.695900e+02	1.695900e+02
2.000000e-02	3.000000e-02	5.263900e+03	1.513500e+02	1.513500e+02
3.000000e-02	4.000000e-02	4.722100e+03	1.354600e+02	1.354600e+02
4.000000e-02	5.000000e-02	4.173100e+03	1.201600e+02	1.201600e+02
5.000000e-02	6.000000e-02	3.673100e+03	1.058000e+02	1.058000e+02
6.000000e-02	7.000000e-02	3.243400e+03	9.342100e+01	9.342100e+01
7.000000e-02	8.000000e-02	2.880600e+03	8.316000e+01	8.316000e+01
8.000000e-02	9.000000e-02	2.541800e+03	7.349200e+01	7.349200e+01
9.000000e-02	1.000000e-01	2.278400e+03	6.594900e+01	6.594900e+01
1.000000e-01	2.000000e-01	1.370900e+03	3.988300e+01	3.988300e+01
2.000000e-01	3.000000e-01	6.101300e+02	1.792400e+01	1.792400e+01
3.000000e-01	4.000000e-01	3.226300e+02	9.577500e+00	9.577500e+00
4.000000e-01	5.000000e-01	1.954500e+02	5.856700e+00	5.856700e+00
5.000000e-01	6.000000e-01	1.275600e+02	3.859300e+00	3.859300e+00
6.000000e-01	7.000000e-01	8.754400e+01	2.677400e+00	2.677400e+00
7.000000e-01	8.000000e-01	6.358900e+01	1.967100e+00	1.967100e+00
8.000000e-01	9.000000e-01	4.681300e+01	1.465300e+00	1.465300e+00
9.000000e-01	1.000000e+00	3.559200e+01	1.131800e+00	1.131800e+00
1.000000e+00	3.000000e+00	7.998000e+00	2.632500e-01	2.632500e-01
3.000000e+00	5.000000e+00	9.385700e-01	3.255300e-02	3.255300e-02
5.000000e+00	7.000000e+00	3.488700e-01	1.260800e-02	1.260800e-02
7.000000e+00	1.000000e+01	1.644100e-01	6.058600e-03	6.058600e-03
1.000000e+01	2.000000e+01	5.652500e-02	2.112800e-03	2.112800e-03
2.000000e+01	3.000000e+01	1.867800e-02	7.082600e-04	7.082600e-04
3.000000e+01	5.000000e+01	1.841200e-02	7.023300e-04	7.023300e-04
# END HISTO1D


