# BEGIN PLOT
LegendOnly=/CMS_2019_I1753680/d29-x01-y02 //eos/home-m/mdessena/CMSSW_eos/CMSSW_11_2_4/src/PrimordialKTResults/PrimordialkT_NoMPI_PartonLevelMPIoff4/withMPI.yoda/CMS_2019_I1753680/d29-x01-y02 //eos/home-m/mdessena/CMSSW_eos/CMSSW_11_2_4/src/PrimordialKTResults/PrimordialkT_NoMPI_PartonLevelMPIoff4/withoutMPI.yoda/CMS_2019_I1753680/d29-x01-y02
DrawOnly=/CMS_2019_I1753680/d29-x01-y02 //eos/home-m/mdessena/CMSSW_eos/CMSSW_11_2_4/src/PrimordialKTResults/PrimordialkT_NoMPI_PartonLevelMPIoff4/withMPI.yoda/CMS_2019_I1753680/d29-x01-y02 //eos/home-m/mdessena/CMSSW_eos/CMSSW_11_2_4/src/PrimordialKTResults/PrimordialkT_NoMPI_PartonLevelMPIoff4/withoutMPI.yoda/CMS_2019_I1753680/d29-x01-y02
Title=CMS, 13 TeV, $Z \to \ell^+ \ell^-$, $0.4 < |y^{Z}| < 0.8$
RatioPlotReference=/CMS_2019_I1753680/d29-x01-y02
YLabel=$d\sigma/dp_{T}^{Z}$ [pb/GeV]
RatioPlot=1
LogX=1
LogY=0
RatioPlotYMax=1.25
XLabel=$p_{T}^{Z}$ [GeV]
RatioPlotSameStyle=0
XMin=0.1
RatioPlotErrorBandColor=grey!40!yellow!60
Legend=1
RatioPlotYMin=0.75
# END PLOT

# BEGIN HISTO1D /CMS_2019_I1753680/d29-x01-y02
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/CMS_2019_I1753680/d29-x01-y02
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+00	1.977500e+00	7.991800e-02	7.991800e-02
1.000000e+00	2.000000e+00	4.976300e+00	1.770500e-01	1.770500e-01
2.000000e+00	3.000000e+00	6.950700e+00	2.254400e-01	2.254400e-01
3.000000e+00	4.000000e+00	7.809000e+00	2.387900e-01	2.387900e-01
4.000000e+00	5.000000e+00	8.017700e+00	2.344400e-01	2.344400e-01
5.000000e+00	6.000000e+00	7.735700e+00	2.210900e-01	2.210900e-01
6.000000e+00	7.000000e+00	7.255000e+00	2.050400e-01	2.050400e-01
7.000000e+00	8.000000e+00	6.801200e+00	1.889500e-01	1.889500e-01
8.000000e+00	9.000000e+00	6.286900e+00	1.718600e-01	1.718600e-01
9.000000e+00	1.000000e+01	5.824900e+00	1.572900e-01	1.572900e-01
1.000000e+01	1.100000e+01	5.319800e+00	1.428200e-01	1.428200e-01
1.100000e+01	1.200000e+01	4.886300e+00	1.307100e-01	1.307100e-01
1.200000e+01	1.300000e+01	4.571900e+00	1.216000e-01	1.216000e-01
1.300000e+01	1.400000e+01	4.265500e+00	1.130800e-01	1.130800e-01
1.400000e+01	1.600000e+01	3.664500e+00	9.708000e-02	9.708000e-02
1.600000e+01	1.800000e+01	3.211000e+00	8.515700e-02	8.515700e-02
1.800000e+01	2.000000e+01	2.743500e+00	7.287700e-02	7.287700e-02
2.000000e+01	2.200000e+01	2.334500e+00	6.208800e-02	6.208800e-02
2.200000e+01	2.500000e+01	2.035000e+00	5.419400e-02	5.419400e-02
2.500000e+01	2.800000e+01	1.655600e+00	4.416600e-02	4.416600e-02
2.800000e+01	3.200000e+01	1.352700e+00	3.623200e-02	3.623200e-02
3.200000e+01	3.700000e+01	1.040900e+00	2.809100e-02	2.809100e-02
3.700000e+01	4.300000e+01	7.757500e-01	2.118800e-02	2.118800e-02
4.300000e+01	5.200000e+01	5.450800e-01	1.512300e-02	1.512300e-02
5.200000e+01	6.500000e+01	3.288400e-01	9.226600e-03	9.226600e-03
6.500000e+01	8.500000e+01	1.713700e-01	4.854400e-03	4.854400e-03
8.500000e+01	1.200000e+02	7.342100e-02	2.137500e-03	2.137500e-03
1.200000e+02	1.600000e+02	2.699800e-02	8.276600e-04	8.276600e-04
1.600000e+02	1.900000e+02	1.165200e-02	3.812800e-04	3.812800e-04
1.900000e+02	2.200000e+02	6.377300e-03	2.247200e-04	2.247200e-04
2.200000e+02	2.500000e+02	3.646300e-03	1.366600e-04	1.366600e-04
2.500000e+02	3.000000e+02	1.847900e-03	7.262300e-05	7.262300e-05
3.000000e+02	4.000000e+02	6.575200e-04	2.828200e-05	2.828200e-05
4.000000e+02	1.500000e+03	2.615400e-05	1.293300e-06	1.293300e-06
# END HISTO1D


# BEGIN HISTO1D //eos/home-m/mdessena/CMSSW_eos/CMSSW_11_2_4/src/PrimordialKTResults/PrimordialkT_NoMPI_PartonLevelMPIoff4/withMPI.yoda/CMS_2019_I1753680/d29-x01-y02
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-m/mdessena/CMSSW_eos/CMSSW_11_2_4/src/PrimordialKTResults/PrimordialkT_NoMPI_PartonLevelMPIoff4/withMPI.yoda/CMS_2019_I1753680/d29-x01-y02
ScaledBy=2.18938705745894179e-03
Title=withMPI
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+00	1.639851e+00	5.991885e-02	5.991885e-02
1.000000e+00	2.000000e+00	4.930500e+00	1.038979e-01	1.038979e-01
2.000000e+00	3.000000e+00	6.949115e+00	1.233463e-01	1.233463e-01
3.000000e+00	4.000000e+00	7.982505e+00	1.321998e-01	1.321998e-01
4.000000e+00	5.000000e+00	8.310913e+00	1.348918e-01	1.348918e-01
5.000000e+00	6.000000e+00	7.940907e+00	1.318549e-01	1.318549e-01
6.000000e+00	7.000000e+00	7.638771e+00	1.293222e-01	1.293222e-01
7.000000e+00	8.000000e+00	6.767395e+00	1.217228e-01	1.217228e-01
8.000000e+00	9.000000e+00	6.167503e+00	1.162026e-01	1.162026e-01
9.000000e+00	1.000000e+01	5.499740e+00	1.097318e-01	1.097318e-01
1.000000e+01	1.100000e+01	5.029022e+00	1.049308e-01	1.049308e-01
1.100000e+01	1.200000e+01	4.599902e+00	1.003542e-01	1.003542e-01
1.200000e+01	1.300000e+01	4.295577e+00	9.697774e-02	9.697774e-02
1.300000e+01	1.400000e+01	3.662845e+00	8.955101e-02	8.955101e-02
1.400000e+01	1.600000e+01	3.312543e+00	6.021810e-02	6.021810e-02
1.600000e+01	1.800000e+01	2.910790e+00	5.644841e-02	5.644841e-02
1.800000e+01	2.000000e+01	2.502470e+00	5.233964e-02	5.233964e-02
2.000000e+01	2.200000e+01	2.241932e+00	4.954017e-02	4.954017e-02
2.200000e+01	2.500000e+01	1.796027e+00	3.620405e-02	3.620405e-02
2.500000e+01	2.800000e+01	1.413614e+00	3.211930e-02	3.211930e-02
2.800000e+01	3.200000e+01	1.199237e+00	2.562027e-02	2.562027e-02
3.200000e+01	3.700000e+01	8.972108e-01	1.982091e-02	1.982091e-02
3.700000e+01	4.300000e+01	6.261647e-01	1.511576e-02	1.511576e-02
4.300000e+01	5.200000e+01	4.181729e-01	1.008598e-02	1.008598e-02
5.200000e+01	6.500000e+01	2.219702e-01	6.114161e-03	6.114161e-03
6.500000e+01	8.500000e+01	1.079368e-01	3.437407e-03	3.437407e-03
8.500000e+01	1.200000e+02	4.059749e-02	1.593591e-03	1.593591e-03
1.200000e+02	1.600000e+02	1.417628e-02	8.808714e-04	8.808714e-04
1.600000e+02	1.900000e+02	6.057303e-03	6.648755e-04	6.648755e-04
1.900000e+02	2.200000e+02	2.481305e-03	4.255403e-04	4.255403e-04
2.200000e+02	2.500000e+02	2.043428e-03	3.861715e-04	3.861715e-04
2.500000e+02	3.000000e+02	7.443916e-04	1.805415e-04	1.805415e-04
3.000000e+02	4.000000e+02	4.378774e-04	9.791236e-05	9.791236e-05
4.000000e+02	1.500000e+03	7.961407e-06	3.980703e-06	3.980703e-06
# END HISTO1D


# BEGIN HISTO1D //eos/home-m/mdessena/CMSSW_eos/CMSSW_11_2_4/src/PrimordialKTResults/PrimordialkT_NoMPI_PartonLevelMPIoff4/withoutMPI.yoda/CMS_2019_I1753680/d29-x01-y02
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//eos/home-m/mdessena/CMSSW_eos/CMSSW_11_2_4/src/PrimordialKTResults/PrimordialkT_NoMPI_PartonLevelMPIoff4/withoutMPI.yoda/CMS_2019_I1753680/d29-x01-y02
ScaledBy=2.18938705745894179e-03
Title=withoutMPI
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+00	1.992342e+00	6.604550e-02	6.604550e-02
1.000000e+00	2.000000e+00	5.539149e+00	1.101242e-01	1.101242e-01
2.000000e+00	3.000000e+00	7.914634e+00	1.316366e-01	1.316366e-01
3.000000e+00	4.000000e+00	8.269315e+00	1.345538e-01	1.345538e-01
4.000000e+00	5.000000e+00	8.433519e+00	1.358832e-01	1.358832e-01
5.000000e+00	6.000000e+00	7.829248e+00	1.309246e-01	1.309246e-01
6.000000e+00	7.000000e+00	7.154917e+00	1.251594e-01	1.251594e-01
7.000000e+00	8.000000e+00	6.296677e+00	1.174132e-01	1.174132e-01
8.000000e+00	9.000000e+00	5.742762e+00	1.121300e-01	1.121300e-01
9.000000e+00	1.000000e+01	5.388082e+00	1.086122e-01	1.086122e-01
1.000000e+01	1.100000e+01	4.926121e+00	1.038518e-01	1.038518e-01
1.100000e+01	1.200000e+01	4.540789e+00	9.970729e-02	9.970729e-02
1.200000e+01	1.300000e+01	4.183919e+00	9.570902e-02	9.570902e-02
1.300000e+01	1.400000e+01	3.612489e+00	8.893332e-02	8.893332e-02
1.400000e+01	1.600000e+01	3.322395e+00	6.030759e-02	6.030759e-02
1.600000e+01	1.800000e+01	2.804605e+00	5.540923e-02	5.540923e-02
1.800000e+01	2.000000e+01	2.469628e+00	5.199507e-02	5.199507e-02
2.000000e+01	2.200000e+01	2.112758e+00	4.809182e-02	4.809182e-02
2.200000e+01	2.500000e+01	1.810623e+00	3.635085e-02	3.635085e-02
2.500000e+01	2.800000e+01	1.528922e+00	3.340361e-02	3.340361e-02
2.800000e+01	3.200000e+01	1.179532e+00	2.540892e-02	2.540892e-02
3.200000e+01	3.700000e+01	9.090336e-01	1.995107e-02	1.995107e-02
3.700000e+01	4.300000e+01	6.524373e-01	1.542961e-02	1.542961e-02
4.300000e+01	5.200000e+01	4.099019e-01	9.985734e-03	9.985734e-03
5.200000e+01	6.500000e+01	2.231491e-01	6.130376e-03	6.130376e-03
6.500000e+01	8.500000e+01	1.105640e-01	3.478991e-03	3.478991e-03
8.500000e+01	1.200000e+02	4.166091e-02	1.614327e-03	1.614327e-03
1.200000e+02	1.600000e+02	1.412155e-02	8.791690e-04	8.791690e-04
1.600000e+02	1.900000e+02	6.130283e-03	6.688688e-04	6.688688e-04
1.900000e+02	2.200000e+02	3.430040e-03	5.003227e-04	5.003227e-04
2.200000e+02	2.500000e+02	1.386612e-03	3.181106e-04	3.181106e-04
2.500000e+02	3.000000e+02	1.007118e-03	2.099987e-04	2.099987e-04
3.000000e+02	4.000000e+02	3.940897e-04	9.288782e-05	9.288782e-05
4.000000e+02	1.500000e+03	9.951764e-06	4.450562e-06	4.450562e-06
# END HISTO1D

