# BEGIN PLOT
LegendOnly=/CMS_2015_PAS_FSQ_15_007/d03-x01-y01 //eos/home-m/mdessena/CMSSW_eos/CMSSW_11_2_4/src/Final_Results_MCNNTUNES/Tune_MinBias_PerBinModel_Reweight_Merged_1/PerBin_reweight.yoda/CMS_2015_PAS_FSQ_15_007/d03-x01-y01
DrawOnly=/CMS_2015_PAS_FSQ_15_007/d03-x01-y01 //eos/home-m/mdessena/CMSSW_eos/CMSSW_11_2_4/src/Final_Results_MCNNTUNES/Tune_MinBias_PerBinModel_Reweight_Merged_1/PerBin_reweight.yoda/CMS_2015_PAS_FSQ_15_007/d03-x01-y01
XLabelSep=4.4
ConnectBins=0
RatioPlot=1
LogY=0
YLabelSep=5.4
RatioPlotSameStyle=0
RatioPlotErrorBandColor=grey!40!yellow!60
XTwosidedTicks=1
YTwosidedTicks=1
RatioPlotReference=/CMS_2015_PAS_FSQ_15_007/d03-x01-y01
Title=\large{CMS, 13 TeV, MB, TransDIF charged $p_\text{T}^{\text{sum}}$ density}
LegendXPos=0.40
XLabel=\large{$p_\text{T}^{\text{max}}$[GeV]}
XMax=24
YLabel=\large{$(1/N_\text{events})\; dp_\text{T}^{\text{sum}}\,/d\eta\, d\phi$}
LegendYPos=0.50
Legend=1
# END PLOT

# BEGIN HISTO1D /CMS_2015_PAS_FSQ_15_007/d03-x01-y01
ConnectBins=0
ErrorBars=1
Path=/CMS_2015_PAS_FSQ_15_007/d03-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
5.000000e-01	1.000000e+00	5.906501e-02	2.790340e-04	2.790340e-04
1.000000e+00	1.500000e+00	1.705802e-01	4.058386e-03	4.058386e-03
1.500000e+00	2.000000e+00	2.983050e-01	5.727535e-03	5.727535e-03
2.000000e+00	2.500000e+00	4.133652e-01	7.708834e-03	7.708834e-03
2.500000e+00	3.000000e+00	5.092931e-01	5.359362e-03	5.359362e-03
3.000000e+00	3.500000e+00	5.809705e-01	4.200646e-03	4.200646e-03
3.500000e+00	4.000000e+00	6.375897e-01	2.425665e-03	2.425665e-03
4.000000e+00	4.500000e+00	6.941051e-01	4.138942e-03	4.138942e-03
4.500000e+00	5.000000e+00	7.273000e-01	6.482692e-03	6.482692e-03
5.000000e+00	6.000000e+00	7.619986e-01	1.318231e-02	1.318231e-02
6.000000e+00	7.000000e+00	8.090667e-01	5.051820e-03	5.051820e-03
7.000000e+00	8.000000e+00	8.508746e-01	7.120133e-03	7.120133e-03
8.000000e+00	1.000000e+01	8.983699e-01	1.003109e-02	1.003109e-02
1.000000e+01	1.200000e+01	9.661892e-01	1.251068e-02	1.251068e-02
1.200000e+01	1.600000e+01	9.662331e-01	2.165847e-02	2.165847e-02
1.600000e+01	2.000000e+01	1.053670e+00	2.901027e-02	2.901027e-02
2.000000e+01	2.400000e+01	1.153402e+00	6.784806e-02	6.784806e-02
2.400000e+01	2.800000e+01	1.305058e+00	1.536979e-01	1.536979e-01
2.800000e+01	3.200000e+01	1.797134e+00	2.164775e-01	2.164775e-01
3.200000e+01	3.600000e+01	1.965634e+00	5.693099e-01	5.693099e-01
3.600000e+01	4.000000e+01	1.326769e+00	5.964774e-01	5.964774e-01
4.000000e+01	5.000000e+01	2.850896e-01	7.255272e-01	7.255272e-01
# END HISTO1D


# BEGIN HISTO1D //eos/home-m/mdessena/CMSSW_eos/CMSSW_11_2_4/src/Final_Results_MCNNTUNES/Tune_MinBias_PerBinModel_Reweight_Merged_1/PerBin_reweight.yoda/CMS_2015_PAS_FSQ_15_007/d03-x01-y01
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-m/mdessena/CMSSW_eos/CMSSW_11_2_4/src/Final_Results_MCNNTUNES/Tune_MinBias_PerBinModel_Reweight_Merged_1/PerBin_reweight.yoda/CMS_2015_PAS_FSQ_15_007/d03-x01-y01
Title=PerBin_reweight
# xlow	 xhigh	 val	 errminus	 errplus
5.000000e-01	1.000000e+00	6.405626e-02	9.441988e-05	9.441988e-05
1.000000e+00	1.500000e+00	1.710707e-01	2.440852e-04	2.440852e-04
1.500000e+00	2.000000e+00	2.975985e-01	4.904767e-04	4.904767e-04
2.000000e+00	2.500000e+00	4.214349e-01	7.838522e-04	7.838522e-04
2.500000e+00	3.000000e+00	5.295015e-01	1.139948e-03	1.139948e-03
3.000000e+00	3.500000e+00	6.104327e-01	1.603290e-03	1.603290e-03
3.500000e+00	4.000000e+00	6.613346e-01	2.178324e-03	2.178324e-03
4.000000e+00	4.500000e+00	7.016189e-01	2.958628e-03	2.958628e-03
4.500000e+00	5.000000e+00	7.214323e-01	3.855114e-03	3.855114e-03
5.000000e+00	6.000000e+00	7.393307e-01	3.836844e-03	3.836844e-03
6.000000e+00	7.000000e+00	7.650303e-01	6.001037e-03	6.001037e-03
7.000000e+00	8.000000e+00	7.752009e-01	8.503764e-03	8.503764e-03
8.000000e+00	1.000000e+01	8.406971e-01	1.042429e-02	1.042429e-02
1.000000e+01	1.200000e+01	8.457784e-01	1.679675e-02	1.679675e-02
1.200000e+01	1.600000e+01	9.078879e-01	2.306121e-02	2.306121e-02
1.600000e+01	2.000000e+01	1.009513e+00	4.521015e-02	4.521015e-02
2.000000e+01	2.400000e+01	1.063723e+00	9.201132e-02	9.201132e-02
2.400000e+01	2.800000e+01	1.111684e+00	1.077505e-01	1.077505e-01
