# BEGIN PLOT
LegendOnly=/CMS_2015_PAS_FSQ_15_007/d04-x01-y01 //eos/home-m/mdessena/CMSSW_eos/CMSSW_11_2_4/src/Final_Results_MCNNTUNES/Tune_MinBias_PerBinModel_Reweight_Merged_1/PerBin_reweight.yoda/CMS_2015_PAS_FSQ_15_007/d04-x01-y01
DrawOnly=/CMS_2015_PAS_FSQ_15_007/d04-x01-y01 //eos/home-m/mdessena/CMSSW_eos/CMSSW_11_2_4/src/Final_Results_MCNNTUNES/Tune_MinBias_PerBinModel_Reweight_Merged_1/PerBin_reweight.yoda/CMS_2015_PAS_FSQ_15_007/d04-x01-y01
XLabelSep=4.4
ConnectBins=0
RatioPlot=1
LogY=0
YLabelSep=5.4
RatioPlotSameStyle=0
RatioPlotErrorBandColor=grey!40!yellow!60
XTwosidedTicks=1
YTwosidedTicks=1
RatioPlotReference=/CMS_2015_PAS_FSQ_15_007/d04-x01-y01
Title=\large{CMS, 13 TeV, MB, TransAVG charged $p_\text{T}^{\text{sum}}$ density}
LegendXPos=0.40
XLabel=\large{$p_\text{T}^{\text{max}}$[GeV]}
XMax=24
YLabel=\large{$(1/N_\text{events})\; dp_\text{T}^{\text{sum}}\,/d\eta\, d\phi$}
LegendYPos=0.50
Legend=1
# END PLOT

# BEGIN HISTO1D /CMS_2015_PAS_FSQ_15_007/d04-x01-y01
ConnectBins=0
ErrorBars=1
Path=/CMS_2015_PAS_FSQ_15_007/d04-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
5.000000e-01	1.000000e+00	4.621247e-02	1.395170e-04	1.395170e-04
1.000000e+00	1.500000e+00	1.661421e-01	3.022367e-03	3.022367e-03
1.500000e+00	2.000000e+00	3.619876e-01	6.856570e-03	6.856570e-03
2.000000e+00	2.500000e+00	5.735683e-01	1.262014e-02	1.262014e-02
2.500000e+00	3.000000e+00	7.679438e-01	6.953553e-03	6.953553e-03
3.000000e+00	3.500000e+00	9.246076e-01	4.547747e-03	4.547747e-03
3.500000e+00	4.000000e+00	1.038086e+00	1.396255e-02	1.396255e-02
4.000000e+00	4.500000e+00	1.141484e+00	2.603447e-02	2.603447e-02
4.500000e+00	5.000000e+00	1.208800e+00	3.641579e-02	3.641579e-02
5.000000e+00	6.000000e+00	1.277542e+00	4.388362e-02	4.388362e-02
6.000000e+00	7.000000e+00	1.346280e+00	1.920738e-02	1.920738e-02
7.000000e+00	8.000000e+00	1.385178e+00	2.121872e-02	2.121872e-02
8.000000e+00	1.000000e+01	1.410001e+00	2.362691e-02	2.362691e-02
1.000000e+01	1.200000e+01	1.446983e+00	2.493577e-02	2.493577e-02
1.200000e+01	1.600000e+01	1.469117e+00	3.331409e-02	3.331409e-02
1.600000e+01	2.000000e+01	1.554969e+00	3.853897e-02	3.853897e-02
2.000000e+01	2.400000e+01	1.487938e+00	7.545611e-02	7.545611e-02
2.400000e+01	2.800000e+01	1.854191e+00	1.577504e-01	1.577504e-01
2.800000e+01	3.200000e+01	1.653630e+00	2.563423e-01	2.563423e-01
3.200000e+01	3.600000e+01	1.487790e+00	2.490471e-01	2.490471e-01
3.600000e+01	4.000000e+01	1.149671e+00	2.466902e-01	2.466902e-01
4.000000e+01	5.000000e+01	1.549023e+00	5.017801e-01	5.017801e-01
# END HISTO1D


# BEGIN HISTO1D //eos/home-m/mdessena/CMSSW_eos/CMSSW_11_2_4/src/Final_Results_MCNNTUNES/Tune_MinBias_PerBinModel_Reweight_Merged_1/PerBin_reweight.yoda/CMS_2015_PAS_FSQ_15_007/d04-x01-y01
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-m/mdessena/CMSSW_eos/CMSSW_11_2_4/src/Final_Results_MCNNTUNES/Tune_MinBias_PerBinModel_Reweight_Merged_1/PerBin_reweight.yoda/CMS_2015_PAS_FSQ_15_007/d04-x01-y01
Title=PerBin_reweight
# xlow	 xhigh	 val	 errminus	 errplus
5.000000e-01	1.000000e+00	4.713370e-02	7.110564e-05	7.110564e-05
1.000000e+00	1.500000e+00	1.666865e-01	2.317755e-04	2.317755e-04
1.500000e+00	2.000000e+00	3.610824e-01	5.406638e-04	5.406638e-04
2.000000e+00	2.500000e+00	5.924122e-01	9.342643e-04	9.342643e-04
2.500000e+00	3.000000e+00	8.123958e-01	1.414021e-03	1.414021e-03
3.000000e+00	3.500000e+00	9.820606e-01	2.024895e-03	2.024895e-03
3.500000e+00	4.000000e+00	1.089834e+00	2.793593e-03	2.793593e-03
4.000000e+00	4.500000e+00	1.166230e+00	3.782772e-03	3.782772e-03
4.500000e+00	5.000000e+00	1.195860e+00	4.949729e-03	4.949729e-03
5.000000e+00	6.000000e+00	1.221673e+00	4.893250e-03	4.893250e-03
6.000000e+00	7.000000e+00	1.241726e+00	7.523135e-03	7.523135e-03
7.000000e+00	8.000000e+00	1.245834e+00	1.061157e-02	1.061157e-02
8.000000e+00	1.000000e+01	1.277070e+00	1.176545e-02	1.176545e-02
1.000000e+01	1.200000e+01	1.340421e+00	2.001585e-02	2.001585e-02
1.200000e+01	1.600000e+01	1.348783e+00	2.418767e-02	2.418767e-02
1.600000e+01	2.000000e+01	1.423523e+00	4.854144e-02	4.854144e-02
2.000000e+01	2.400000e+01	1.542914e+00	8.201999e-02	8.201999e-02
2.400000e+01	2.800000e+01	1.442339e+00	1.086566e-01	1.086566e-01
2.800000e+01	3.200000e+01	1.200860e+00	1.658363e-01	1.658363e-01
3.200000e+01	3.600000e+01	1.754884e+00	2.253430e-01	2.253430e-01
3.600000e+01	4.000000e+01	2.052900e+00	9.930052e-01	9.930052e-01
4.000000e+01	5.000000e+01	1.809221e+00	2.701028e-01	2.701028e-01
# END HISTO1D

