# BEGIN PLOT
LegendOnly=/CMS_2015_PAS_FSQ_15_007/d07-x01-y01 //eos/home-m/mdessena/CMSSW_eos/CMSSW_11_2_4/src/Final_Results_MCNNTUNES/Tune_MinBias_PerBinModel_Reweight_Merged_1/PerBin_reweight.yoda/CMS_2015_PAS_FSQ_15_007/d07-x01-y01
DrawOnly=/CMS_2015_PAS_FSQ_15_007/d07-x01-y01 //eos/home-m/mdessena/CMSSW_eos/CMSSW_11_2_4/src/Final_Results_MCNNTUNES/Tune_MinBias_PerBinModel_Reweight_Merged_1/PerBin_reweight.yoda/CMS_2015_PAS_FSQ_15_007/d07-x01-y01
XLabelSep=4.4
ConnectBins=0
RatioPlot=1
LogY=0
YLabelSep=5.4
RatioPlotSameStyle=0
RatioPlotErrorBandColor=grey!40!yellow!60
XTwosidedTicks=1
YTwosidedTicks=1
RatioPlotReference=/CMS_2015_PAS_FSQ_15_007/d07-x01-y01
Title=\large{CMS, 13 TeV, MB, TransDIF charged-particle density}
LegendXPos=0.40
XLabel=\large{$p_\text{T}^{\text{max}}$[GeV]}
XMax=24
YLabel=\large{$(1/N_\text{events})\; dN_\text{ch}\,/d\eta\, d\phi$}
LegendYPos=0.50
Legend=1
# END PLOT

# BEGIN HISTO1D /CMS_2015_PAS_FSQ_15_007/d07-x01-y01
ConnectBins=0
ErrorBars=1
Path=/CMS_2015_PAS_FSQ_15_007/d07-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
5.000000e-01	1.000000e+00	9.463422e-02	4.298400e-04	4.298400e-04
1.000000e+00	1.500000e+00	2.209390e-01	7.234267e-03	7.234267e-03
1.500000e+00	2.000000e+00	3.329997e-01	7.888630e-03	7.888630e-03
2.000000e+00	2.500000e+00	4.187658e-01	8.850288e-03	8.850288e-03
2.500000e+00	3.000000e+00	4.802923e-01	5.797122e-03	5.797122e-03
3.000000e+00	3.500000e+00	5.231474e-01	5.148293e-03	5.148293e-03
3.500000e+00	4.000000e+00	5.530549e-01	1.966626e-03	1.966626e-03
4.000000e+00	4.500000e+00	5.856928e-01	2.324734e-03	2.324734e-03
4.500000e+00	5.000000e+00	5.942578e-01	3.297531e-03	3.297531e-03
5.000000e+00	6.000000e+00	6.087271e-01	7.087455e-03	7.087455e-03
6.000000e+00	7.000000e+00	6.262689e-01	3.818856e-03	3.818856e-03
7.000000e+00	8.000000e+00	6.349226e-01	5.497644e-03	5.497644e-03
8.000000e+00	1.000000e+01	6.456418e-01	7.725139e-03	7.725139e-03
1.000000e+01	1.200000e+01	6.765359e-01	8.721123e-03	8.721123e-03
1.200000e+01	1.600000e+01	6.944970e-01	1.394915e-02	1.394915e-02
1.600000e+01	2.000000e+01	6.939400e-01	1.747243e-02	1.747243e-02
2.000000e+01	2.400000e+01	7.031405e-01	3.001331e-02	3.001331e-02
2.400000e+01	2.800000e+01	7.214712e-01	6.638613e-02	6.638613e-02
2.800000e+01	3.200000e+01	6.147974e-01	8.735718e-02	8.735718e-02
3.200000e+01	3.600000e+01	8.192480e-01	9.639391e-02	9.639391e-02
3.600000e+01	4.000000e+01	9.298633e-01	2.252982e-01	2.252982e-01
4.000000e+01	5.000000e+01	6.768184e-01	3.205687e-01	3.205687e-01
# END HISTO1D


# BEGIN HISTO1D //eos/home-m/mdessena/CMSSW_eos/CMSSW_11_2_4/src/Final_Results_MCNNTUNES/Tune_MinBias_PerBinModel_Reweight_Merged_1/PerBin_reweight.yoda/CMS_2015_PAS_FSQ_15_007/d07-x01-y01
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-m/mdessena/CMSSW_eos/CMSSW_11_2_4/src/Final_Results_MCNNTUNES/Tune_MinBias_PerBinModel_Reweight_Merged_1/PerBin_reweight.yoda/CMS_2015_PAS_FSQ_15_007/d07-x01-y01
Title=PerBin_reweight
# xlow	 xhigh	 val	 errminus	 errplus
