# BEGIN PLOT
LegendOnly=/CMS_2015_PAS_FSQ_15_007/d08-x01-y01 //eos/home-m/mdessena/CMSSW_eos/CMSSW_11_2_4/src/Final_Results_MCNNTUNES/Tune_MinBias_PerBinModel_Reweight_Merged_1/PerBin_reweight.yoda/CMS_2015_PAS_FSQ_15_007/d08-x01-y01
DrawOnly=/CMS_2015_PAS_FSQ_15_007/d08-x01-y01 //eos/home-m/mdessena/CMSSW_eos/CMSSW_11_2_4/src/Final_Results_MCNNTUNES/Tune_MinBias_PerBinModel_Reweight_Merged_1/PerBin_reweight.yoda/CMS_2015_PAS_FSQ_15_007/d08-x01-y01
XLabelSep=4.4
ConnectBins=0
RatioPlot=1
LogY=0
YLabelSep=5.4
RatioPlotSameStyle=0
RatioPlotErrorBandColor=grey!40!yellow!60
XTwosidedTicks=1
YTwosidedTicks=1
RatioPlotReference=/CMS_2015_PAS_FSQ_15_007/d08-x01-y01
Title=\large{CMS, 13 TeV, MB, TransAVG charged-particle density}
LegendXPos=0.40
XLabel=\large{$p_\text{T}^{\text{max}}$[GeV]}
XMax=24
YLabel=\large{$(1/N_\text{events})\; dN_\text{ch}\,/d\eta\, d\phi$}
LegendYPos=0.50
Legend=1
# END PLOT

# BEGIN HISTO1D /CMS_2015_PAS_FSQ_15_007/d08-x01-y01
ConnectBins=0
ErrorBars=1
Path=/CMS_2015_PAS_FSQ_15_007/d08-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
5.000000e-01	1.000000e+00	6.512563e-02	2.149200e-04	2.149200e-04
1.000000e+00	1.500000e+00	2.156935e-01	4.928868e-03	4.928868e-03
1.500000e+00	2.000000e+00	4.229060e-01	8.359531e-03	8.359531e-03
2.000000e+00	2.500000e+00	6.208644e-01	1.374696e-02	1.374696e-02
2.500000e+00	3.000000e+00	7.868827e-01	9.031170e-03	9.031170e-03
3.000000e+00	3.500000e+00	9.122451e-01	5.201061e-03	5.201061e-03
3.500000e+00	4.000000e+00	9.930948e-01	7.886697e-03	7.886697e-03
4.000000e+00	4.500000e+00	1.068528e+00	1.642962e-02	1.642962e-02
4.500000e+00	5.000000e+00	1.111325e+00	2.415973e-02	2.415973e-02
5.000000e+00	6.000000e+00	1.152457e+00	2.993349e-02	2.993349e-02
6.000000e+00	7.000000e+00	1.193993e+00	7.360070e-03	7.360070e-03
7.000000e+00	8.000000e+00	1.205482e+00	9.680529e-03	9.680529e-03
8.000000e+00	1.000000e+01	1.200178e+00	1.257172e-02	1.257172e-02
1.000000e+01	1.200000e+01	1.226227e+00	1.329277e-02	1.329277e-02
1.200000e+01	1.600000e+01	1.225933e+00	2.123572e-02	2.123572e-02
1.600000e+01	2.000000e+01	1.251681e+00	2.497491e-02	2.497491e-02
2.000000e+01	2.400000e+01	1.136022e+00	4.379888e-02	4.379888e-02
2.400000e+01	2.800000e+01	1.545368e+00	7.523610e-02	7.523610e-02
2.800000e+01	3.200000e+01	1.266493e+00	1.189274e-01	1.189274e-01
3.200000e+01	3.600000e+01	1.106522e+00	1.766908e-01	1.766908e-01
3.600000e+01	4.000000e+01	1.114971e+00	2.045983e-01	2.045983e-01
4.000000e+01	5.000000e+01	1.497598e+00	1.887303e-01	1.887303e-01
# END HISTO1D


# BEGIN HISTO1D //eos/home-m/mdessena/CMSSW_eos/CMSSW_11_2_4/src/Final_Results_MCNNTUNES/Tune_MinBias_PerBinModel_Reweight_Merged_1/PerBin_reweight.yoda/CMS_2015_PAS_FSQ_15_007/d08-x01-y01
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-m/mdessena/CMSSW_eos/CMSSW_11_2_4/src/Final_Results_MCNNTUNES/Tune_MinBias_PerBinModel_Reweight_Merged_1/PerBin_reweight.yoda/CMS_2015_PAS_FSQ_15_007/d08-x01-y01
Title=PerBin_reweight
# xlow	 xhigh	 val	 errminus	 errplus
5.000000e-01	1.000000e+00	7.564478e-02	1.109219e-04	1.109219e-04
1.000000e+00	1.500000e+00	2.297473e-01	3.041559e-04	3.041559e-04
1.500000e+00	2.000000e+00	4.419254e-01	6.144111e-04	6.144111e-04
2.000000e+00	2.500000e+00	6.629876e-01	9.524735e-04	9.524735e-04
2.500000e+00	3.000000e+00	8.519336e-01	1.333050e-03	1.333050e-03
3.000000e+00	3.500000e+00	9.854836e-01	1.803038e-03	1.803038e-03
3.500000e+00	4.000000e+00	1.064418e+00	2.401337e-03	2.401337e-03
4.000000e+00	4.500000e+00	1.113938e+00	3.156258e-03	3.156258e-03
4.500000e+00	5.000000e+00	1.129918e+00	4.038408e-03	4.038408e-03
5.000000e+00	6.000000e+00	1.140758e+00	3.936382e-03	3.936382e-03
6.000000e+00	7.000000e+00	1.145788e+00	5.914844e-03	5.914844e-03
7.000000e+00	8.000000e+00	1.139927e+00	8.241790e-03	8.241790e-03
8.000000e+00	1.000000e+01	1.154108e+00	8.943837e-03	8.943837e-03
1.000000e+01	1.200000e+01	1.186984e+00	1.476015e-02	1.476015e-02
1.200000e+01	1.600000e+01	1.181512e+00	1.731062e-02	1.731062e-02
1.600000e+01	2.000000e+01	1.207495e+00	3.296481e-02	3.296481e-02
2.000000e+01	2.400000e+01	1.284815e+00	5.208025e-02	5.208025e-02
2.400000e+01	2.800000e+01	1.181726e+00	7.452264e-02	7.452264e-02
2.800000e+01	3.200000e+01	1.065114e+00	1.167920e-01	1.167920e-01
3.200000e+01	3.600000e+01	1.396066e+00	1.601527e-01	1.601527e-01
3.600000e+01	4.000000e+01	1.293134e+00	3.767346e-01	3.767346e-01
4.000000e+01	5.000000e+01	1.457973e+00	2.200216e-01	2.200216e-01
# END HISTO1D

