# BEGIN PLOT
LegendOnly=/CMS_2015_PAS_FSQ_15_007/d04-x01-y01 //eos/home-m/mdessena/CMSSW_eos/CMSSW_11_2_4/src/Final_Results_MCNNTUNES/Tune_MinBias_PerBinModel_Merged_1/PerBin.yoda/CMS_2015_PAS_FSQ_15_007/d04-x01-y01
DrawOnly=/CMS_2015_PAS_FSQ_15_007/d04-x01-y01 //eos/home-m/mdessena/CMSSW_eos/CMSSW_11_2_4/src/Final_Results_MCNNTUNES/Tune_MinBias_PerBinModel_Merged_1/PerBin.yoda/CMS_2015_PAS_FSQ_15_007/d04-x01-y01
XLabelSep=4.4
ConnectBins=0
RatioPlot=1
LogY=0
YLabelSep=5.4
RatioPlotSameStyle=0
RatioPlotErrorBandColor=grey!40!yellow!60
XTwosidedTicks=1
YTwosidedTicks=1
RatioPlotReference=/CMS_2015_PAS_FSQ_15_007/d04-x01-y01
Title=\large{CMS, 13 TeV, MB, TransAVG charged $p_\text{T}^{\text{sum}}$ density}
LegendXPos=0.40
XLabel=\large{$p_\text{T}^{\text{max}}$[GeV]}
XMax=24
YLabel=\large{$(1/N_\text{events})\; dp_\text{T}^{\text{sum}}\,/d\eta\, d\phi$}
LegendYPos=0.50
Legend=1
# END PLOT

# BEGIN HISTO1D /CMS_2015_PAS_FSQ_15_007/d04-x01-y01
ConnectBins=0
ErrorBars=1
Path=/CMS_2015_PAS_FSQ_15_007/d04-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
5.000000e-01	1.000000e+00	4.621247e-02	1.395170e-04	1.395170e-04
1.000000e+00	1.500000e+00	1.661421e-01	3.022367e-03	3.022367e-03
1.500000e+00	2.000000e+00	3.619876e-01	6.856570e-03	6.856570e-03
2.000000e+00	2.500000e+00	5.735683e-01	1.262014e-02	1.262014e-02
2.500000e+00	3.000000e+00	7.679438e-01	6.953553e-03	6.953553e-03
3.000000e+00	3.500000e+00	9.246076e-01	4.547747e-03	4.547747e-03
3.500000e+00	4.000000e+00	1.038086e+00	1.396255e-02	1.396255e-02
4.000000e+00	4.500000e+00	1.141484e+00	2.603447e-02	2.603447e-02
4.500000e+00	5.000000e+00	1.208800e+00	3.641579e-02	3.641579e-02
5.000000e+00	6.000000e+00	1.277542e+00	4.388362e-02	4.388362e-02
6.000000e+00	7.000000e+00	1.346280e+00	1.920738e-02	1.920738e-02
7.000000e+00	8.000000e+00	1.385178e+00	2.121872e-02	2.121872e-02
8.000000e+00	1.000000e+01	1.410001e+00	2.362691e-02	2.362691e-02
1.000000e+01	1.200000e+01	1.446983e+00	2.493577e-02	2.493577e-02
1.200000e+01	1.600000e+01	1.469117e+00	3.331409e-02	3.331409e-02
1.600000e+01	2.000000e+01	1.554969e+00	3.853897e-02	3.853897e-02
2.000000e+01	2.400000e+01	1.487938e+00	7.545611e-02	7.545611e-02
2.400000e+01	2.800000e+01	1.854191e+00	1.577504e-01	1.577504e-01
2.800000e+01	3.200000e+01	1.653630e+00	2.563423e-01	2.563423e-01
3.200000e+01	3.600000e+01	1.487790e+00	2.490471e-01	2.490471e-01
3.600000e+01	4.000000e+01	1.149671e+00	2.466902e-01	2.466902e-01
4.000000e+01	5.000000e+01	1.549023e+00	5.017801e-01	5.017801e-01
# END HISTO1D


# BEGIN HISTO1D //eos/home-m/mdessena/CMSSW_eos/CMSSW_11_2_4/src/Final_Results_MCNNTUNES/Tune_MinBias_PerBinModel_Merged_1/PerBin.yoda/CMS_2015_PAS_FSQ_15_007/d04-x01-y01
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-m/mdessena/CMSSW_eos/CMSSW_11_2_4/src/Final_Results_MCNNTUNES/Tune_MinBias_PerBinModel_Merged_1/PerBin.yoda/CMS_2015_PAS_FSQ_15_007/d04-x01-y01
Title=PerBin
# xlow	 xhigh	 val	 errminus	 errplus
5.000000e-01	1.000000e+00	4.544762e-02	6.709358e-05	6.709358e-05
1.000000e+00	1.500000e+00	1.539971e-01	2.167365e-04	2.167365e-04
1.500000e+00	2.000000e+00	3.260452e-01	5.192788e-04	5.192788e-04
2.000000e+00	2.500000e+00	5.433981e-01	9.428949e-04	9.428949e-04
2.500000e+00	3.000000e+00	7.693246e-01	1.474211e-03	1.474211e-03
3.000000e+00	3.500000e+00	9.577512e-01	2.138068e-03	2.138068e-03
3.500000e+00	4.000000e+00	1.088006e+00	2.953142e-03	2.953142e-03
4.000000e+00	4.500000e+00	1.165523e+00	3.946501e-03	3.946501e-03
4.500000e+00	5.000000e+00	1.217038e+00	5.222523e-03	5.222523e-03
5.000000e+00	6.000000e+00	1.251880e+00	5.211104e-03	5.211104e-03
6.000000e+00	7.000000e+00	1.275346e+00	7.891635e-03	7.891635e-03
7.000000e+00	8.000000e+00	1.290998e+00	1.119371e-02	1.119371e-02
8.000000e+00	1.000000e+01	1.297246e+00	1.225449e-02	1.225449e-02
1.000000e+01	1.200000e+01	1.332848e+00	2.083001e-02	2.083001e-02
1.200000e+01	1.600000e+01	1.366217e+00	2.571847e-02	2.571847e-02
1.600000e+01	2.000000e+01	1.458835e+00	5.641715e-02	5.641715e-02
2.000000e+01	2.400000e+01	1.521118e+00	1.059953e-01	1.059953e-01
2.400000e+01	2.800000e+01	1.603649e+00	1.600758e-01	1.600758e-01
2.800000e+01	3.200000e+01	1.637994e+00	2.875905e-01	2.875905e-01
3.200000e+01	3.600000e+01	1.595212e+00	2.619099e-01	2.619099e-01
3.600000e+01	4.000000e+01	1.532609e+00	3.141151e-01	3.141151e-01
4.000000e+01	5.000000e+01	1.468650e+00	4.056499e-01	4.056499e-01
# END HISTO1D

