# BEGIN PLOT
LegendOnly=/CMS_2015_PAS_FSQ_15_007/d06-x01-y01 //eos/home-m/mdessena/CMSSW_eos/CMSSW_11_2_4/src/Final_Results_MCNNTUNES/Tune_MinBias_PerBinModel_Merged_1/PerBin.yoda/CMS_2015_PAS_FSQ_15_007/d06-x01-y01
DrawOnly=/CMS_2015_PAS_FSQ_15_007/d06-x01-y01 //eos/home-m/mdessena/CMSSW_eos/CMSSW_11_2_4/src/Final_Results_MCNNTUNES/Tune_MinBias_PerBinModel_Merged_1/PerBin.yoda/CMS_2015_PAS_FSQ_15_007/d06-x01-y01
XLabelSep=4.4
ConnectBins=0
RatioPlot=1
LogY=0
YLabelSep=5.4
RatioPlotSameStyle=0
RatioPlotErrorBandColor=grey!40!yellow!60
XTwosidedTicks=1
YTwosidedTicks=1
RatioPlotReference=/CMS_2015_PAS_FSQ_15_007/d06-x01-y01
Title=\large{CMS, 13 TeV, MB, TransMAX charged-particle density}
LegendXPos=0.40
XLabel=\large{$p_\text{T}^{\text{max}}$[GeV]}
XMax=24
YLabel=\large{$(1/N_\text{events})\; dN_\text{ch}\,/d\eta\, d\phi$}
LegendYPos=0.50
Legend=1
# END PLOT

# BEGIN HISTO1D /CMS_2015_PAS_FSQ_15_007/d06-x01-y01
ConnectBins=0
ErrorBars=1
Path=/CMS_2015_PAS_FSQ_15_007/d06-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
5.000000e-01	1.000000e+00	1.124427e-01	4.053605e-04	4.053605e-04
1.000000e+00	1.500000e+00	3.261630e-01	8.536273e-03	8.536273e-03
1.500000e+00	2.000000e+00	5.894059e-01	1.306567e-02	1.306567e-02
2.000000e+00	2.500000e+00	8.302473e-01	1.954760e-02	1.954760e-02
2.500000e+00	3.000000e+00	1.027029e+00	1.246442e-02	1.246442e-02
3.000000e+00	3.500000e+00	1.173819e+00	7.515369e-03	7.515369e-03
3.500000e+00	4.000000e+00	1.269622e+00	9.121487e-03	9.121487e-03
4.000000e+00	4.500000e+00	1.361374e+00	1.807697e-02	1.807697e-02
4.500000e+00	5.000000e+00	1.408454e+00	2.739203e-02	2.739203e-02
5.000000e+00	6.000000e+00	1.456821e+00	3.555993e-02	3.555993e-02
6.000000e+00	7.000000e+00	1.507127e+00	8.690036e-03	8.690036e-03
7.000000e+00	8.000000e+00	1.522944e+00	1.147968e-02	1.147968e-02
8.000000e+00	1.000000e+01	1.522999e+00	1.506620e-02	1.506620e-02
1.000000e+01	1.200000e+01	1.564495e+00	1.612100e-02	1.612100e-02
1.200000e+01	1.600000e+01	1.573181e+00	2.585909e-02	2.585909e-02
1.600000e+01	2.000000e+01	1.598651e+00	3.111044e-02	3.111044e-02
2.000000e+01	2.400000e+01	1.487593e+00	5.338095e-02	5.338095e-02
2.400000e+01	2.800000e+01	1.906104e+00	1.008451e-01	1.008451e-01
2.800000e+01	3.200000e+01	1.573891e+00	1.416261e-01	1.416261e-01
3.200000e+01	3.600000e+01	1.516146e+00	1.680630e-01	1.680630e-01
3.600000e+01	4.000000e+01	1.579903e+00	3.488480e-01	3.488480e-01
4.000000e+01	5.000000e+01	1.836007e+00	2.979452e-01	2.979452e-01
# END HISTO1D


# BEGIN HISTO1D //eos/home-m/mdessena/CMSSW_eos/CMSSW_11_2_4/src/Final_Results_MCNNTUNES/Tune_MinBias_PerBinModel_Merged_1/PerBin.yoda/CMS_2015_PAS_FSQ_15_007/d06-x01-y01
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-m/mdessena/CMSSW_eos/CMSSW_11_2_4/src/Final_Results_MCNNTUNES/Tune_MinBias_PerBinModel_Merged_1/PerBin.yoda/CMS_2015_PAS_FSQ_15_007/d06-x01-y01
Title=PerBin
# xlow	 xhigh	 val	 errminus	 errplus
5.000000e-01	1.000000e+00	1.227337e-01	1.641146e-04	1.641146e-04
1.000000e+00	1.500000e+00	3.206948e-01	3.956090e-04	3.956090e-04
1.500000e+00	2.000000e+00	5.596446e-01	7.637519e-04	7.637519e-04
2.000000e+00	2.500000e+00	8.115005e-01	1.192125e-03	1.192125e-03
2.500000e+00	3.000000e+00	1.041361e+00	1.682186e-03	1.682186e-03
3.000000e+00	3.500000e+00	1.214020e+00	2.267073e-03	2.267073e-03
3.500000e+00	4.000000e+00	1.325517e+00	2.995157e-03	2.995157e-03
4.000000e+00	4.500000e+00	1.382610e+00	3.875901e-03	3.875901e-03
4.500000e+00	5.000000e+00	1.419091e+00	4.996137e-03	4.996137e-03
5.000000e+00	6.000000e+00	1.442295e+00	4.895623e-03	4.895623e-03
6.000000e+00	7.000000e+00	1.452183e+00	7.289937e-03	7.289937e-03
7.000000e+00	8.000000e+00	1.460921e+00	1.019846e-02	1.019846e-02
8.000000e+00	1.000000e+01	1.451192e+00	1.095153e-02	1.095153e-02
1.000000e+01	1.200000e+01	1.461534e+00	1.775420e-02	1.775420e-02
1.200000e+01	1.600000e+01	1.483387e+00	2.201210e-02	2.201210e-02
1.600000e+01	2.000000e+01	1.546880e+00	4.271332e-02	4.271332e-02
2.000000e+01	2.400000e+01	1.503532e+00	7.290251e-02	7.290251e-02
2.400000e+01	2.800000e+01	1.584839e+00	1.039006e-01	1.039006e-01
2.800000e+01	3.200000e+01	1.600152e+00	1.861355e-01	1.861355e-01
3.200000e+01	3.600000e+01	1.579847e+00	1.665417e-01	1.665417e-01
3.600000e+01	4.000000e+01	1.656206e+00	2.708576e-01	2.708576e-01
4.000000e+01	5.000000e+01	1.500604e+00	3.324109e-01	3.324109e-01
# END HISTO1D

