# BEGIN PLOT
YMin=0.15
DrawOnly=/CMS_2018_I1680318/d01-x03-y01 //eos/home-m/mdessena/CMSSW_eos/CMSSW_11_2_4/src/Final_Results_MCNNTUNES/Tune_MinBias_PerBinModel_Merged_1/PerBin.yoda/CMS_2018_I1680318/d01-x03-y01
YMax=1.8
Title=CMS, 13 TeV, $pp$ Single Diffractive enhanced
RatioPlotReference=/CMS_2018_I1680318/d01-x03-y01
YLabel=$(1/N^{tot}_{events})dN_{ch}/d\eta$ 
RatioPlot=1
LogX=0
LogY=0
RatioPlotYMax=1.4
LegendOnly=/CMS_2018_I1680318/d01-x03-y01 //eos/home-m/mdessena/CMSSW_eos/CMSSW_11_2_4/src/Final_Results_MCNNTUNES/Tune_MinBias_PerBinModel_Merged_1/PerBin.yoda/CMS_2018_I1680318/d01-x03-y01
XLabel=$\eta$ 
RatioPlotSameStyle=0
RatioPlotErrorBandColor=grey!40!yellow!60
Legend=1
RatioPlotYMin=0.6
# END PLOT

# BEGIN HISTO1D /CMS_2018_I1680318/d01-x03-y01
ConnectBins=0
ErrorBars=1
Path=/CMS_2018_I1680318/d01-x03-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
-2.400000e+00	-2.200000e+00	7.119000e-01	5.032941e-02	5.301773e-02
-2.200000e+00	-2.000000e+00	7.274000e-01	5.240229e-02	5.608895e-02
-2.000000e+00	-1.800000e+00	7.280000e-01	5.338998e-02	5.827401e-02
-1.800000e+00	-1.600000e+00	7.184000e-01	5.348963e-02	6.006879e-02
-1.600000e+00	-1.400000e+00	7.289000e-01	5.499273e-02	6.356666e-02
-1.400000e+00	-1.200000e+00	7.302000e-01	5.608083e-02	6.625300e-02
-1.200000e+00	-1.000000e+00	7.153000e-01	5.616485e-02	6.703805e-02
-1.000000e+00	-8.000000e-01	6.938000e-01	5.577383e-02	6.684497e-02
-8.000000e-01	-6.000000e-01	6.808000e-01	5.577383e-02	6.704454e-02
-6.000000e-01	-4.000000e-01	6.813000e-01	5.647167e-02	6.804241e-02
-4.000000e-01	-2.000000e-01	6.775000e-01	5.627228e-02	6.824200e-02
-2.000000e-01	0.000000e+00	6.708000e-01	5.576603e-02	6.783642e-02
0.000000e+00	2.000000e-01	6.708000e-01	5.576603e-02	6.783642e-02
2.000000e-01	4.000000e-01	6.775000e-01	5.627228e-02	6.824200e-02
4.000000e-01	6.000000e-01	6.813000e-01	5.647167e-02	6.814220e-02
6.000000e-01	8.000000e-01	6.808000e-01	5.577383e-02	6.704454e-02
8.000000e-01	1.000000e+00	6.938000e-01	5.577383e-02	6.684497e-02
1.000000e+00	1.200000e+00	7.153000e-01	5.616485e-02	6.703805e-02
1.200000e+00	1.400000e+00	7.302000e-01	5.608083e-02	6.625300e-02
1.400000e+00	1.600000e+00	7.289000e-01	5.499273e-02	6.356666e-02
1.600000e+00	1.800000e+00	7.184000e-01	5.348963e-02	6.006879e-02
1.800000e+00	2.000000e+00	7.280000e-01	5.338998e-02	5.827401e-02
2.000000e+00	2.200000e+00	7.274000e-01	5.240229e-02	5.608895e-02
2.200000e+00	2.400000e+00	7.119000e-01	5.032941e-02	5.301773e-02
# END HISTO1D


# BEGIN HISTO1D //eos/home-m/mdessena/CMSSW_eos/CMSSW_11_2_4/src/Final_Results_MCNNTUNES/Tune_MinBias_PerBinModel_Merged_1/PerBin.yoda/CMS_2018_I1680318/d01-x03-y01
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-m/mdessena/CMSSW_eos/CMSSW_11_2_4/src/Final_Results_MCNNTUNES/Tune_MinBias_PerBinModel_Merged_1/PerBin.yoda/CMS_2018_I1680318/d01-x03-y01
ScaledBy=3.44926306494617435e-06
Title=PerBin
# xlow	 xhigh	 val	 errminus	 errplus
-2.400000e+00	-2.200000e+00	6.339920e-01	3.306663e-03	3.306663e-03
-2.200000e+00	-2.000000e+00	6.391140e-01	3.319994e-03	3.319994e-03
-2.000000e+00	-1.800000e+00	6.459260e-01	3.337641e-03	3.337641e-03
-1.800000e+00	-1.600000e+00	6.491685e-01	3.346007e-03	3.346007e-03
-1.600000e+00	-1.400000e+00	6.498930e-01	3.347874e-03	3.347874e-03
-1.400000e+00	-1.200000e+00	6.444775e-01	3.333896e-03	3.333896e-03
-1.200000e+00	-1.000000e+00	6.529455e-01	3.355727e-03	3.355727e-03
-1.000000e+00	-8.000000e-01	6.504105e-01	3.349206e-03	3.349206e-03
-8.000000e-01	-6.000000e-01	6.457885e-01	3.337284e-03	3.337284e-03
-6.000000e-01	-4.000000e-01	6.404590e-01	3.323486e-03	3.323486e-03
-4.000000e-01	-2.000000e-01	6.333535e-01	3.304999e-03	3.304999e-03
-2.000000e-01	0.000000e+00	6.347505e-01	3.308642e-03	3.308642e-03
0.000000e+00	2.000000e-01	6.323190e-01	3.302298e-03	3.302298e-03
2.000000e-01	4.000000e-01	6.329745e-01	3.304009e-03	3.304009e-03
4.000000e-01	6.000000e-01	6.371135e-01	3.314794e-03	3.314794e-03
6.000000e-01	8.000000e-01	6.425975e-01	3.329030e-03	3.329030e-03
8.000000e-01	1.000000e+00	6.399075e-01	3.322054e-03	3.322054e-03
1.000000e+00	1.200000e+00	6.494445e-01	3.346719e-03	3.346719e-03
1.200000e+00	1.400000e+00	6.516005e-01	3.352269e-03	3.352269e-03
1.400000e+00	1.600000e+00	6.412870e-01	3.325633e-03	3.325633e-03
1.600000e+00	1.800000e+00	6.391655e-01	3.320128e-03	3.320128e-03
1.800000e+00	2.000000e+00	6.361130e-01	3.312191e-03	3.312191e-03
2.000000e+00	2.200000e+00	6.392175e-01	3.320263e-03	3.320263e-03
2.200000e+00	2.400000e+00	6.332500e-01	3.304729e-03	3.304729e-03
# END HISTO1D

